{'短评内容': '还是很可以的，服务态度好所以习惯给满分。', '短评打分': 5}
{'短评内容': '酒店位置很好。', '短评打分': 4}
{'短评内容': '离单位近方便 靠近中环很容易走', '短评打分': 5}
{'短评内容': '酒店地理位置非常方便，延安高架和中环路的交界处，停车也停方便，附近就是吴中路，有很多日本料理和韩国烤肉，但是价格偏高。', '短评打分': 4}
{'短评内容': '客户说 非常好', '短评打分': 5}
{'短评内容': '酒店早餐很好吃', '短评打分': 5}
{'短评内容': '酒店服务热情', '短评打分': 5}
{'短评内容': '性价比很高，地理位置好', '短评打分': 5}
{'短评内容': '经济实惠性价比很高', '短评打分': 5}
{'短评内容': '非常完美', '短评打分': 5}
{'短评内容': '出差很方便，非常好', '短评打分': 5}
{'短评内容': '出差很方便，非常好', '短评打分': 5}
{'短评内容': '出差很方便，非常好', '短评打分': 5}
{'短评内容': '出差很方便，非常好', '短评打分': 5}
{'短评内容': 'ok', '短评打分': 4}
