{'短评内容': '环境还不错，就是蚊子多了点，挺干净的，隔音效果一般般', '短评打分': 5}
{'短评内容': '酒店的位置很方便，在酒吧街上。房间也很不错，卫生间很大。老板服务也很好，有什么需求都尽量满足，还提够西塘的地图，很贴心~~~', '短评打分': 5}
{'短评内容': '比起市区内的快捷酒店，还是有一定差距的。不过毕竟在古镇景区里面，也还算方便。总体感觉一般吧。', '短评打分': 1}
{'短评内容': '还行啦~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '＋床很舒服', '短评打分': 3}
{'短评内容': '酒店的环境很不错，装修很典雅，位置也不错，会推荐给朋友', '短评打分': 5}
{'短评内容': '不错的酒店 很有水乡的感觉 价格也适中 下次再来西塘还会选择的', '短评打分': 5}
{'短评内容': '非常不错的一家酒店，性价比很高，下回还会住。', '短评打分': 5}
{'短评内容': '這個住的地方裏面環境還不錯 在西塘酒吧街上只是早上幫晚上都會比較吵 不過裏面滴設施相對其他住的 可以說是好很多了 ', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 3}
{'短评内容': '地理位置和内部环境都很好，早晨起来时候在大堂待了一会，感觉很棒', '短评打分': 5}
{'短评内容': '就在镇子里面，旁边就是酒吧和清明食代，酒店内部环境也不错', '短评打分': 5}
{'短评内容': '酒店大堂的鱼很漂亮，房间干净整洁，内部装修和古镇的感觉很搭调，服务也特别好。我们是半夜到的店，前台的服务员小姐一直在等着，且第二天还让免费延迟到15点才退房。唯一美中不足的是估计房间入住率太高，床垫很不舒服，躺着能感觉到所有的弹簧都绷着顶到身上了，最后是卷着被子垫着才能睡着。', '短评打分': 5}
{'短评内容': '还算不错，规模比较大，卫生条件还不错!相比其他小的旅店很正规。', '短评打分': 5}
{'短评内容': '+很大很干净\u3000就是沿街的房间晚上比较吵', '短评打分': 5}
{'短评内容': '饭店在街中心很方便。房间里也很干净。我的房间里有比较大的阳台，在这儿可以喝酒或者茶。\r\n', '短评打分': 5}
{'短评内容': '位置在酒吧街上，晚上比较吵，偶尔可见蚊虫，不过我觉得这是西塘景区里目前最大最专业的酒店了。', '短评打分': 5}
