{'短评内容': '换还可以', '短评打分': 5}
{'短评内容': '早餐一般，主要是靠近南站。不过这家的设施比较齐全（吹风机，热水壶，wifi都有），而且屋内也很干净整洁。就是有点烟味。总之性价比较高，推荐这家！也希望他们家早餐能丰富一下。', '短评打分': 4}
{'短评内容': '早餐一般，早点下去吃。优势主要是靠近南站。不过这家的设施比较齐全（吹风机，热水壶，wifi都有），而且屋内也很干净整洁。就是有点烟味。总之性价比较高，推荐这家！也希望他们家早餐能丰富一下。', '短评打分': 4}
{'短评内容': '还可以吧。', '短评打分': 5}
{'短评内容': '早餐一般，位置还行。', '短评打分': 3}
{'短评内容': '还可以，推荐入住，就是位置有点偏，', '短评打分': 5}
{'短评内容': '还可以，推荐入住，就是位置有点偏，', '短评打分': 5}
{'短评内容': '还可以，推荐入住，就是位置有点偏，', '短评打分': 5}
{'短评内容': '还可以，推荐入住，就是位置有点偏，', '短评打分': 5}
{'短评内容': '还可以，推荐入住，就是位置有点偏，', '短评打分': 5}
{'短评内容': '前台服务员的素质真低，有待提高，卫生倒还好。', '短评打分': 4}
{'短评内容': '还不错，干净，卫生，安静，就是不能刷卡很郁闷。', '短评打分': 5}
{'短评内容': '一般........', '短评打分': 5}
{'短评内容': '还好吧', '短评打分': 4}
{'短评内容': '酒店老是说没入住信息，打电话到公司补订单才返现，。', '短评打分': 3}
