{'短评内容': '装修一般，房里电话坏了，也不修。', '短评打分': 1}
{'短评内容': '一般般的地方', '短评打分': 3}
{'短评内容': '无早餐，不加床，可带孩子。', '短评打分': 3}
{'短评内容': '没有早餐，位置还可以', '短评打分': 3}
{'短评内容': '还可以，经济型。', '短评打分': 4}
{'短评内容': '住的单人间，都是在每个楼层中间，简单睡一下，没什么将就的无所谓的', '短评打分': 3}
{'短评内容': '出门在外，要求不要太高，有个落脚的地方就行了。有床有窗，空调电视，独立卫浴，外加免费WIFI，位置在市中心，190的价格，说得过去了……', '短评打分': 5}
{'短评内容': '还可以。', '短评打分': 4}
{'短评内容': '拒绝就拒绝', '短评打分': 5}
{'短评内容': '卫生还是比较干净的，老板人很好，很快就入住了，就是位置有点偏。', '短评打分': 5}
{'短评内容': '主要我要在附近办事，出差，离得很近，这个宾馆性价比很高，条件和价格还是很合理的匹配，下次可能还会住。', '短评打分': 3}
{'短评内容': '感觉酒店有点年头，不过总体不错，性价比很高。位置有点隐蔽，还好有明显指路牌，其实交通还算方便。', '短评打分': 4}
{'短评内容': '墙壁髒了点', '短评打分': 3}
{'短评内容': '牆壁髒，花洒头烂。。', '短评打分': 3}
{'短评内容': '宾馆周围一般，前台服务人员海蛮不错', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '房间太小，只能凑合着住，地方有点难找，如果要是为了省钱还是可以考虑的。', '短评打分': 1}
{'短评内容': '卫生还比较干净，吃饭也方便，设施有些陈旧，卫生设施缺乏。', '短评打分': 1}
{'短评内容': '酒店不错，但洗澡水不是很大。', '短评打分': 3}
{'短评内容': '没有规矩的一个店，介绍说房间25平方米，实际好像不到，设备老化得可以，叫宾馆确实有点勉强，招待所差不多。总台很死板。', '短评打分': 1}
{'短评内容': '一般，可是好像线下的比网上订的贵，太坏了。', '短评打分': 5}
{'短评内容': '宾馆位置比较隐蔽，在居民区里。设施比较陈旧，没有照片上显示的那么好。到店后竟然发现在宾馆门口的广告上入住价格比网上给的还要便宜，不知道是怎么回事？', '短评打分': 1}
