{'短评内容': '这个情况没问', '短评打分': 5}
{'短评内容': '房间很小很差，服务人员态度很差，在没有征求客人同意的情况下私自给客人续住，私扣房费，不讲道理，投诉。', '短评打分': 1}
{'短评内容': '棒棒哒', '短评打分': 5}
{'短评内容': '住的挺满意 房子里很干净 没有噪音', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '住过ego多次了', '短评打分': 5}
{'短评内容': '嗯，昨天还是不错嘛，你，开心', '短评打分': 5}
{'短评内容': '房间很小。可能是位置的原因吧。', '短评打分': 5}
{'短评内容': '四十分钟到店，说没有订单，等了半天。前台服务死板，僵硬，客房一般。', '短评打分': 1}
{'短评内容': '不错吧，挺满意的', '短评打分': 5}
{'短评内容': '。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '房间太小了，床左边紧贴卫生间玻璃门，右边紧靠窗户，床头靠墙，床尾离悬挂电视只能容一个人通过。瓶装水和一次性拖鞋在我热情恳求下服务员说违规免费提供了。被褥有点潮湿，可能北方冬天太冷没晒干。电视都是雪花，换了个房间也如此。价格还算凑合，离地铁站1公里左右。', '短评打分': 2}
{'短评内容': '至少五个字', '短评打分': 5}
{'短评内容': '离地铁大约十分钟，周围大超市饭店都有，环境还是不错的，作为快捷酒店已经非常不错，而且工作人员态度很好', '短评打分': 5}
{'短评内容': '离地铁大约十分钟，周围大超市饭店都有，环境还是不错的，作为快捷酒店已经非常不错，而且工作人员态度很好', '短评打分': 5}
{'短评内容': '离地铁大约十分钟，周围大超市饭店都有，环境还是不错的，作为快捷酒店已经非常不错，而且工作人员态度很好', '短评打分': 5}
{'短评内容': '离地铁大约十分钟，周围大超市饭店都有，环境还是不错的，作为快捷酒店已经非常不错，而且工作人员态度很好', '短评打分': 5}
{'短评内容': '还是可以的。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '位置还算不错，楼下有护国寺小吃和面馆，离公益桥西地铁不远，但是，房子像是板房做的，没有电梯，没有机打发票', '短评打分': 3}
{'短评内容': '老酒店变成速8，服务比较正规了。不错', '短评打分': 4}
{'短评内容': '以前老快捷酒店改的，重新装修，挺 不错', '短评打分': 4}
{'短评内容': '经常住，就是外面在装修，噪音比较大', '短评打分': 4}
