{'短评内容': '很好。卫生各方面都行', '短评打分': 5}
{'短评内容': '订的温馨大床房，可是床才1米5，有点小了。如果是要赶飞机的朋友，楼下就有机场大巴，非常的方便。不过晚上车比较多，老是有打喇叭的，不是比较安静！', '短评打分': 5}
{'短评内容': '出机场到达大厅即是机场大巴站，一号线直达酒店，交通非常方便。装修较老，但是设施齐备，三星标注，网上定房价格130左右，非常实惠。酒店对面是南京站和地铁站，去哪里都很方便。同时酒店提供行李寄存服务，特别适合飞机中转，空铁连运等', '短评打分': 4}
{'短评内容': '环境还可以，方便', '短评打分': 5}
{'短评内容': '环境还可以，房间有小，但总体还可以，相比其他同等级别的酒店，还不错，卫生间也还好！床上用品也干净，服务员服务到位', '短评打分': 5}
{'短评内容': '楼下就是机场大巴，很方便\n环境也还不错。', '短评打分': 5}
{'短评内容': '环境好，服务态度好，各种设施好，必须给五星好评。', '短评打分': 5}
{'短评内容': '性价比高，出行方便。', '短评打分': 5}
{'短评内容': '总体不错。。。位置方便', '短评打分': 4}
{'短评内容': '让人感觉不舒服 设计不好', '短评打分': 2}
{'短评内容': '酒店不错，值得购买，，，，，，', '短评打分': 5}
{'短评内容': '价格实惠，服务人员也很热情！', '短评打分': 5}
{'短评内容': '挺方便', '短评打分': 5}
{'短评内容': '很好，房间布局的很实用，宽敞明亮，干净整洁。交通方便！', '短评打分': 5}
{'短评内容': '客房很干净整洁，给人有宾至如归的感觉，内部的的家具也很人性化，很实用。下次还会来住。交通也什么方便！', '短评打分': 5}
{'短评内容': '客房很干净整洁，给人有宾至如归的感觉，内部的的家具也很人性化，很实用。下次还会来住', '短评打分': 5}
{'短评内容': '还不错，应该是刚刚装修好的，', '短评打分': 5}
{'短评内容': '价格便宜，环境一般', '短评打分': 4}
{'短评内容': '价格便宜，环境一般', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '#ud83d#ude0a老地方，一直支持。', '短评打分': 5}
{'短评内容': '不错不错不错', '短评打分': 4}
{'短评内容': '老爸很满意，酒店很干净，附近小店很多很方便，离火车站也很近，出行很便捷', '短评打分': 5}
{'短评内容': '老爸说酒店很不错，很干净，附近小店比较多，很方便，离开火车站也很近，出行很便捷', '短评打分': 5}
{'短评内容': '不想多说，环境差，服务差，交通差。差评差评差评，再也不会去住了。', '短评打分': 1}
{'短评内容': '设备比较陈旧，不过价格也便宜。', '短评打分': 3}
{'短评内容': '设施较陈旧，卫生还可以。胜在位置好，离机场大巴和火车站都很近。', '短评打分': 4}
{'短评内容': '经济实惠的酒店，时不时光顾一下。', '短评打分': 4}
{'短评内容': '很一般的酒店，价钱也没有优惠，离店时因为床单上滴了一些芒果汁，要收30元，我一生气自己上去洗了一下就干净了，以后不会再去的酒店。', '短评打分': 2}
{'短评内容': '去机场方便！', '短评打分': 4}
{'短评内容': '内设和服务就一般般啦，过得去，同等价位应该可以更好滴。', '短评打分': 4}
{'短评内容': '房间不错，除了电脑什么设备都有，还有机场巴士方便搭乘。\n不过为什么过了一个星期以上我的现金账户还没有收到返还现金呢？', '短评打分': 5}
{'短评内容': '不错，环境还行，新装修过的，还有点气味，还有就是床头没有插座，手机充电麻烦点', '短评打分': 5}
{'短评内容': '酒店性价比不错，折后只要八十多，洗手间卫生条件不好，冷气不够，床挺干净，可以吧', '短评打分': 3}
{'短评内容': '还 不错   下次再来             顶', '短评打分': 5}
{'短评内容': '酒店房间还挺大，不知道为什么总有一股发霉的味道，就是觉得不干净，其实搞卫生什么的都还挺用心的，可能就酒店房间的配色问题和管理理念问题。', '短评打分': 1}
{'短评内容': '酒店离火车站很近，走路十分钟左右，到机场的大巴就在旁边，公交车也在附近，酒店卫生干净，满意', '短评打分': 5}
{'短评内容': '饭店特别棒,环境好', '短评打分': 3}
{'短评内容': '卫生还可以，不过有点吵，不过方便，就是没早餐不太好', '短评打分': 1}
{'短评内容': '总的来说，硬件环境是不错的（房间大小啊，中央空调啊，写字台啊），软件就差了些，床头柜的颜色，地毯的颜色，沙发的颜色，选的不好，总感觉不够干净，碰到几次服务员打扫卫生，挺尽责的，不能让别人背黑锅。总得来说，提升的空间比较大，细节决定成败。', '短评打分': 5}
{'短评内容': '为了赶上第二天八点的火车选择了民航饭店，交通很方便，就是在火车站对面。不过168元的房是在一、二楼的，后来换了180元的房，总体来说还行。', '短评打分': 5}
