{'descr': '交通方便，服务热情，非常好', 'star': 5}
{'descr': '环境差点，住的KTV旁边', 'star': 4}
{'descr': 'yy', 'star': 5}
{'descr': '很实惠', 'star': 5}
{'descr': '环境不错，房间比较大。', 'star': 5}
{'descr': '两个楼，主楼旧，KTV楼吵，随便下榻1晚OK啦', 'star': 3}
{'descr': '脏乱差', 'star': 2}
{'descr': '酒店位置很好！就是总体比较老旧的酒店，房价不高！酒店前台告诉楼下是KTV，没想到的是夜里唱到两点多，一早八点多又开始唱很吵！！！', 'star': 3}
{'descr': '一般吧', 'star': 4}
{'descr': '设施超简陋，选他是因为离第一城近，交通方便。', 'star': 4}
{'descr': '一般', 'star': 4}
{'descr': '其它的都还好就是酒店的装修实在太老了，感觉得10来年了。', 'star': 4}
{'descr': '在周围还不错', 'star': 3}
{'descr': '还好，就是酒店设施有点旧', 'star': 3}
{'descr': '酒店在周边还算好的', 'star': 4}
{'descr': '在周边还算是可以，建成时间可能较早', 'star': 4}
{'descr': '新装修的，房间干净，感觉不错，便宜实惠，值得推荐', 'star': 5}
{'descr': '很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好', 'star': 5}
{'descr': '很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好', 'star': 5}
{'descr': '还算可以吧，在香河这，算是性价比不错。比较干净', 'star': 5}
{'descr': '还算可以吧，在香河这，算是性价比不错。比较干净', 'star': 5}
{'descr': '总体不错*', 'star': 3}
{'descr': '总体不错*', 'star': 3}
{'descr': '设施太旧了，还是住豪华间的，别住普通间的，总之什么都一般，就是位置好找', 'star': 5}
{'descr': '设施太旧了，还是住豪华间的，别住普通间的，总之什么都一般，就是位置好找', 'star': 5}
{'descr': '价格实惠，房间不够好，早餐不太好', 'star': 3}
{'descr': '价格实惠，房间不够好，早餐不太好', 'star': 3}
