{'短评内容': '一二三四五六七八九够十五个字了', '短评打分': 5}
{'短评内容': '#房间干净# #价格划算# #房间大# #位置繁华# #服务好# 前台服务员很贴心，酒店招牌非常显眼，装修依旧还是这么温馨，装修很新很好，房间很大，窗户很大，装修符合年轻人需求，大堂很大，很大气，很明亮，走廊很干净，很明亮，走廊装修也很高大上有星级酒店的感觉，墙面很干净，走廊隔一段就有两个大大的灭火器，每个消防通道都有摄像头，卫生间很干净，很大，卫生间也设计很好，还额外配备了洗漱用品，有吹风机，浴', '短评打分': 5}
{'短评内容': '非常非常一般，酒店很旧，住进去也旧，地板都翘起来了，房间暗暗的，我应该不会再住这里了。。。地方倒还行，打车容易。', '短评打分': 3}
{'短评内容': '特别好。环境也方便。出门是小吃街', '短评打分': 5}
{'短评内容': '装修依旧还是这么温馨，很好，房间很大，窗户很大，装修符合年轻人需求，大堂很大，很大气，很明亮，走廊很干净，很明亮，走廊墙面很干净，走廊隔一段就有两个大大的灭火器，卫生间很干净，很大，卫生间也设计很好，还额外配备了洗漱用品，有吹风机，浴巾是封包的很干净，很安全，地巾也非常干净，设施齐全，冲凉很舒服热水很快，水洒在身上很舒服，床睡的非常舒服，空调的效果很好，电视也很大，很清晰，网速非常快，很好，赞一个', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '总体不错 不过发过去确认的时候那个男的态度极其恶劣', '短评打分': 3}
{'短评内容': '蛮好，服务不错。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '房间隔音太差，周围吃喝方便', '短评打分': 4}
{'短评内容': '很垃圾，网上定的房间直接就没窗户，楼道一进去就是一股味，明显是厕所中的味，空气不流通啊，其它我也就不想说啥了', '短评打分': 4}
{'短评内容': '這是我住酒店以來，最差的一家酒店', '短评打分': 2}
{'短评内容': '非常差，服務差，前台太度差，衛生極差，網跟不上不到', '短评打分': 2}
{'短评内容': '前台张姓服务生，业务能力很差、态度异常恶劣，上班还在手机看视频。白白让我们深夜在前台等她们内部沟通，门店管理异常糟糕。', '短评打分': 2}
{'短评内容': '房间没有窗户，空气不是特别好', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '酒店里面细节太脏了 ，停车还要收费', '短评打分': 1}
{'短评内容': '一如既往的好嗯嗯嗯是啊', '短评打分': 3}
{'短评内容': '环境好，服务周到，房内设置一般，', '短评打分': 3}
