{'短评内容': '真心不错，如果以后有机会再去还是会住她家', '短评打分': 5}
{'短评内容': '环境 超好的 客服也很好，一直电话联系我们。绝对推荐再推荐。以后有机会去厦门一定还去你家。', '短评打分': 5}
{'短评内容': '这家酒店位于曾厝垵，周围全是小吃，周围也全部是客栈，这家店环境不错，隔音设备一般，客栈的服务人员很贴心，还帮忙查路线什么的，棒棒哒', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '服务态度很不错。房间很暖。就是热水喷头有点漏水，改善下就可以了', '短评打分': 5}
{'短评内容': '交通方便，干净卫生', '短评打分': 5}
{'短评内容': '晚上有点凉，被子挺厚~', '短评打分': 5}
{'短评内容': '环境很好，装修别致，愿意很漂亮，半夜到的，老板特意没睡，很是负责，还送了个民族风小手串给我们，很是惊喜！', '短评打分': 5}
{'短评内容': '很喜欢，很温馨。卫生还可以，老板很友好！', '短评打分': 5}
{'短评内容': '住的是榻榻米，里面感觉不错，不过隔音太差！！！！关门关窗都一样的，外面的声音尽收耳底', '短评打分': 4}
{'短评内容': '最近很忙一直没时间评论，离开厦门快十天了，感谢如意客栈老板热情接待，如意客栈环境好?，客房卫生条件也做得很到位，下次来厦门一定再住一晚?', '短评打分': 5}
{'短评内容': '很好 还会再去', '短评打分': 5}
{'短评内容': '酒店处于曾厝垵内部相对比较安静 从火车站打车去 给师傅说到曾厝垵农商银行  一般师傅都知道 曾厝垵就一个农商银行  我住的是305房  房间不愧为精致大床房  超级“迷你”但是酒店楼下比较凌乱  不够整洁  让刚入住的人会有种不舒服的感觉 另外就是卫生间比较简陋水压也不太足  洗澡水比较小 马桶冲水也太慢水压不足 还有床头附近没有插座 这让有些喜欢在床上玩手机然后充电的人  用电不太方便 其他还将', '短评打分': 4}
{'短评内容': '很容易找到，去哪里都很方便，满意', '短评打分': 3}
{'短评内容': '房间比较简陋～十一价格太贵了～几乎在曾厝垵主街的尽头～', '短评打分': 3}
