{'短评内容': '总体印象不错', '短评打分': 4}
{'短评内容': '酒店位于市中心，交通便利', '短评打分': 4}
{'短评内容': '吃饭方便，交通便利', '短评打分': 4}
{'短评内容': '有停车场吗', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '酒店外正好是商业区', '短评打分': 5}
{'短评内容': '不错不错  第一次用京东订酒店很棒', '短评打分': 5}
{'短评内容': '还不错，带宝宝来住', '短评打分': 5}
{'短评内容': 'the breakfast is not so complete and the reception personals is not able to understand English even one word.  ', '短评打分': 3}
{'短评内容': '地理位置优越，环境很好，服务不错，下次还会光临！', '短评打分': 5}
{'短评内容': '总体还不错，老牌宾馆了，有些设施稍旧了点。', '短评打分': 5}
{'短评内容': '挺好的，经常住了，就是晚上空调的声音大了点。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '位置非常好，酒店设施也不错，下次还去住', '短评打分': 5}
{'短评内容': '地段比较好，周边就是爱山广场和银泰，可民逛逛街，挺不错的', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '设施有些老化，床太硬，停车不太方便，地理位置绝佳', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '还好，不错', '短评打分': 4}
{'短评内容': '酒店有点老了，设备相对也有点差，不过在市中心来讲，这个价格还算便宜。', '短评打分': 5}
{'短评内容': '不错，老式三星酒店，房间大，干净，早餐还行，可以推荐。', '短评打分': 5}
{'短评内容': '酒店位于市中心步行街，单行道的开车不是很方便。停车也不是很方便要进立体车库，结账的时候可以凭发票换回停车费。不过晚上逛街比较方', '短评打分': 3}
{'短评内容': '酒店很不错啊，虽然是上个年代的地标，但是别有一番味道。周边就是市中心，差不多的价格比莫泰安静不少，很好；网速很快，下载能到1.4M/S，很惬意的上上网，吃吃东西，是个不错的选择', '短评打分': 5}
{'短评内容': '性价比还不错啦，地段很好嘞，周边都是商场，和文化街，晚上去逛逛不错', '短评打分': 5}
