{'短评内容': '哈哈哈哈非常好特别好哈哈', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很好的酒店。', '短评打分': 5}
{'短评内容': '很好的酒店。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '高端大气上档次', '短评打分': 5}
{'短评内容': '很干净', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 5}
{'短评内容': '服务态度非常棒，房间卫生条件很好！', '短评打分': 5}
{'短评内容': '很不错的酒店呀！性价比极高。酒店坐落在江边，看景散步，位置极佳！酒店餐厅非常好。是朝阳市最好的酒店。', '短评打分': 5}
{'短评内容': '位置不错，河边可以溜达，早餐很一般，房间舒适，宽敞，干净', '短评打分': 5}
{'短评内容': '位置不错，河边可以溜达，早餐很一般，房间舒适，宽敞', '短评打分': 5}
{'短评内容': '在朝阳当地最好的酒店，只是晚餐结束的早。出酒店的门向右第一路口右转有一个四川火锅店，品道不错。', '短评打分': 4}
{'短评内容': '还是不错的，房间宽敞，楼下双塔很有历史范围。', '短评打分': 5}
{'短评内容': '环境很好，但是没有免费矿泉水', '短评打分': 5}
