{'短评内容': '没啥意思，不怎么好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间太小，太窄了，根本没有空间，另外，最不好的地方就是电视，电视信号太弱，没多少个电视台可以播放，。', '短评打分': 4}
{'短评内容': '早餐不错，电视看不了', '短评打分': 3}
{'短评内容': '交通方便，干净', '短评打分': 5}
{'短评内容': '如家一如既往的品质，交通很方便，如果愿意步行的就算步行去到几个主要景点都不远。酒店在院内，停车方便，而且特别安静。值得推荐。', '短评打分': 5}
{'短评内容': '挺不错的房子，挺干净，安静，一次快乐的旅行(●&deg;u&deg;●)\u200b&nbsp;」', '短评打分': 5}
{'短评内容': '还行吧，住的一楼，感觉有点潮，有轻微异味，电视收台不多，不过还算干净卫生，总体满意！', '短评打分': 5}
{'短评内容': '京东价格促销时确实实惠', '短评打分': 5}
{'短评内容': '还行吧，就是一个问题，没有窗户，也没有提前说，到了之后才说，这样不好吧，通风差。', '短评打分': 5}
{'短评内容': '地理位置好，大型停车场，停车方便，服务热情。最近京东预订价格竟然比如家官网还合适，就是不带免费早餐。如家官网预订的话，金卡会员以上就可以有免费早餐。看看个人情况吧。', '短评打分': 5}
{'短评内容': '环境好，挺不错，舒服', '短评打分': 5}
{'短评内容': '一般~又上电梯又下楼梯，门锁经常有问题..胜在交通方便，服务员和打扫的都很不错..', '短评打分': 3}
{'短评内容': '红红火火恍恍惚惚', '短评打分': 5}
{'短评内容': '位置还可以，服务态度也不错，唯一不好的总觉着不卫生。', '短评打分': 3}
{'短评内容': '价钱实惠，房间温度适中！服务人员提前就把空调打开进去很温暖，热水很到位，虽然房间小了点，但是不觉得压抑！', '短评打分': 4}
{'短评内容': '服务非常好！住的很舒服。', '短评打分': 5}
{'短评内容': '酒店环境很好，价格实惠，下次还会住这', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很好的一次住宿', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '不错，位置好，出门就是家乐福超市，离景点也近，服务好，下次还来你家', '短评打分': 5}
{'短评内容': '前台美女人很棒，经理给免费升级了。', '短评打分': 5}
{'短评内容': '还可以吧，定的特惠房，房间确实小，其他的一般', '短评打分': 4}
{'短评内容': '买的啥手机', '短评打分': 4}
{'短评内容': '房子不错 位置好 服务好 旁边就是公交站 对面就是家乐福', '短评打分': 5}
{'短评内容': '环境好，安静。出行方便。服务人员态度也很好。', '短评打分': 5}
{'短评内容': '环境不错，出差方便入住。周围有家乐福超市。', '短评打分': 5}
{'短评内容': '挺好的，在院内很安静，离家乐福超市只有一路之隔。', '短评打分': 5}
{'短评内容': '位置不错，服务挺好的，就是电梯老是有点问题', '短评打分': 5}
{'短评内容': '一样的温馨，唯一让人不满意的就是空调开一阵就会停掉出现E3的错误，怎么按遥控器都没有，需要拔卡断电再重新插卡取电，空调重启才能继续工作，过一会又如此，反反复复。晚上睡觉谁还去拔卡呀，幸好房间不热，也就懒得换房了。', '短评打分': 5}
{'短评内容': '这家不错 门口吃喝很方便 还有家乐福 交通也还可以', '短评打分': 5}
{'短评内容': ' 这家酒店就在家乐福是对面，离大明湖和趵突泉都不远，不错', '短评打分': 3}
{'短评内容': '  出去游玩住了5家酒店 就如家感觉最好了 住了两次  以后就如家了！', '短评打分': 5}
{'短评内容': '地方还不错比较安静 附近吃东西的地方也很多 性价比较高', '短评打分': 5}
{'短评内容': '挺不错~卫生不错、隔音不错、条件不错。\n如家就是一家比较不错的快捷酒店。', '短评打分': 5}
{'短评内容': '房间整体还是不错的 比较干净   就是房间比想象中的小一些。。。。。。。。', '短评打分': 5}
{'短评内容': '很不错的酒店，服务也很好……如家，一如既往的优秀。比锦江之星的服务态度好多了', '短评打分': 5}
{'短评内容': '酒店前台服务不错，房间很温馨，周边交通方面，购物吃饭唱歌都比较便利。', '短评打分': 5}
{'短评内容': '周围公交多，交通比较方便，去趵突泉和大明湖，都不算远。对面家乐福，购物方便。不是路边，比较安静。\n居然跟七天是一栋楼，一家一半，有意思。', '短评打分': 5}
