{'短评内容': '早餐比较丰富，很安静', '短评打分': 4}
{'短评内容': '酒店环境不错，有停车场，挺大的。', '短评打分': 4}
{'短评内容': '很好非常好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间可以  麻饼不错  还会继续', '短评打分': 5}
{'短评内容': '总体还行，有待提高！酒店五号楼的门禁系统不便访客来访，车位有限。房里哦里没有衣柜，不便挂放衣服和存放包包之类的。', '短评打分': 3}
{'短评内容': '酒店环境很好、服务人员很热情！小朋友很开心！', '短评打分': 5}
{'短评内容': '还可以 水床到半夜坏了 水漏出来了 不得已又换了一个房间', '短评打分': 4}
{'短评内容': '还不错，交通便利！！！！！', '短评打分': 5}
{'短评内容': '很干净，很舒适，感觉美美的', '短评打分': 5}
{'短评内容': '酒店比较干净,够得上四星级酒店标准. 地理位置也很好,距离衢州火车站仅有1.8公里, 并且门前有多路公交经过,非常方便. ', '短评打分': 4}
{'短评内容': '三号楼房间小了点', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '房间在3号楼，湖景房，过去有点远，酒店不错', '短评打分': 5}
{'短评内容': '停车方便，安静', '短评打分': 5}
{'短评内容': '老酒店，Wi-Fi是个渣渣 景观房居然是看街景，太吵了…', '短评打分': 5}
{'短评内容': '不错，超高性价比', '短评打分': 4}
{'短评内容': '不错！挺好的！下次还是这吧！', '短评打分': 5}
{'短评内容': '设备有些老旧，周边好多道路在检修！', '短评打分': 4}
{'短评内容': '整体不错，房间非常规矩，老四星的布局', '短评打分': 4}
{'短评内容': '市中心，整体印象好，房间大，特惠房免费升级了主楼，性价比高', '短评打分': 5}
{'短评内容': '地理位置,环境都不错。设施较新，干净卫生。', '短评打分': 5}
{'短评内容': '，房间宽畅，早攴好', '短评打分': 3}
{'短评内容': '原来是附楼，窗只能打开一点点，飞机隆隆声', '短评打分': 3}
{'短评内容': '服务很一般，很一般，真的狠一般。。。。\r\n这次是第二次入住，也是因为便宜。定了两晚，前台问是不一晚，你妹，不会看单子啊。\r\n入住手续先刷卡，刷完卡就把手续给另一个人办了，也不说声，另外前台在忙，只能等。没有解释，没有歉意，只有一张死鱼脸。等另外的前台空了开始办手续了，又问几晚，你妹要我说几遍？磨磨蹭蹭办好卡，拿到手上又说卡不对。我把卡递过去，她把手生过来，差二十公分，完全没有向前一步的意思，都**', '短评打分': 1}
{'短评内容': '还可以，服务挺到位，下次还考虑入住。晚上喝多了吐酒服务员很细心的打扫完卫生还给倒了一杯开水。虽然是第二天早上才知道是服务员给倒的水，还是对服务员表示感谢！', '短评打分': 5}
{'短评内容': '房间整体还不错，就是地面是浅色所以看起来不那么干净', '短评打分': 5}
{'短评内容': '酒店比较干净很不错，就是无线网络信号比较弱，有线连接还可以！', '短评打分': 5}
{'短评内容': '新装修的那栋楼 居然没电梯，带行李的就苦逼了。\n房间装修现代风格，地面效果很一般。\n床不错', '短评打分': 5}
{'短评内容': '酒店设施齐全，交通便利，住宿区安全管理不错，房价适中。', '短评打分': 3}
{'短评内容': '这个酒店确实很好，住的是特惠房，还是很干净，很舒适~\n早餐也非常丰富，提供的食物特别的多~有机会肯定会再订这个的！', '短评打分': 5}
{'短评内容': '干净、比较舒服···就是房门的隔音效果需要提高，退房时间有点长', '短评打分': 5}
{'短评内容': '情趣房虽有点情趣但是毕竟还是考虑不到位，枕头睡得有点不舒服，房间有点小，转不过身。早餐不错，挺给力的。下次还会来。', '短评打分': 3}
{'短评内容': '老酒店的新房间,住过一次,这是第二次了.就是房间小了点,早餐一般吧', '短评打分': 5}
{'短评内容': '老字号酒店，不错，下次还会住的，推荐大家入住', '短评打分': 5}
{'短评内容': '不错的酒店，就是房间有点小....,.....', '短评打分': 5}
{'短评内容': '环境很好！也有诚信，我定的房型没有了，酒店提供了升级服务。', '短评打分': 5}
{'短评内容': '早餐蛮好，后面院子很大，好些小池，还有运动设施，不错', '短评打分': 5}
{'短评内容': '房间还可以，性价比高，周围好像不是很热闹。', '短评打分': 3}
{'短评内容': '服务态度不错', '短评打分': 3}
{'短评内容': '不错。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '温馨时尚的酒店', '短评打分': 3}
{'短评内容': '价位稍高，位置有点难找，但是环境还是很好。还有早餐比较丰富。\n\n衢州特色啊~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '预定前主要是因为我是凌晨到的，该酒店可以，估计不太好，但没有想到这么差。旧，5号楼比如家等快捷酒店差远了，还标注4星，出门打车难，没有超市，小卖铺都没有，取款机没有，害的我.......', '短评打分': 1}
{'短评内容': '还未入住，所以不知好坏，但听别人说应该不错。。。', '短评打分': 5}
{'短评内容': '房间还不错！地板有点糟糕以外其他都还是不错的，地板我刚走进去以为是脏，原来是刮花了。希望以后能把地板换了！', '短评打分': 5}
