{'短评内容': '早餐没吃到，七点半才有，其他还好', '短评打分': 4}
{'短评内容': '前台服务态度超级差！马脸板着都快成猪脸了！房间缺东西不说，退房时还非说我们拆用了剪刀！永远不再踏足这里！！！', '短评打分': 3}
{'短评内容': '酒店位置非常不错，就在商城隔壁，周围超市，商场，吃饭的都非常方便，自助早餐也还可以，价格也很优惠，酒店也有免费的接送机，就是要提前预约。', '短评打分': 5}
{'短评内容': '早餐一般，位置不错，有点吵', '短评打分': 3}
{'短评内容': '总体还可以吧', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '总体来说还行吧', '短评打分': 5}
{'短评内容': '总体来说还行吧', '短评打分': 4}
{'短评内容': '环境不错 离机场很近 酒店服务好', '短评打分': 5}
{'短评内容': '酒店距离机场近 环境也不错 住着舒服 。', '短评打分': 5}
{'短评内容': '酒店离机场近，旁边有一个海洋馆，附近还有一个超大的奥特莱斯，很多国际名牌，由于这次时间紧没有去逛逛，下次有机会一定去逛逛。', '短评打分': 4}
{'短评内容': '服务跟环境都还不错，给个赞！', '短评打分': 5}
{'短评内容': '感觉不错，酒店本身服务不错，附属服务有待改进', '短评打分': 5}
