{'短评内容': '6666666 好吃好吃好吃吃', '短评打分': 5}
{'短评内容': '性价比较高。', '短评打分': 4}
{'短评内容': '房间的环境真心不好啊，到处都是虫，白天没热水，房间也比较脏乱旧，', '短评打分': 3}
{'短评内容': '餐厅服务差了点', '短评打分': 5}
{'短评内容': '特别要提到的是酒店服务很到位，五悦小妹个个有耐心，有问必答，还会详细为客人推荐解说第二天的游玩行程。冲着这点我觉得其他都不重要啦！肯定好评！最后再说一句，房间卫生设施在景区而言还算可以，总体性价比较高。', '短评打分': 4}
{'短评内容': '五妹介绍路线，主动热情', '短评打分': 5}
{'短评内容': '五妹介绍路线服务不错，环境也还可以', '短评打分': 5}
{'短评内容': '五妹服务很好，整体感觉很好。房间卫生干净，服务员热情，餐厅饭菜可口。強烈推荐！！！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '五妹美美哒，服务也很好', '短评打分': 5}
{'短评内容': '服务非常好，店长和前台都非常热情，房间也很干净，值得下次继续住。', '短评打分': 5}
{'短评内容': '位置不错，离索道近，服务也不错，到的晚，热心安排了停车', '短评打分': 5}
{'短评内容': '距离索道很近，在旅游旺季去的，服务不错', '短评打分': 5}
{'短评内容': '同时定了五间标房，内部配套不错，干净温馨，值得推荐。', '短评打分': 5}
{'短评内容': '说是在索道附近，其实离景区入口还有一段距离，早歺太简单了，名字改了在网上不更正，找了很长时间', '短评打分': 1}
{'短评内容': '一个字：差！', '短评打分': 3}
