{'短评内容': '私家开得旅馆,这家酒店服务态度特别好,而且卫生情况还可以的,只是我的家人对要爬楼梯上五楼有意见,就是房间价格有点贵了.', '短评打分': 3}
{'短评内容': '房间里面有点小有点紧凑,而且灯光暗,酒店也不怎么干净,但是老板娘还是挺讲人情的,但是这家店的服务员服务也算挺热情的,也很愿意配合客人要求,如果再去,我比较愿意多加人均20块住海边公寓.', '短评打分': 3}
{'短评内容': '離市區近,一家人住的三人间,干净卫生,而且酒店的工作人员都很热情周到,下次到三亚还会选择预订入住.', '短评打分': 3}
{'短评内容': '这是一家家庭旅馆,相对而言房间的卫生打扫得挺干净的,而且态度还是很好,只是走楼梯到五楼很辛苦,就是性价比上感觉挺低的.', '短评打分': 3}
{'短评内容': '服务态度特别好,而且价格感觉也是很便宜的,如果对住宿品质要求高的就不要考虑了.', '短评打分': 3}
{'短评内容': '只订了一晚，结果连住了一个星期，这积分怎么算呀', '短评打分': 5}
{'短评内容': '性价比绝对OK的一家旅店，老板人很热情，隔壁还有旅行社可以买便宜的门票。\n附近有一条水果摊。\n门口的公交车可以直接坐车到南山，很方便。', '短评打分': 5}
{'短评内容': '旅馆位于市中心三亚河旁，一家人住的三人间，干净卫生，老板娘很热情。下次到三亚还会选择预订入住。', '短评打分': 5}
{'短评内容': '服务态度还不错，价格也便宜\n一份价格一分货吧，如果对住宿品质要求高的就不要考虑了', '短评打分': 1}
{'短评内容': '年后来三亚旅游，旅馆价格还算公道，房间挺干净，老板娘人不错，还帮我们代买景点门票，印象挺好，给个好评。只是，旅馆旁边那家旅行社有点黑，给大家提个醒。', '短评打分': 5}
{'短评内容': '三亚万吉旅馆很不错，环境优雅，阳台上可以看到三亚河，房间干净，有网络，很适合商务出差、旅游的朋友，价格也便宜，有发票，老板一家是内蒙古的，人很不错很热心肠， 以后出差就来这里住宿。', '短评打分': 5}
{'短评内容': '私家开得旅馆，服务态度很好，卫生也不错。只是我的家人对要爬楼梯上五楼有意见，房价也偏贵了些。', '短评打分': 5}
{'短评内容': '老板娘人很好，很友善的，交通很便利，去到任何景点的公交车、出租车都有，到三亚湾海边只要十分钟路程，下次有机会还会再来的。', '短评打分': 5}
{'短评内容': '这是一家家庭旅馆，倒是蛮干净的，态度也挺好。只是走楼梯到五楼很辛苦，住房价格也偏贵。', '短评打分': 3}
{'短评内容': '老板是个女的，内蒙古人，入住时还给我们送了一个哈密瓜，哈哈，谢谢老板这些天的照顾。', '短评打分': 5}
{'短评内容': '就是一家庭旅馆；要价高得离谱，房间狭小！\n不过老板娘人倒是挺好的，对事不对人~~', '短评打分': 1}
{'短评内容': ' 很干净很舒适', '短评打分': 3}
{'短评内容': '酒店设计的挺家庭化的，设施挺齐全，位置也不错，离海边挺近，周边交通也挺便利。', '短评打分': 5}
{'短评内容': '酒店还不错，房间挺大挺干净，光线也挺好，设施也挺齐全的，住的挺舒适。', '短评打分': 5}
{'短评内容': '酒店总体感觉挺好，出行挺方便，设施挺齐全，就是没有电梯，上楼有点辛苦。', '短评打分': 3}
{'短评内容': '酒店离海边挺近的，游玩挺方便，周边吃饭交通也挺便利的。', '短评打分': 3}
{'短评内容': '房间宽敞明亮，打扫的很干净，设施基本齐全，出行交通方便，值得推荐。', '短评打分': 5}
