{'descr': '环境很差、床很脏、房间很小、还有虫子满地爬、建议不要贪便宜多花点钱去连锁酒店！', 'star': 3}
{'descr': '所谓的大床 就是两张小床拼起来 洗手间都没有洗手台 就是一个小的洗手池 洗漱很不方便 热水不热 水流小 洗不了头 最重要的是 房间的被套 枕套 感觉不是很干净 我住完第二天起来脸部就过敏了 ', 'star': 1}
{'descr': '所谓的大床 就是两张小床拼起来 洗手间都没有洗手台 就是一个小的洗手池 洗漱很不方便 热水不热 水流小 洗不了头 最重要的是 房间的被套 枕套 感觉不是很干净 我住完第二天起来脸部就过敏了 ', 'star': 1}
{'descr': '服务热情，房间太小，有蜘蛛网，不安全，交通很方便', 'star': 1}
{'descr': '服务热情，房间太小，有蜘蛛网，不安全，交通很方便', 'star': 1}
{'descr': '卫生不好，服务热情，房间太小，还有蜘蛛网，周围环境嘈杂', 'star': 1}
{'descr': '卫生不好，服务热情，房间太小，还有蜘蛛网，周围环境嘈杂', 'star': 1}
{'descr': '服务热情，卫生不好，感觉不安全，房间太小，周围环境嘈杂', 'star': 1}
{'descr': '服务热情，卫生不好，感觉不安全，房间太小，周围环境嘈杂', 'star': 1}
{'descr': '服务热情，条件一般，交通方便，出差居住过得去，价钱不高', 'star': 5}
{'descr': '服务热情，条件一般，交通方便，出差居住过得去，价钱不高', 'star': 5}
{'descr': '装修好，条件不错', 'star': 3}
{'descr': '装修好，条件不错', 'star': 3}
{'descr': '位置不错，房间不好！', 'star': 3}
{'descr': '位置不错，房间不好！', 'star': 3}
{'descr': '宾馆条件差,管理脏烂差!', 'star': 3}
{'descr': '宾馆条件差,管理脏烂差!', 'star': 3}
{'descr': '已入住!比想想的差啊!', 'star': 3}
{'descr': '已入住!比想想的差啊!', 'star': 3}
{'descr': '还不错。还不错   还不错       。。。。。。。。。。', 'star': 5}
{'descr': '还不错。还不错   还不错       。。。。。。。。。。', 'star': 5}
{'descr': '酒店卫生差，服务态度差，前台人员大声喧哗，这更本不是宾馆，菜市场', 'star': 1}
{'descr': '酒店卫生差，服务态度差，前台人员大声喧哗，这更本不是宾馆，菜市场', 'star': 1}
{'descr': '房间还可以', 'star': 3}
{'descr': '房间还可以', 'star': 3}
{'descr': '味道重 不通风  蚊子多  蜘蛛网到处都是  本来公司开展会要定4天的  结果一个晚上就没人愿意在那住了', 'star': 1}
{'descr': '味道重 不通风  蚊子多  蜘蛛网到处都是  本来公司开展会要定4天的  结果一个晚上就没人愿意在那住了', 'star': 1}
{'descr': ' 还可以就是气味有点重', 'star': 3}
{'descr': ' 还可以就是气味有点重', 'star': 3}
{'descr': '宾馆靠高科西路，早上4：30左右就有汽车声，太吵。卫生间水龙头看上去有发白毛的，感着不舒服，房间有味道，是否不通风。本来要住三个晚上，住了一天就退了。', 'star': 1}
{'descr': '宾馆靠高科西路，早上4：30左右就有汽车声，太吵。卫生间水龙头看上去有发白毛的，感着不舒服，房间有味道，是否不通风。本来要住三个晚上，住了一天就退了。', 'star': 1}
{'descr': '硬件一般  卫生太差没人管理  住了一晚喂蚊子一晚----伤心', 'star': 1}
{'descr': '硬件一般  卫生太差没人管理  住了一晚喂蚊子一晚----伤心', 'star': 1}
