{'短评内容': '环境好，舒服', '短评打分': 5}
{'短评内容': '非常好，环境不错', '短评打分': 5}
{'短评内容': '没有早餐，有停车场', '短评打分': 4}
{'短评内容': '没有早餐，有停车场', '短评打分': 4}
{'短评内容': '没有早餐，有停车场', '短评打分': 4}
{'短评内容': '还不错。。。。。', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '前台接待服务态度很差，不是应该微笑服务吗？那个爆脾气还是不要带到工作中来比较好，也会比较影响入住人的心情！', '短评打分': 3}
{'短评内容': '需提前预定，房间很大，但是设备一般，有停车场，帮朋友订的，整体算是差强人意吧。貌似无早餐，周边小吃店也少', '短评打分': 4}
{'短评内容': '很一般，关键是沐浴露都是坏的', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '服务态度很好，卫生环境不错哦', '短评打分': 5}
{'短评内容': '酒店环境很好，设施也很好，很喜欢住在这', '短评打分': 4}
{'短评内容': '真的不错！！！！！！！', '短评打分': 3}
