{'短评内容': '环境不错，吃饭的地方多', '短评打分': 5}
{'短评内容': 'ktv太吵了 ', '短评打分': 5}
{'短评内容': '不错，服务很仔细，细心，环境闹中取静。', '短评打分': 5}
{'短评内容': '每次有朋友来，都订这里，出行方便。附近的九街有很多吃的、玩的地方。去机场、火车站、逛观音桥也方便。喜欢花园房', '短评打分': 5}
{'短评内容': '多次入住，非常好，推荐！', '短评打分': 5}
{'短评内容': '都次住，非常棒，稍微贵了点，推荐好评！', '短评打分': 5}
{'短评内容': '有点吵', '短评打分': 4}
{'短评内容': '老总出差入住，客户推荐的酒店，还不错，整体满意，服务态度好，出行方便，环境不错。', '短评打分': 5}
{'短评内容': '离客户单位很近，就定了这里，房间很大，设施齐全，床很舒服。', '短评打分': 5}
{'短评内容': '房间设施完善，地理位置优越，周边美食好多啊', '短评打分': 5}
{'短评内容': '安静.卫生', '短评打分': 5}
{'短评内容': '酒店位于北城天街的天街星城楼顶，距观音桥步行街仅几分钟的路程，出行、购物、游玩、吃饭都非常方便，楼下就是小吃街，各种美食尽可享用，酒店房间宽敞，干净卫生，虽然有点旧，但服务态度非常好，尤其每晚还送水果，比较贴心，酒店虽在楼顶，但环境非常优雅！', '短评打分': 5}
{'短评内容': '感觉还不错，挺宽敞整洁的', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '设施比较陈旧，价格那么贵', '短评打分': 3}
{'短评内容': '第一次去重庆，在网上找的一家有特色的酒店。房间很大，很干净。 酒店类似于顶层大院的感觉，还有花坛树藤，挺有意思。 周边吃的喝的也很多。', '短评打分': 4}
{'短评内容': '地理位置非常好，但是某一区的晚上非常吵，楼下是酒吧。如果需要安静请特别交代前台。', '短评打分': 4}
