{'短评内容': '很干净 离地铁近 房间电视没有hdmi插口', '短评打分': 5}
{'短评内容': '干净卫生，24小时热水，在7号地铁出口对面', '短评打分': 5}
{'短评内容': '很干净周边也挺安静的 离地铁站非常近交通便捷', '短评打分': 5}
{'短评内容': '一般般。', '短评打分': 3}
{'短评内容': '酒店位置很好、靠近地铁站、比较不错、有停车场、很方便、', '短评打分': 5}
{'短评内容': '不错，简单干净，浦东机场很快能到，飞机晚点了，半小时就来到赶紧睡觉', '短评打分': 5}
{'短评内容': '比较干净，服务一般', '短评打分': 4}
{'短评内容': '不错，请医院很方便', '短评打分': 4}
{'短评内容': '给老家的人订的，房间很大很干净，住的感觉很好', '短评打分': 5}
{'短评内容': '离一妇婴比较近，比较方便', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '很好，里新博览中心很近', '短评打分': 5}
{'短评内容': '经济实惠型，酒店设施齐全，干净整洁，空间还算大，周边不吵闹，整体感觉挺好的，电梯需要插卡再按楼梯，安全性也挺好', '短评打分': 5}
{'短评内容': '挺好的哈', '短评打分': 5}
{'短评内容': '帮朋友预定的，他觉得挺好的……', '短评打分': 4}
{'短评内容': '通常的连锁酒店都没有像样的餐厅，但是这家酒店却有一个很不错的自带餐厅，有早餐自助餐，晚上还能点炒菜，味道还不错，比在附近的小店吃强多了，实在是个意外的惊喜。', '短评打分': 5}
{'短评内容': '做磁悬浮很方便', '短评打分': 5}
{'短评内容': '可', '短评打分': 4}
{'短评内容': '酒店位置非常好，离地铁站非常的近，酒店边上酒店少，但是小饭馆还是很多。', '短评打分': 5}
{'短评内容': '非常不错 环境挺好的 距离地铁站很近', '短评打分': 3}
{'短评内容': '还不错，在上海这酒店算性价比非常大的了，下次还会考虑入住', '短评打分': 5}
{'短评内容': '还不错吧 干净简洁 交通方便 以后还会来住的！', '短评打分': 5}
{'短评内容': '酒店位置方便，正在地铁七号线一号出口，房间也非常整洁，推荐入住', '短评打分': 5}
{'短评内容': '位置不错，价格稍贵，周边没什么吃的玩的，去机场还算方便', '短评打分': 5}
{'短评内容': '＋酒店很干净也很安静', '短评打分': 3}
{'短评内容': '帮客户订的，据说挺不错的，交通也很方便。。。。。。。。。。', '短评打分': 5}
{'短评内容': '不错的酒店不错的酒店不错的酒店不错的酒店不错的酒店不错的酒店不错的酒店', '短评打分': 5}
{'短评内容': '乘地铁2站地到新国际博览中心，打车起步价；酒店内环境不错；附近餐馆也很多，总之参会住这里非常方便！', '短评打分': 5}
{'短评内容': '到新国际博览中心出门便可乘地铁，两站路 ，非常方便！', '短评打分': 5}
{'短评内容': '好，就是窗帘打开就是人家，没私密性！\n整体还不错。', '短评打分': 5}
{'短评内容': '酒店很好，服务不错。而且很干净。住过几次锦江之星的酒店了，感觉还真不错。连锁的酒店还是比较值得信任的。 ', '短评打分': 5}
{'短评内容': '整体环境.服务.卫生.简餐都不错。以后还会选择去住。', '短评打分': 5}
{'短评内容': '地理位置和环境都不错，服务态度也很好，以后去上海还会考虑。', '短评打分': 5}
{'短评内容': '很好，听推荐住的，价格和同类锦江比稍微贵些，不过打定要住浦东也还是个不错的选择', '短评打分': 5}
{'短评内容': '和所有的锦江一样。在地铁对面，很是方便。', '短评打分': 5}
{'短评内容': '交通方便离地铁很近。去展览中心非常方便。晚间很安静。', '短评打分': 5}
{'短评内容': '交通方便，但离国展比较远，3公里，早上打车打不到，离地铁口200米，房间干净', '短评打分': 5}
{'短评内容': '很干净，周边交通很方便。', '短评打分': 3}
{'短评内容': '干净卫生，服务不错，最主要是交通方便，去龙阳路很近。', '短评打分': 5}
{'短评内容': '干净，商务间很大，离地铁和磁悬浮都非常近，很适合在浦东转机的朋友', '短评打分': 5}
{'短评内容': '比较安静，房间整洁，18块的早餐算起来性价比还是可以的，就是早上叫车麻烦了点儿，不过9点半出门就有很多车了', '短评打分': 5}
{'短评内容': '比较干净。空调和热水都很给力！服务态度也不错。离地铁站真的很近。我几乎没有任何负面感觉，很满意。', '短评打分': 5}
{'短评内容': '干净卫生，服务很热情到位，各方面条件都挺好的，早餐品种很丰富。', '短评打分': 5}
{'短评内容': '离地铁近；\n干净卫生；\n前台态度及服务好。\n下次再住。', '短评打分': 5}
{'短评内容': '整体不错！\n交通位置不错。7号线出口。\n401空调有噪音，201天花板太低。', '短评打分': 5}
{'短评内容': '交通方便，靠近地铁7号线，不靠近主路，比较安静，性价比比较高的地方，房间应该增加储物柜，停车位少，一共不到10个车位，餐厅的感觉还不错', '短评打分': 5}
{'短评内容': '就是厕所小点，其他都很好，很热情。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店位置很好，房间很干净，价格也比较合适。', '短评打分': 5}
{'短评内容': '单人房A是我见到过的最别扭,最不舒服的房间类型,可价格却不低,标B还可以接受.', '短评打分': 3}
{'短评内容': '安静，交通便捷，服务也非常的周到，离地铁站龙阳站非常的近，用餐也非常的方便。很好！', '短评打分': 5}
{'短评内容': '环境一般,房间比较小,价格上也没什么优势', '短评打分': 5}
{'短评内容': '房间很干净,没有异味,地理位置好,价格略贵.', '短评打分': 3}
{'短评内容': '卫生干净，离新国际博览中心、地铁站、磁悬浮站也近。', '短评打分': 5}
{'短评内容': '很干净满意。', '短评打分': 3}
{'短评内容': '离展馆挺近。 离展馆挺近。 离展馆挺近。 ', '短评打分': 5}
{'短评内容': '交通非常方便，在地铁七号线--芳华站出口处。我是要去参加新国际会展中心的PTC展会的，这个位置离会场很近，两站地，唯一的一点就是感觉屋子内的环境不如如家的好。', '短评打分': 5}
{'短评内容': '位置不错，离地铁很近，房间干净，服务还好。', '短评打分': 5}
{'短评内容': '交通方便，房间干净！不过门口的配套设施不怎么样，没有比较好的饭馆。', '短评打分': 5}
{'短评内容': '房间是标准双人间B，房间很大，地理位置很好，在7号线芳华路站1号出口很方便，去外滩，豫园，都很方便，从浦东机场下来，直接做2号线转7号线做1站就是，非常方便，作晚上的飞机也很方便，用餐来说，酒店里面的就可以，价位都可以，而且也非常干净，十一期间，能有个房间就不错了，锦江之星是连锁，里面的服务，我们都很满意。', '短评打分': 5}
{'短评内容': '还挺卫生', '短评打分': 3}
{'短评内容': '价格公道，干净卫生，服务态度好,很不错的快捷酒店', '短评打分': 5}
{'短评内容': '酒店干净整洁，空间紧凑，作为上海这个寸土寸金的地方，价格略贵但也合理。交通十分便利，一下7号线芳华路站便到，这是最值得推荐的地方。', '短评打分': 5}
{'短评内容': '还不错交通方便也挺干净', '短评打分': 3}
{'短评内容': '就在地铁7号线花木路那一站，很方便，到机场打车130左右，如果一个人可以做地铁或是磁悬浮都是不错的选择，下次还会定这个酒店', '短评打分': 5}
{'短评内容': '服务态度好，环境一般，写字台在空调下面，半个小时人就就被空调吹晕了\n，其他还好，价格别莫泰168贵没感觉除了服务态度没感觉好在哪里', '短评打分': 5}
{'短评内容': '非常满意！干净、舒适、便宜、性价比高。前台服务也很好，和蔼。房间有免费宽带网络，电视、空调俱全。没衣柜，只有挂衣架。下次还来住。', '短评打分': 5}
{'短评内容': ' 房间干净整洁 床也舒适 门窗隔音不太好', '短评打分': 3}
{'短评内容': '不错，挺好，去新国际博览中心很方便，周边饮食也方便。', '短评打分': 5}
{'短评内容': '条件还不错 服务态度很好 是性价比比较高的酒店', '短评打分': 5}
{'短评内容': '干净整洁，离新国际博览中心较近，乘坐地铁也很方便，经济实惠', '短评打分': 5}
{'短评内容': '地点蛮方便的，参加展会挺近的，环境还可以。\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '������m����,����������������������������m��������ټ;����������Ϻ', '短评打分': 5}
{'短评内容': '地铁边上交通方便，服务也很不错。周边就是居民区相对配套完善', '短评打分': 5}
{'短评内容': '干净，环境很好。性价比比较高。非常的好。。。。。。\n车位也很多～～～非常喜欢', '短评打分': 5}
{'短评内容': '酒店不错，就是上海的交通太挤。地铁挤死了。', '短评打分': 5}
{'短评内容': '这个也是因为离新会展中心近才住的，结果经理真的没太满意，门下面有一寸高的大缝，晚上外边什么声音都听的到，第二天还需要工作，休息的不太好，以后肯定不会订了。', '短评打分': 1}
{'短评内容': '靠地铁，房间干净，还不错，推荐。', '短评打分': 3}
{'短评内容': '地理位置非常方便，离地铁口走路只要1分钟不到，而且酒店非常干净，推荐！', '短评打分': 5}
{'短评内容': '办事效率高，值得推荐，如果仅是住宿，对价格敏感，值得考虑', '短评打分': 5}
{'短评内容': '酒店挺干净整洁。', '短评打分': 3}
{'短评内容': '最大优点离地铁非常方便，房间比较宽敞，综合评价不错', '短评打分': 5}
{'短评内容': '非常满意', '短评打分': 3}
{'短评内容': '酒店交通地铁很近近，干净，整洁。但是感觉周边配套较差。', '短评打分': 5}
{'短评内容': '，锦江之星房间卫生可以用一尘不染来形容，而且服务态度也很好', '短评打分': 3}
{'短评内容': '感觉挺干净但是还是有点贵', '短评打分': 3}
{'短评内容': '早餐很好，交通也方便，离地铁7号线很近。', '短评打分': 5}
{'短评内容': '整体还可以，小餐厅服务跟不上，前台结帐太慢。', '短评打分': 5}
{'短评内容': '酒店门早餐店虽然简陋，包子味道好，价格便宜。', '短评打分': 3}
{'短评内容': '地铁近，会展中心方便，大堂门卫很热心，下次还会住。', '短评打分': 3}
{'短评内容': '非常好，帮堂哥订的。出门20米就是地铁。出行非常方便。', '短评打分': 5}
{'短评内容': '酒店服务还是不错的，只是预定的单人间，因为展会期间人多，安排在2楼，而室外的空调噪音很大，晚上休息不是很好，酒店干净，只是略显简单。', '短评打分': 5}
{'短评内容': '蛮方便，离地铁站很近，挺干净的，价格也不贵', '短评打分': 5}
{'短评内容': '房间相比较与锦江之星其他酒店来看，稍微显得简陋了一些，不过交通很方便，出了门就是地铁', '短评打分': 5}
{'短评内容': '已经是第二次入住了，各方面条件和服务都不错，比较满意。', '短评打分': 5}
{'短评内容': '感觉还行，就是地步有的地方滑的要命，有的地方粘呼呼的，应该是没打扫干净，其他还不错。', '短评打分': 3}
{'短评内容': '再次入住，除了房价偏高之外，其他方面都不错。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '地铁7号线芳华路站1出口，出来马路对面即是，坐地铁很方便。服务不错，但价格偏高。', '短评打分': 5}
{'短评内容': '各方面都还不错，跟传说中的基本一样。服务也很好。唯一缺憾是卫生间和浴室有点小，感觉有些不舒服。', '短评打分': 5}
{'短评内容': '地点蛮方便的，参加展会挺近的，就是打车有点费劲！', '短评打分': 5}
{'短评内容': '交通方便，离地铁站近，干净卫生，就是价格有点贵啦。', '短评打分': 5}
{'短评内容': '位置很好，离地铁7号线只有100米，离磁悬浮总站打车起步价，很近有个好又多超市，很方便。前台态度不错，房间也还好，一次性物品质量稍差。如果不是会员相对来说价格有点高。', '短评打分': 5}
{'短评内容': '设施 太陈旧  那么冷的天 竟然么有 暖气                             ', '短评打分': 1}
{'短评内容': '这次住在这里是为了看王菲演唱会来的，这边里地铁真的很近，就在门口，出行很方便，到世博演艺中心看演唱会更方便！', '短评打分': 5}
{'短评内容': '这里离地铁真的很近，出行也是很方便的，只是附近荒凉了一些，总的来说还是不错的，以后如果还在附近办事就住着！', '短评打分': 5}
{'短评内容': '交通的确方便，下次如果参加展会还会去住 ', '短评打分': 5}
{'短评内容': '朋友对交通满意，但对设施评价一般，但是经济型连锁酒店，可能就是这样', '短评打分': 1}
{'短评内容': '不错，芳华路地铁1号出口抬头就看到了，服务也不错，挺家庭化的感觉', '短评打分': 3}
{'短评内容': '为了参加电子展，选择这这家酒店，不过还是磁悬浮总店离展览中心更近，推荐那家', '短评打分': 5}
{'短评内容': '房间干净，服务态度好。', '短评打分': 3}
