{'descr': '经济型，挺干净的', 'star': 5}
{'descr': '环境不错，非常安静，交通便利，干净卫生', 'star': 5}
{'descr': '坑爹', 'star': 2}
{'descr': '挺好的，一直喜欢住汉庭，品牌店环境什么的，都不错', 'star': 5}
{'descr': '地段好，周边医院多，看病检查身体很方便，交通便利，房间有点小，无线网不给力，卫生还好。', 'star': 4}
{'descr': '还可以', 'star': 5}
{'descr': '定晚了，没房了，退款挺快就到账了。', 'star': 5}
{'descr': '不错的商品，很喜欢使用它', 'star': 5}
{'descr': '还行吧，交通方便，容易找，客房有点小，卫生也不错。', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '比其他网站预定便宜，不错', 'star': 5}
{'descr': '地理位置方便，床很舒服，前台服务态度特别好，信赖汉庭。', 'star': 5}
{'descr': '服务态度不好，房间难找，总之性价比不怎么样', 'star': 3}
{'descr': '性价比高！', 'star': 5}
{'descr': '态度冷淡，订的房间是20平的，到了之后告诉我他们只有15平的，s说携程搞错了。没办法，只能将就了，希望大家以后订完房间，再确定一下。', 'star': 5}
{'descr': '酒店位置非常好，出门地铁十分方便，地处南京市中心。安静整洁，就是洗漱用品不是很齐全。', 'star': 5}
{'descr': '总体还可以，我想是不是我们从网上定的，就随便安排个角落的房间，而且房间特别小，无线网很差，服务一般。', 'star': 3}
{'descr': '一家三口睡大床房也不挤，就是浴室全透明，环境一般，地理位置绝佳，这个地段这样的快捷酒店算是物美价廉', 'star': 5}
{'descr': '一般', 'star': 3}
{'descr': '环境还可以，就是住的b区一楼，有点吵', 'star': 4}
{'descr': '还行', 'star': 5}
{'descr': '房间还可以，细节一般', 'star': 4}
{'descr': '地方方便，虽然修路，但是屋里安静。很不错！', 'star': 5}
{'descr': ' 已入住大床房 地点好，有点小，网速很慢…', 'star': 3}
{'descr': '给朋友订的，挺好的，交通方便。就是价格贵了点。', 'star': 3}
{'descr': '地理位置不错，方便需要就医的人，有早餐，干净省事，就是房费在这两年长了一半，有点小贵。', 'star': 5}
{'descr': '位置还不错, 市中心, 性价比不错, 下次应该还会预订.', 'star': 5}
{'descr': '交通便利，房间很干净，价格还算合理，就是房间小了点，总的来说值得推荐', 'star': 5}
{'descr': '酒店位置还可以, 挨着南京大学, 交通也还算方便, 离开鼓楼地铁站比较近的。', 'star': 5}
{'descr': '房间很小，不过各种设施相对还比较齐全，总体还行吧', 'star': 5}
{'descr': '房间较小，靠马路一侧有点吵哦。', 'star': 3}
{'descr': 'just soso', 'star': 3}
{'descr': '第一次在网上订房，就赶上百元房，挺实惠，订房很简单，服务态度也不错                                           ', 'star': 5}
{'descr': '酒店的地理位置非常好，离去办事的地方很近，交通也方便。但是住的是1楼，不知为何，非常潮湿，被子也是湿的，开空调也没用。', 'star': 5}
{'descr': '服务还不错，房间大小适中，地段很好，很方便。', 'star': 5}
{'descr': '酒店位置不错，房间安静，就是房间较小，对于短期出差的还是可以选择的', 'star': 5}
{'descr': '房间太小\n味道不好\n地点也不好\n吃东西不方便', 'star': 1}
{'descr': '地方不错，闹中取静', 'star': 3}
{'descr': '宾馆很干净，位置好，前台服务好，下次希望还住到这', 'star': 5}
{'descr': ' 房间小了点，交通不错', 'star': 3}
{'descr': '酒店真不错,设施齐全,干净整洁!总之就是各种好,各种喜欢,以后就选汉庭了!百元房服务也不打折!非常好', 'star': 3}
{'descr': '缺点:隔音效果比较差，末有电脑…优点:地理位置较好，离新街口近，就餐方便…', 'star': 3}
{'descr': '不错', 'star': 3}
{'descr': '服务不错，房间很干净，就是小了点，下次还会住。', 'star': 5}
{'descr': '还不错', 'star': 3}
{'descr': '＋以前住过，环境也很好！', 'star': 3}
{'descr': '挺不错的 比较满意 地点挺好  交通方便 推荐入住', 'star': 5}
{'descr': '酒店不错，蛮安静，房间也很卫生，不错的选择', 'star': 3}
{'descr': '位置比较好，交通便捷，房间小了点，总体还可以……', 'star': 5}
{'descr': '房间虽然小，但是很温馨，很暖和，推荐。挨着南京医科大学，很方便', 'star': 5}
{'descr': '＋不错，挺干净', 'star': 3}
{'descr': '服務不錯.位置不易找, 也算是近地鐵站..不過逛街不方便', 'star': 5}
{'descr': '位置交通方便，服务比较热情，一楼的环境不是很好', 'star': 5}
{'descr': '房间不大，但是周围环境很安静，也挺干净的。', 'star': 5}
