{'短评内容': '整体环境一般', '短评打分': 4}
{'短评内容': '消防部队办的宾馆 ，安全、清净、干净、舒服！里面有运动场，可以跑步。选择靠运动场一侧的房间会更安静一些。', '短评打分': 5}
{'短评内容': '和上次入住的应该是一个房间，淋雨主喷头坏了，一直没修，也是无语了！其他方面也就那个样，等酒店重新装修后再选择入住吧，WiFi信号希望能有所提升，房间内经常掉线，前台到是说他们的信号很好', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店位置很好找，硬件也还可以，就是服务员感觉不是很热情', '短评打分': 5}
{'短评内容': '整体环境还是不错', '短评打分': 5}
{'短评内容': '基本还行', '短评打分': 3}
{'短评内容': '环境不错。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '房间略小', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '酒店大厅看着还行，就是周围的配套设施太少了，吃个饭也不方便。酒店房间非常小不说，还很旧，墙上都在脱落，墙角也都发霉，地上还有一坨一坨的头发。问前台要一次性拖鞋，说因为上次有客人滑倒，所以不再提供一次性拖鞋，你们就不能买好一点的吗？反正不会再住第二次了', '短评打分': 3}
{'短评内容': '武警招待所，安全是不成问题的，早餐面条不错。', '短评打分': 5}
{'短评内容': '酒店位置还不错，干净、卫生、安静，wifi信号很好，工作人员服务态度也很好。', '短评打分': 5}
{'短评内容': '不太方便出行', '短评打分': 5}
{'短评内容': '不太方便', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
