{'短评内容': '酒店距离体育馆近。', '短评打分': 5}
{'短评内容': '比较安静，还好。没早饭', '短评打分': 5}
{'短评内容': '挺好的，，住过好几次了', '短评打分': 5}
{'短评内容': '整体还可以，比较安静', '短评打分': 4}
{'短评内容': '酒店环境极差，房间里有蟑螂，床上面的天花有蜘蛛，找过前台，前台却跟我说房间窗户开着多少有些虫子，我当时的心都碎了', '短评打分': 2}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': 'w位置有点远', '短评打分': 4}
{'短评内容': '很一般', '短评打分': 2}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '房间有点小，其他还好……………………', '短评打分': 4}
{'短评内容': '经济实惠，还不错', '短评打分': 4}
{'短评内容': '经济实惠，还可以的', '短评打分': 4}
{'短评内容': '挺好的，完全的一扇落地窗。光线好', '短评打分': 3}
{'短评内容': '环境很好，方便便利，值得推荐', '短评打分': 5}
{'短评内容': '很差的一个酒店！谈不上什么假日！一个家庭旅馆而已！住客鱼龙混珠！隔音效果极差！地理位置太偏！不含早餐！吃早餐也不方便！', '短评打分': 1}
{'短评内容': '房间里有一股臭味，最难忍受的是晚上睡觉时一直都有流水的声音，不知是怎么回事，还有空调也不是很好，声音很响，温度也打不高。\n我哥哥也住这家酒店，那个房间也是一样问题，后来换了一间才稍微好一点', '短评打分': 1}
{'短评内容': '宾馆使用中央空调，看起来档次也可以，我们住的是705和503，里面浴室整个是玻璃浴室，这次住了二家都是这种浴窒，感觉像是蜜月房，里面有电脑和冰箱，不过我们只住了一晚，因为整晚都听到中央空调水声，而且中央空调有异味，一开空调整个房间就不舒服，不开空调，晚上又冷得睡不着', '短评打分': 5}
