{'短评内容': '总体还是不错的', '短评打分': 5}
{'短评内容': '位置优越，服务周到', '短评打分': 5}
{'短评内容': '服务挺好的，房间也很干净，跟老公一起去方特，位置距离方特特别近，而且公交也很方便，楼下有个餐馆味道也不错。', '短评打分': 5}
{'短评内容': '有停车的地方', '短评打分': 5}
{'短评内容': '房间干净整洁看起来就很舒服  唯一一点走廊隔音不好，早上六点多就被乱醒了。', '短评打分': 5}
{'短评内容': '如家快捷酒店，这家店很一般。就是离家近一点。', '短评打分': 5}
{'短评内容': '没订到，坐地起价了', '短评打分': 5}
{'短评内容': '挺舒服的，就是位置有点偏，晚上吃饭都没地方', '短评打分': 5}
{'短评内容': '服务不错的！', '短评打分': 5}
{'短评内容': '设施是如家一贯的水准,还可以.位置比较一般,对面在修路.服务不错.门口就有一家餐馆,口味和性价比都还可以.', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错，干净卫生，暖气开的很足', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店不错，价格便宜，吃住方便。', '短评打分': 4}
{'短评内容': '位置不是太好，周围吃饭的地方也不多，但是房间是不错，还有早餐很垃圾了，一般', '短评打分': 4}
{'短评内容': '挺好', '短评打分': 4}
{'短评内容': '设施、卫生不错，服务也可以，推荐。', '短评打分': 5}
{'短评内容': '不错，还可以', '短评打分': 5}
