{'短评内容': '一般般，勉强能住', '短评打分': 3}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '其他都还可以，就是太吵，在立交桥旁边', '短评打分': 4}
{'短评内容': '服务态度很差，房间一进去就能闻到一股霉味，有些年头了，不推荐', '短评打分': 2}
{'短评内容': '地理位置好，卫生一般、设施一般', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '总体还不错', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '房间不是很大，其它的都挺好的', '短评打分': 3}
{'短评内容': '高级大床房都没有窗户，性价比不好', '短评打分': 3}
{'短评内容': '还不错，设计挺适合情侣的，不满意的是有窗房型太少，灯光太暗，隔音一般。', '短评打分': 5}
{'短评内容': '没什么可说，预订晚了，其它地方都满了，也就这样。', '短评打分': 5}
{'短评内容': '声音太吵，正好在立交桥边上', '短评打分': 3}
{'短评内容': '不错，环境，设施都可以。。。如果价位在150到200之间就好了', '短评打分': 5}
{'短评内容': '房间格局比较零乱。', '短评打分': 3}
{'短评内容': '环境设施 还不错，我和朋友一人一个房间，同样是大床房，他的房间竟然比我的大很多，有点郁闷！！！如果价格在200以内   就物有所值了！！ ', '短评打分': 5}
{'短评内容': '床很舒服 就是房间很小 圆床比大床房还小的感觉', '短评打分': 5}
{'短评内容': '太有情调了，而且里面的电视和电脑是一体机，窗帘都是自动的', '短评打分': 5}
{'短评内容': '不怎么样，失望，环境卫生一般，价格偏贵，性价比一般', '短评打分': 1}
{'短评内容': '酒店服务不错，就是稍微有点贵。房间外早晨会有音响噪音。。。', '短评打分': 5}
{'短评内容': '值得一提的是,床真是很舒服.卫生不错.唯一欠缺的就是房间不大.', '短评打分': 5}
{'短评内容': '感觉真的很棒，很有艺术氛围。下次来杭州还会选择本酒店。', '短评打分': 5}
{'短评内容': '房间没有窗，但不觉局促，房间虽小，五脏具全，床特别舒服。对于白天外出观光，晚上回来睡觉的我来讲，豪华的房间倒是浪费了。只是不在市中心，但对于自驾一族倒是很方便的。', '短评打分': 5}
{'短评内容': '感觉还可以，不过附近购物什么的就不是很方便。。', '短评打分': 5}
{'短评内容': '房间太小，花洒水小，只够洗手，有窗房间是个摆设，隔音效果差 性价比太低，唯一好的的就是床舒服。', '短评打分': 1}
{'短评内容': '不错，一直信赖的条件跟服务。', '短评打分': 3}
{'短评内容': '环境不错。就是隔音效果不是很好，下次还会入住。', '短评打分': 5}
{'短评内容': '房间装修不错，就是房间很迷你…', '短评打分': 3}
{'短评内容': '房间很温馨 下次还会选这家', '短评打分': 3}
{'短评内容': '还可以，适合小情侣住，房间小了点，洗澡的地面很舒服。。', '短评打分': 5}
{'短评内容': '房间小 隔音不好 其他环境还不错 交通方面', '短评打分': 5}
{'短评内容': '其他的都还可以 就是房间有点小 隔音很不好', '短评打分': 5}
{'短评内容': '内饰不错，很喜欢\n但是太吵，晚上睡不大着', '短评打分': 5}
{'短评内容': '房间小，但是一应俱全，服务也不错，就是在深夜走廊外说话声音较大，住客大声喧哗没人管理；', '短评打分': 5}
{'短评内容': '酒店的隔因超级好,房间里听不到外面的一点声音!也很干净,就是没早餐,这点不好!', '短评打分': 3}
{'短评内容': '还是不错的，每间房间基本都不一样，很有风格的酒店，就是洗澡水不太热，房间不太隔音', '短评打分': 5}
{'短评内容': '酒店不错，火车站到酒店打车只要15元，到西湖也不算很远，酒店的确很有风格，就是不太隔音 水不太热', '短评打分': 5}
{'短评内容': '酒店环境不错，位置也蛮好找，价格也是相对也比较合理，会再次入住', '短评打分': 5}
{'短评内容': '酒店环境还是挺好的，位置还是蛮好找，价格也是比较合理。', '短评打分': 5}
{'短评内容': '很好，服务态度很棒。酒店是新装修的，环境也不错。就是国庆期间价格有点高', '短评打分': 5}
{'短评内容': '地点很独特，是一家值得去找的店，店内设计富有艺术气息，店内电视的电影及mv等无偿点播也是一个很人性化的表现。服务态度非常好，店内干净，只是我十一去的时候厕所浴室的门还没有锁，这个要改进。', '短评打分': 5}
{'短评内容': '交通一般就有些不方便，内部设施还不错不过房间不是太大，服务态度还挺好，价格还是节假日有些偏高了。', '短评打分': 5}
{'短评内容': '很不错的一家新酒店，里面的设计对于我这种外行而言确实够艺术，住得很舒服。不足之处在于周边环境，晚上还不错很安静，但是一大早就被劲爆的卖场迪斯科扣吵醒了，相信酒店自身对此也只能无奈，同情。', '短评打分': 5}
{'短评内容': '该酒店发霉的味道很浓，混合着楼下火锅店的火锅油味道，实在不怎么样，没有入住。建议以后不宜推荐。', '短评打分': 3}
{'短评内容': '该酒店性价比不高，酒店位于杭州开发区，离景区较远，但是装修风格不错，酒店服务态度一般，隔音不好，不赶时间者可入住。', '短评打分': 1}
