{'短评内容': '很好的酒店', '短评打分': 5}
{'短评内容': '还可以，地段好，出入方便', '短评打分': 4}
{'短评内容': '房屋有一些潮，剩下的都还可以。早上能听到一些广场舞的声音，因为窗户外面就是小区', '短评打分': 5}
{'短评内容': '千万别去这家酒店，坑死人，首先这家酒店已经改名了，找了半天找不到，其次房间小得可怜，居然没有热水！！！', '短评打分': 3}
{'短评内容': '交通非常方便', '短评打分': 5}
{'短评内容': '还可以就是服务员不太会说话', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '交通非常方便卫生还可以性价比不错下次还会再住', '短评打分': 4}
{'短评内容': '超级好，便宜干净又温馨。', '短评打分': 5}
{'短评内容': '什么不说了！一夜冻醒好几回！我是来你们这体验生活的吗？', '短评打分': 2}
{'短评内容': '位置便利，设施齐全，干净卫生。', '短评打分': 3}
{'短评内容': '公共卫浴，条件差的不得了，房间小的不得了，桌子才一点点大，不推荐入住！', '短评打分': 3}
