{'descr': '地理位置好，交通方便，不错。', 'star': 5}
{'descr': '一般般 服务一般', 'star': 5}
{'descr': '挺干净的，交通便利，离地铁站很近。', 'star': 5}
{'descr': '很不错，服务周到', 'star': 5}
{'descr': '酒店位置很好，离地铁站口不远，环境也不错，就是设施差了些，不过还好都齐全，总体上说还是不错的', 'star': 5}
{'descr': '位置很好，去哪里都方便，只是供热还是有点问题，总感觉没有温度，早餐品种可选择也多，服务态度很好满意。', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '不错挺好的', 'star': 5}
{'descr': '还算及时。可以。', 'star': 5}
{'descr': '不错，以后还会光顾', 'star': 5}
{'descr': '挺不错，挺宽敞干净卫生', 'star': 4}
{'descr': '还可以，很方便', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '酒店介绍里有的东西好多都没有，因为这个问题要退订竟然还不给退，酒店携程互相推谁也不给退，表示也不会再用携程了。', 'star': 1}
{'descr': '离市中心和火车站近', 'star': 4}
{'descr': '很一般，没有一次性杯子，马桶也是坏的。', 'star': 3}
{'descr': '还行', 'star': 4}
{'descr': '交通便利，离商业街也近很方便', 'star': 5}
{'descr': '对这家汉庭很失望！暖壶烧水不自动断开不说还漏水，吹风机用一下就彻底坏掉，房间空间狭小，隔音效果差，周围也没什么吃饭的地方 而且临近考试要价贼贵。。。', 'star': 2}
{'descr': '前台服务很好很热情，而且通过携程入住也不需要交押金，特别方便快捷。每次从前台经过，都会很热情的问好。房间卫生也很干净，前台还提供免费的茶饮、热饮等饮品免费饮用。还有护手霜的提供，真是太贴心。真心不错。', 'star': 5}
{'descr': '还行吧', 'star': 3}
{'descr': '房间稍微有点小，临街有点吵！', 'star': 4}
{'descr': '交通还是挺方便的，服务员还是不错的，只是大床房有点小，靠马路边的房间隔音不是太好。', 'star': 5}
{'descr': '酒店不错，服务员比较热情，哈哈，但比较机械化，有人进出不用抬头，就会说欢迎光临或欢迎下次光临。', 'star': 5}
{'descr': '地理位置优越，服务也很周到，够安静。各种的方便  非常不错值得推荐', 'star': 5}
{'descr': '装修有点旧，但很干净卫生，位置交通方便，网速很快，', 'star': 5}
{'descr': '挺好，酒店挺舒服；下次来还住这里；环境不错，服务不错，', 'star': 5}
{'descr': '酒店位置还算可以，原来还可以免费停车，现在不能了，前台几个服务员水平不怎么样，素质亟待提高', 'star': 5}
{'descr': '总体不错，挺温馨的，有点小，不过不碍事', 'star': 3}
{'descr': '比较干净。前台的服务有些不到位，我入住时就说要在第二天下午退房，但第二天中午十二点多房卡就开不了门了，又下到前台交押金，才能开。', 'star': 5}
