{'短评内容': '点评了', '短评打分': 4}
{'短评内容': '和家人一起出行，酒店的服务员业务不太熟悉，已经接受了预订结果到店无房间，折腾家人又到其他酒店入住，', '短评打分': 4}
{'短评内容': '很一般吧，担保不退只能住，没停车场，仅临街道，没安全感，节假日不要去。', '短评打分': 3}
{'短评内容': '酒店距离避暑山庄很近，步行几分钟，门口吃饭的地方很多，购物也方便，承德消费不贵，房间靠近马路，有点吵，酒店服务很好，总体比较满意', '短评打分': 5}
{'短评内容': '挺好的，非常喜欢', '短评打分': 5}
{'短评内容': '酒店位置非常好，非常方便，出门就是避暑山庄，离公交车站也比较近，酒店设施也很好，周围吃饭也很方便，下次可以再来。', '短评打分': 4}
{'短评内容': '避暑山庄对面  火车站5.15直接到  很方便   老板很热心', '短评打分': 5}
{'短评内容': '什么玩意儿，停车还要钱，二比看车老头。再也不会来这个酒店了', '短评打分': 1}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '根本不理携程的订单付款，无章法。', '短评打分': 3}
{'短评内容': '第一天携程卡，第二天人家就让交现金了，离景点很近，楼下还有吃饭的地方，倒是很方便，车位伤不起，直接把车扔路边了', '短评打分': 4}
