{'短评内容': '位置很好找   门口就是公交站  直达贵阳北站  金阳客站  距离机场仅有15分钟出租车车程   房间干净、卫生、整洁，WiFi网速快，房间的装修风格很温馨，房间是淋浴，热水很足，很舒服，住的9楼，靠后面的房间，很安静。服务员在走廊碰到都会热情的打招呼，前台美女态度非常好，还给我们介绍哪里有好玩的地方，下次来贵阳还会过来住的。', '短评打分': 5}
{'短评内容': '行，价格便宜多好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不好，不舒服', '短评打分': 5}
{'短评内容': '冷，没热空器', '短评打分': 5}
{'短评内容': '干净舒服。。服务员态度好', '短评打分': 5}
{'短评内容': '不错！！！', '短评打分': 5}
{'短评内容': '酒店位置很好，房间还很大，电视也大，床很舒服，洗漱用品干净，还有热带雨林花洒，洗澡水量很大，沐浴露和洗发露很方便，总体环境不错，采光好，晚上比较安静，隔音还可以，WIFI连接方便，网速很快，网络下电影很快的，网络比较稳定，信号强，服务热情，都会主动打招呼，感受不错，下次还会再来', '短评打分': 5}
{'短评内容': '房间非常干净，服务态度也特别好，进门就会有人问好，大堂也很干净，看着就很舒服。房间里面的硬件也很齐全，电视是网络电视，看起来很流畅，WiFi信号也很好，热水热的很快，果然是十秒速热呢。总之，各种满意，下次还会来住这家的。', '短评打分': 5}
{'短评内容': '干净，卫生。就是有点吵', '短评打分': 4}
{'短评内容': '房间特别干净，床睡着很舒服，躺下就不想起来了，WiFi信号也很好，用起来很流畅，前台服务态度超级好，一定会再来的', '短评打分': 5}
{'短评内容': '服务不错，感觉家一般的服务', '短评打分': 5}
{'短评内容': '房间干净，卫生不错值得推荐', '短评打分': 5}
{'短评内容': '很满意', '短评打分': 5}
{'短评内容': '环境好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
