{'短评内容': '房间不错，早餐需要改进！', '短评打分': 3}
{'短评内容': '早餐不给力，其他都不错。', '短评打分': 3}
{'短评内容': '酒店设施陈旧，服务水平一般。和周边同类型酒店相比的话价格还是稍微高点。', '短评打分': 3}
{'短评内容': '环境很好，比较超值，海滩很不错。', '短评打分': 4}
{'短评内容': '一般吧，虽然是三星但是设施很陈旧了，自助早餐还分等级，搞得很不爽', '短评打分': 3}
{'短评内容': '酒店位置很好，在三亚湾，旁边就是克拉码头，门口就有公交车站，交通便利。酒店老式装修，有些萧条。就弹园区很大，但是都是空着的，没有泳池。房间设施陈旧，卫生间简陋，设施不全，卫生尚可，我住一楼房间里有蚂蚁。出门过马路就是海边很方便，出门右转就有饭店和小超市。早餐一般能吃饱。要命的是房间里没有网络没有WIFI！这都什么年代了！', '短评打分': 3}
{'短评内容': '很不错，还会光临的！', '短评打分': 5}
{'短评内容': '房间舒适  服务不错', '短评打分': 4}
{'短评内容': '酒店非常差，很旧，里面有莓味，还有很多壁虎', '短评打分': 2}
{'短评内容': '招待所水平，房间潮湿，还有虫子，服务基本没有，床很不舒服。', '短评打分': 1}
{'短评内容': '还不错，就是好象有点多年了，服务还可以，', '短评打分': 5}
{'短评内容': '房间较简陋，热水冷热难调。好处是便宜，离海近', '短评打分': 5}
{'短评内容': '饭店园林非常美，设备陈旧，房间门不好开。厕所水箱盖都坏了。', '短评打分': 3}
{'短评内容': '性价比较高。离海滩很近，门口有公交车站，可以直达机场（8路），火车站（30路），市区，亚龙湾等。内有一家东北馆子兼俄罗斯餐厅，味道一般，不贵。装修较旧，有阳台。', '短评打分': 5}
{'短评内容': '这个酒店只有四个字破旧', '短评打分': 3}
{'短评内容': '房间一般 蚊子很多  ', '短评打分': 3}
{'短评内容': '住208.209', '短评打分': 3}
{'短评内容': '三亚湾银苑离机场很近 也有去市区的直达公交车 小别墅类型的 里面有很多幢 我住4号楼 是面朝大海的 只可惜是一楼 花园里树挡住一些', '短评打分': 3}
{'短评内容': '＋挺好', '短评打分': 3}
{'短评内容': '房间一般，设施陈旧', '短评打分': 3}
{'短评内容': '位置好，价格便宜，服务也蛮好，食堂价格也蛮公道，下次春节还住这里，一样的酒店最少要贵150元了。', '短评打分': 5}
{'短评内容': '宾馆环境还可以.交通也算方便.', '短评打分': 3}
{'短评内容': '三亚湾银苑设备较旧（尤其卫生间），没啥配套的，服务可以，卫生一般，地点和性价比不错，适合要求不高的家庭，888玛丽娜西餐厅的东西比较实惠。总体来说--不错！', '短评打分': 5}
{'短评内容': '地点好，价格低。', '短评打分': 3}
{'短评内容': '内容', '短评打分': 3}
{'短评内容': '按预订时间办理了三亚湾银苑入住手续。李军芳', '短评打分': 3}
{'短评内容': '位置不错,设施有点旧了,若能花少须费用改善一下会吸引更多住客', '短评打分': 5}
