{'短评内容': '完美', '短评打分': 5}
{'短评内容': '不太好', '短评打分': 3}
{'短评内容': '物有所值，还不错', '短评打分': 5}
{'短评内容': '环境、卫生都还不错，老板也通情达理。没停车的，但物有所值吧~', '短评打分': 5}
{'短评内容': '导航去的，到处修路找的不是很顺利，附近有酒厂，外面有酒糟味，房间有点潮，倒是没遇到热水问题，老板送了葫芦给两个小宝贝，高兴惨了，一天都在唱葫芦娃，据说要翻修装二楼，希望到时候弄的现代一点', '短评打分': 4}
{'短评内容': '挺干净的，在胡同里，晚上走有点怕，周边小吃很多。比较潮湿，这地区应该都是这样。总体来看性价比不错', '短评打分': 5}
{'短评内容': '挺清静的，奶奶人很好，就是房间里没有电热水壶，其他的都还好', '短评打分': 3}
{'短评内容': '客栈挺干净，店主老夫妻也很和善。美中不足有一点：洗澡的热水不不稳定，水压小。', '短评打分': 5}
{'短评内容': '不错 温馨雅致老板人很好 房间很干净', '短评打分': 3}
{'短评内容': '房间还可以，热水要跟房东沟通一下才知道怎么用。', '短评打分': 3}
{'短评内容': '很不愉快，住惯酒店的慎选', '短评打分': 3}
{'短评内容': '位置比较宁静，走一条小巷子出来就是闹市。房间里摆了一朵栀子花，有淡淡的花香。', '短评打分': 4}
{'短评内容': '挺不错的，服务还多好，多热情的一对老夫妻', '短评打分': 4}
