{'短评内容': '环境不错,面积挺大,设施虽然有些旧了,但洗手间还算整洁,性价比不错。服务挺好,帮忙把行李送到房间，一路还有简单介绍', '短评打分': 5}
{'短评内容': '服务热情 交通方便 出门不远就是前门大街 吃饭很方便', '短评打分': 5}
{'短评内容': '老外很多，估计都是来体验四合院的', '短评打分': 5}
{'短评内容': '最不满意的洗澡水了，常温的水洗澡，凉飕飕的，一点都不痛快', '短评打分': 4}
{'短评内容': '', '短评打分': 4}
{'短评内容': '因为是带老人出游，首先要考虑交通方便。宾馆在前门大街旁边，距离地铁2号线和7号线都很近。步行到天安门广场大约十几分钟，看升旗仪式和降旗仪式都很方便。周边还有全聚德、东来顺和庆丰包子铺等各种名吃！总之是个愉快的旅行！', '短评打分': 4}
{'短评内容': '因为是带老人出游，首先要考虑交通方便。宾馆在前门大街旁边，距离地铁2号线和7号线都很近。步行到天安门广场大约十几分钟，看升旗仪式和降旗仪式都很方便。周边还有全聚德、东来顺和庆丰包子铺等各种名吃！总之是个愉快的旅行！', '短评打分': 4}
{'短评内容': '地理位置很好，虽然在胡同里，但是周围有两个地铁站，还有一个公交总站，离天安门广场也很近，但是四合院的确没有我想象中的大，而且房间比较小，卫生设施也很一般。总体还可以，周围吃饭非常方便。', '短评打分': 4}
{'短评内容': '地点还行， 还算干净，性价比挺高，房间内信号不太好， 现在有点儿冷，开了空调还好一点！', '短评打分': 5}
{'短评内容': '靠近前门大街，吃饭和交通都方便，房间小，住了七天都没整理和换床单，桌上都有一层灰了未见每天擦，从未见有扫地，只倒了垃圾。', '短评打分': 3}
{'短评内容': '位置方便，设施比较好，卫生也不错，离地铁站比较近，就是我离店时没有发票，后来打电话要票时，找我问哪天入住哪天离店什么的，还好我留了单了，不然2个月前的事不记得了，票就不给了', '短评打分': 5}
{'短评内容': '延住的地理位置非常好，以后还会来住', '短评打分': 5}
{'短评内容': '地理位置非常方便出行，做了延住申请', '短评打分': 5}
{'短评内容': '价格合理，性价格高，环境不错，值得入住。交通方便。', '短评打分': 5}
{'短评内容': '酒店是在胡同里，还是比较好找。离大栅栏商业街、前门地铁站也近，店家服务还是挺好的，只是住的那个房间暖气不行，开到最高温还是不热。', '短评打分': 3}
{'短评内容': '除了地段。服务其他呵呵', '短评打分': 4}
{'短评内容': '酒店位置很好到前门大街只有几步路的距离，服务也不错。', '短评打分': 5}
{'短评内容': '明明订的是豪华标准间，房间确实很小，床就紧靠着窗，和普通标准间没有区别。我本人没有去，我的外国同事去北京旅游入住的，对房间很不满意。', '短评打分': 1}
