{'短评内容': '怎么说呢，还行吧，离火车站什么的比较近，周围也很多吃的东西，但是入住的一个房间实在是.......窗帘都掉了，让我们两个妹子该如何是好......', '短评打分': 4}
{'短评内容': '酒店比较久，不过很大，服务态度很好，电视不能看', '短评打分': 5}
{'短评内容': '酒店比较久，不过很大，服务态度很好，电视不能看', '短评打分': 5}
{'短评内容': '还好吧  ', '短评打分': 4}
{'短评内容': '还好吧 ', '短评打分': 4}
{'短评内容': '交通特别方便', '短评打分': 4}
{'短评内容': '还好吧……当时我们住的那间味道好大……而且窗帘都掉下来了……', '短评打分': 4}
{'短评内容': '外国朋友入住，据他说还行。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环境很不错，服务也挺好', '短评打分': 5}
{'短评内容': '地理位置很好，旁边有民生百货，万达广场等等，房型稍微有些小了', '短评打分': 5}
{'短评内容': '如果能有早餐就好了，总体还不错.', '短评打分': 3}
{'短评内容': '＋总体条件还不错，交通也便利，就是桶装水还收费，', '短评打分': 3}
{'短评内容': '地段好', '短评打分': 3}
{'短评内容': '酒店入住的学生团，早上互相敲门大声说话，老师和同学都大声喧哗，很早就被吵醒了，严重影响了睡眠质量，有团入住时和入住后，酒店应该提醒他们要尽量安静.还有某些房间的空调和网线需要维修，其它还不错.', '短评打分': 3}
{'短评内容': '已经第二次住进这家酒店了，很干净，交通也便利，房间也大，值得推荐！', '短评打分': 5}
{'短评内容': '酒店卫生还可以，服务不错，希望继续提高。', '短评打分': 5}
{'短评内容': '服务态度和环境都不错，第一天住的房间有味儿、洗澡间地漏排水不好，换了一间，但是网线不通，派来的维修人员水平比我差的不是半点，折腾了1个小时还是没弄好，最后说主要是修卫生间的。总体80分.', '短评打分': 3}
{'短评内容': '挺好的，干净而且挺新的，附近逛的地方挺多的，离东大街也挺近，下次还会来住这里', '短评打分': 5}
{'短评内容': '很不错的酒店 。。。。价位也低 干净 舒适  3天里睡的好舒服', '短评打分': 5}
{'短评内容': '酒店不错 房间也比较干净 地理位置好 比较方便出行 楼下有很多美食。', '短评打分': 5}
{'短评内容': '都挺方便的', '短评打分': 3}
{'短评内容': '內部设施较老旧', '短评打分': 3}
{'短评内容': '酒店卫生很好，服务质量也不错，交通便利。下次来西安还会住这！', '短评打分': 5}
{'短评内容': '望园民生酒店房间挺宽敞，价钱也较低，就是暖气不是很足。', '短评打分': 3}
{'短评内容': '酒店条件一般但总体性价比还可以', '短评打分': 3}
{'短评内容': '价格可以服务可以，比挂牌三星的旧宾馆好的多', '短评打分': 3}
{'短评内容': '酒店位置离火车站两站地，服务很好，房间比较干净但卫生间有些味道。。。', '短评打分': 5}
{'短评内容': '找了好大一圈才找到，标志不明显，性价比不高，设施陈旧', '短评打分': 1}
{'短评内容': ' 很差，不会再住！', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '服務不好，兩天上網故障不能修復', '短评打分': 3}
{'短评内容': '服务挺好的，房间挺干净，热情24小时供应，使用挺方便的。', '短评打分': 3}
{'短评内容': '酒店挺有商业化的，位置很好，服务很好。', '短评打分': 3}
{'短评内容': '酒店还不错，位置挺好，出行方便，服务也挺热情，设施基本齐全。', '短评打分': 5}
{'短评内容': '位置挺好，周边交通购物很方便，离火车站也挺近的。', '短评打分': 5}
{'短评内容': '缺点: 1.不安静,门口修路楼后施工,除夜里其他时间都较吵;2.卫生间为玻璃隔断导致房间异味;3.地点离各景点不算近.4.挂式空调没有暖气.4.号称国际酒店但不能刷信用卡.\n优点: 1. 大床够舒服. 2,干净,3. 热水够量;4.临近有万达广场,方便', '短评打分': 5}
{'短评内容': '离商场较近 10分钟可以走到火车站 大床间太小 服务还好', '短评打分': 5}
{'短评内容': '酒店设施很差，房间比较旧，很多插头都掉了，这个价格实在还不如如家。不值得入住', '短评打分': 1}
{'短评内容': '我已在10月6顺利入住西安望圆民生国际酒店！', '短评打分': 5}
{'短评内容': '国庆期间这个价位，性价比应该还是不错的，比价新', '短评打分': 5}
{'短评内容': '交通便利，干净', '短评打分': 5}
