{'descr': '酒店不错，还可以', 'star': 5}
{'descr': '酒店旁边是个批发市场 ', 'star': 5}
{'descr': '挺大的，还不错', 'star': 5}
{'descr': '挺好', 'star': 5}
{'descr': '性价比不错，环境一般！', 'star': 4}
{'descr': '隔音不好，卫生间设施太差', 'star': 2}
{'descr': '旁边是商场，有点乱，环境一般', 'star': 3}
{'descr': '房间特别好，超级干净，服务态度也很好！周边吃的东西很多，买东西也很方便，总之是完全五星好评的，下次还会过来住！！必须一个！！！！！', 'star': 5}
{'descr': '旁边是商品批发市场，挨着马路，有点小噪音，但是可以接受', 'star': 4}
{'descr': '还不错，继续努力', 'star': 5}
{'descr': '房间条件比较简陋 不太推荐', 'star': 3}
{'descr': '首先要说对于携程特别不满意，正赶黄金周，30号到酒店之后，说是没有信息回馈，酒店没预定好！其次就是对于酒店前台，一个齐头帘的服务员，什么态度，就知道和男的聊天。明明定的是三天，然后出去之后进不去房，一问才知道需要刷卡，之前也不告诉，问的时候还说我们不问！我就奇怪，您干嘛吃的，我出去的时候您怎么不说阿！，真是够了，哦，对，刚进酒店，床头灯是坏的，插座是坏的，电视是没有信号的，就洗手间的插座可以用，要', 'star': 2}
{'descr': '服务太差了，卫生条件更差', 'star': 3}
{'descr': '房间大，服务一般，地理位置还好', 'star': 3}
{'descr': '老的旅店，房间挺大，设备有些老旧，服务还好', 'star': 3}
