{'短评内容': '不错，房间挺大的', '短评打分': 5}
{'短评内容': '酒店位置优越，近海又处繁华地区，交通方便，酒店下有大食堂，经济实惠，就歺很方便，和虹口大酒店共用停车场。', '短评打分': 4}
{'短评内容': '这是我出门入住的最棒的的一家酒店  服务周到  有求必应  房间干净整洁', '短评打分': 5}
{'短评内容': '出来游玩住在这个酒店交通非常方便  出门不远就是海边  我是带老妈老爸来游玩的  酒店9卫生也很干净  房间很大 ', '短评打分': 5}
{'短评内容': '酒店的地理位置交通非常方便  我是带老妈老爸来的  去海边很近   房间环境卫生非常干净  还有纯净水管线', '短评打分': 5}
{'短评内容': '之前来过的，服务好，位置佳，这次全网比价京东最便宜，所以下单啦。满意！', '短评打分': 5}
{'短评内容': '京东酒店服务做的好，上次春节就订过，很满意。希望再接再励，保持品质！', '短评打分': 5}
{'短评内容': '非常好每次来都来这里住。', '短评打分': 5}
{'短评内容': '非常好，每次来都住在这里。', '短评打分': 5}
{'短评内容': '物超所值 但不要住没有窗的房间  太压抑了', '短评打分': 5}
{'短评内容': '服务周到 软环境是四星标准 酒店陈设稍显陈旧', '短评打分': 5}
{'短评内容': '位置不错，适合商务出差', '短评打分': 5}
{'短评内容': '地理位置不错，环境也不错', '短评打分': 5}
{'短评内容': '깨끗하고 서비스도 좋았는데 교통이 조금 불편합니다. 가격은 저렴하고 좋았습니다. 다시 이용할 마음은 있음니다.', '短评打分': 4}
{'短评内容': '服务超好，很厚道，超赞。', '短评打分': 5}
{'短评内容': '每次来烟台必选酒店 性价比非常好 服务也好  ', '短评打分': 5}
{'短评内容': '地理位置不错，服务很好', '短评打分': 5}
{'短评内容': '真的非常不错，本来要住一天的，看服务真心不错?，又续了一天', '短评打分': 5}
{'短评内容': '方便快捷，干净卫生，交通方便，', '短评打分': 1}
{'短评内容': '相当不错?对面是虹口大酒店，应该是一家的。硬件是商务，服务绝对称得上四星，非常棒！', '短评打分': 5}
{'短评内容': '地理位置很好，距离海边很近，附近有很多好吃的饭馆，客房服务人员很热情周到，办理入住后还免费赠了我们两瓶酸奶，不错！', '短评打分': 5}
{'短评内容': '房间太潮了，床也软睡着不舒服，窗户小感觉有点憋！', '短评打分': 5}
{'短评内容': '离海边很近几分钟就到，交通也很方便。卫生也还可以。', '短评打分': 5}
{'短评内容': '酒店的位置很不错，就在海边不远，到第一浴场也很近，酒店设施还不错，可能是时间长了所以有点旧，但是服务很好！以后去还会住这里。也会推荐给朋友！', '短评打分': 5}
