{'短评内容': '还行，住着一般！墙皮都掉了！', '短评打分': 3}
{'短评内容': '酒店服务挺好，就是没施有些老化', '短评打分': 4}
{'短评内容': '还可以吧，交通便利，附近餐饮较多。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '空间挺大的，有阳台，卫生也不错，wifi信号很好，电视很不错。缺点是，马桶不稳，毛巾有味道，淋浴的水不热', '短评打分': 4}
{'短评内容': '酒店特别干净，价位太划算了，周边吃饭的地方很多，交通也特别方便！房间很安静，非常安全！值得推荐给大家！', '短评打分': 5}
{'短评内容': '酒店环境不咋样，不好，不好', '短评打分': 5}
{'短评内容': '很一般。房子漏水，有气味。', '短评打分': 5}
{'短评内容': '酒店不错，价格合适，车位充足，适合在北京不租房的人', '短评打分': 5}
{'短评内容': '很好！很舒适，棒！！！！！', '短评打分': 5}
{'短评内容': '洗澡时冷时热', '短评打分': 1}
{'短评内容': '洗澡时冷时热', '短评打分': 2}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '除了服务员态度不好，其他都还可以', '短评打分': 4}
{'短评内容': '总体来说特别好。', '短评打分': 5}
{'短评内容': '环境一般', '短评打分': 3}
{'短评内容': '一般般，不过房间还算大点', '短评打分': 3}
{'短评内容': '很一般。', '短评打分': 3}
{'短评内容': '位置不错，离地铁站不远。停车方便，闹中取静。服务不错。价格便宜。如果出差什么，没那么高要求，住一宿挺合适的。比附近的几家连锁酒店好多了。附近几家都在路边，太吵了，没法正常休息。', '短评打分': 4}
{'短评内容': '方便快捷，环境不错，离地铁挺近', '短评打分': 5}
{'短评内容': '方便快捷，环境不错，离地铁挺近', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店很一般（房内设施等），价格与别的连锁酒店差不多，但设施要比别家差些', '短评打分': 1}
{'短评内容': '富驿商务酒店很好！', '短评打分': 3}
{'短评内容': '环境不错，设施也还行，此价位中，算是不错的选择', '短评打分': 5}
{'短评内容': '酒店环境不错，内部设施齐全，出行交通便利。', '短评打分': 5}
{'短评内容': '酒店比较安静，优点有冰箱，缺点空调热水器不太好！', '短评打分': 1}
{'短评内容': '不错的宾馆，还算干净，价格也不贵，就是附近环境太差，交通不太方便', '短评打分': 5}
{'短评内容': '冰箱不错，不能刷预授权', '短评打分': 3}
{'短评内容': '＋感觉不错', '短评打分': 3}
{'短评内容': ' 价高位远,条件差,劝您别再到此住;', '短评打分': 3}
{'短评内容': '环境不错 卫生干净 人性化服务 空间很大 有冰箱 空调 电视 很舒服', '短评打分': 5}
{'短评内容': '发表对<富驿商旅酒店（北京西三旗店）>的评论发表对<富驿商旅酒店（北京西三旗店）>的评论发表对<富驿商旅酒店（北京西三旗店）>的评论发表对<富驿商旅酒店（北京西三旗店）>的评论发表对<富驿商旅酒店（北京西三旗店）>的评论发表对<富驿商旅酒店（北京西三旗店）>的评论发表对<富驿商旅酒店（北京西三旗店）>的评论发表对<富驿商旅酒店（北京西三旗店）>的评论', '短评打分': 5}
{'短评内容': '环境还可以就是走廊上有一股很难闻的味道！', '短评打分': 3}
{'短评内容': ' 酒店条件一般,但环境比较安静,我外甥中考考点就在附近,所以就凑合着住了。', '短评打分': 3}
{'短评内容': '不错，干净，设施齐全', '短评打分': 3}
