{'短评内容': '位置好', '短评打分': 5}
{'短评内容': '有停车场', '短评打分': 5}
{'短评内容': '很好 只是下次不能图便宜住无窗的 真的有点闷', '短评打分': 5}
{'短评内容': '房间很干净，周边环境也不错，附近有个剩云之城，里面都是好吃的。由其房间里的网络特别强。服务人员的服务态度也都很好。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境还可以，服务态度也蛮好！', '短评打分': 5}
{'短评内容': '卫生不错', '短评打分': 4}
{'短评内容': '服务非常好，就是房间连个套套都没有，办理住房手续太繁琐了', '短评打分': 3}
{'短评内容': '一个字“差”', '短评打分': 2}
{'短评内容': '酒店位置很好，离客运站不是很远，周边配套设施完善，酒店提供的自助早餐也不错，房间干净舒适，下次来还住这里。', '短评打分': 5}
{'短评内容': '酒店服务人员态度特别好、我的拖鞋误落在了酒店，打完电话服务员就查询，回电、等我返回去拿。房间干净切周边噪音小，真的是很好呃！', '短评打分': 5}
{'短评内容': '差，房间蜘蛛网、保安像土匪一样，设施非常陈旧', '短评打分': 2}
{'短评内容': '地段好，环境也不错', '短评打分': 4}
{'短评内容': '位置很好，地处卯喊路中心地段，交通便捷。酒店态度热情，服务规范，基本设施齐全，入住后感到舒心、方便、安全，我得点赞！', '短评打分': 5}
{'短评内容': '很方便……如家连锁不会让人太失望的！所以果断好评！', '短评打分': 5}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '感觉很舒服', '短评打分': 3}
{'短评内容': '酒店还是蛮干净的，地理位置也不错，就是面积小了点\n', '短评打分': 5}
{'短评内容': '该酒店位于锐利的繁华地区，酒店内设备比较新。88元的价格可以入住。', '短评打分': 5}
{'短评内容': '感觉网上订的都比较差！也没注明是小房间也没说明没窗户，光线好差！价格虽然实惠点，但是应该注明！', '短评打分': 3}
{'短评内容': '在瑞丽有这么一家干净的酒店不容易啊。性价比不错的。', '短评打分': 5}
{'短评内容': '酒店挺好的，我们定的是没有窗户的，因为开空调，有没有窗户都没有关系，卫生很干净，服务也还可以，就是我问前台要衣架的时候，有点不耐心，而且没有多余的。其他都是很好的，', '短评打分': 5}
{'短评内容': '总体满意，干净整洁卫生。唯一不足是淋浴的水压稍微低了些，洗得不够畅快。', '短评打分': 5}
{'短评内容': '虽然是新有的如家快捷酒店,但是地理位置很好,就在卯喊路上,距离长途汽车站也只有一条街之隔,住宿条件不错,价格合理,值得推荐', '短评打分': 5}
{'短评内容': '酒店还不错，房间很舒服，早饭还算可口，饼干感觉不错。价格也比较适中', '短评打分': 5}
{'短评内容': '第一次入住瑞丽如家酒店，感觉挺好，位于市中心，交通和饮食都比较方便，工作人员也很热情，房间除了稍微有点小之外其他都很好，下次过来还会入住！', '短评打分': 5}
{'短评内容': '干净、宽敞，酒店在市中心，逛街方便，服务态度也很好。\n', '短评打分': 5}
{'短评内容': '干净、宽敞，热水也很大，在市中心 方便逛街，酒店工作人员服务态度也很好', '短评打分': 5}
{'短评内容': '服务还行，就是有点小贵', '短评打分': 3}
