{'短评内容': '没有早餐，房间很干净，有很多停车位。', '短评打分': 5}
{'短评内容': '一般吧，朋友介绍去的', '短评打分': 4}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '该酒店环境较好，干净整洁，', '短评打分': 3}
{'短评内容': '没网络，打电话问客服回答就是‘’我也不知道‘’洗澡水压力不够，忽冷忽热', '短评打分': 3}
{'短评内容': '总体来说还是不错的，就是押金似乎就没必要那么多了', '短评打分': 4}
{'短评内容': '条件好还好，没窗，一个人不适合，呵呵', '短评打分': 3}
{'短评内容': '下次再也不去之家店了，服务态度不好，这大夏天的还没有空调，也没有窗户。太差！太差！', '短评打分': 3}
{'短评内容': '还不错啦，个方面都行。', '短评打分': 4}
{'短评内容': ', 环境一般吧，地毯很脏，没有一次用拖鞋。', '短评打分': 3}
{'短评内容': '房间还是挺干净的。唯独隔音太差了。我和老公这一夜都没休息好。隔音屋子打麻将，一夜哗啦哗啦的。', '短评打分': 3}
