{'短评内容': '环境不错，就是是私人出租性质的', '短评打分': 4}
{'短评内容': '干净，安静，不错', '短评打分': 5}
{'短评内容': '不方便找，但是舒适度还不错。', '短评打分': 5}
{'短评内容': '一如既往的好。', '短评打分': 5}
{'短评内容': '一如既往的好，酒店老公公老婆婆特别好，很亲切', '短评打分': 5}
{'短评内容': '酒店属民宿类，单身公寓改成的！就在景芳地铁站C出口处，楼下有全家超市，很方便！老板两夫妻人很好，最后一天退房时我有事耽搁一下时间，老板还一直叫我不用急赶回来！', '短评打分': 5}
{'短评内容': '挺垃圾的房间', '短评打分': 1}
{'短评内容': '出差住，还不错', '短评打分': 5}
{'短评内容': '出差住，感觉还不错', '短评打分': 5}
{'短评内容': '感觉还不错', '短评打分': 5}
{'短评内容': '非常好的老板一家人和住宿设施，周末开会首选～～～', '短评打分': 5}
{'短评内容': '酒店位置还是可以，就是卫生一般，床上找到一根头发', '短评打分': 4}
{'短评内容': '不错，周末开会常选择这家', '短评打分': 5}
{'短评内容': '交通方便，性价比还行', '短评打分': 5}
{'短评内容': '公寓套房，有洗衣机衣柜梳妆台电视机。比较新，干净，交通方便，离地铁站非常近，附近有商场超市，十分便利。可惜公寓套房有炉子没有锅 煮不了东西，也没有冰箱。重点是二十几楼那么高居然有蚊子，第二天才发现有电热蚊香，被咬了一晚…', '短评打分': 3}
