{'短评内容': '唯一的优点就是宽敞不潮，其他的一般', '短评打分': 4}
{'短评内容': '挺好的，床单多换点。', '短评打分': 5}
{'短评内容': '很好，很实用，可以选择！', '短评打分': 5}
{'短评内容': '环境一般，服务态度好。', '短评打分': 4}
{'短评内容': '宾馆离西站比较近，坐车去郑州，临行在这里休息了一晚，性价比还是不错的，一般客运站周边都是很贵的，服务也很到位，赞', '短评打分': 5}
{'短评内容': '一般，房间没热水', '短评打分': 3}
{'短评内容': '价值只有50元的设施配置。超不值！', '短评打分': 2}
{'短评内容': '有点潮', '短评打分': 5}
{'短评内容': '设备一般，卫生一般，服务蛮好！', '短评打分': 3}
{'短评内容': '不错，价格低环境好。', '短评打分': 4}
{'短评内容': '房间环境还算可以，卫生一般，主要是在汽车站旁边，离景点开封府也比较近。', '短评打分': 5}
{'短评内容': '挺好的，干净，卫生，价格还算实惠。不足就是网速有点慢，含早餐就更好了。', '短评打分': 5}
{'短评内容': '一般般 没想象的好   竟然连浴巾都没有。而且价格上面的话 在当地同类宾馆算是贵的了', '短评打分': 5}
