{'短评内容': '地方不错啊，适合出差人士，价格也不贵。推荐。', '短评打分': 5}
{'短评内容': '每次出差烟台都住这里，总体来说还可以吧，就是前台不太热情，性价比还不错，适合出差居住，离汽车站和火车站也不是太远，方便。', '短评打分': 5}
{'短评内容': '感觉挺好的房间很大也很干净下次还来', '短评打分': 3}
{'短评内容': '酒店不错，卫生干净，装修挺好，推荐入住，', '短评打分': 5}
{'短评内容': '酒店装修很好！服务也很好！下次去烟台还会住这里', '短评打分': 5}
{'短评内容': '房间蛮大的，感觉还不错。', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': ' 很好', '短评打分': 3}
{'短评内容': '位置离着火车站，汽车站都不远，内部设施也是挺好的，窗子也是双层，相对非常安静。但是网上订房还不如直接到酒店，最好有他们的会员卡，更加便宜。', '短评打分': 5}
{'短评内容': '不错挺好找的，还挺干净', '短评打分': 3}
{'短评内容': '说真的，这家店前台态度真的很不好，说话爱答不理，由于提前1小时去入住，办理完手续去房间一看，还没打扫出来，找前台要求更换一间，不耐烦的说：没有空房间了，等着打扫完再说吧，唉，就冲这，以后也不会再来了；\n烟台那么多不错的连锁酒店，不该选这家，在说说内部，没有电梯是个特别之处，一共可能5层楼，走廊很暗，房间里空气不流通，很潮，老婆说下午休息起来感觉头痛，床单枕头也不是很干净，卫生间不大，而且很味，需要', '短评打分': 1}
{'短评内容': '这家店很不错  环境好 而且很干净   还是比较舒适的  地段也不错                ', '短评打分': 5}
{'短评内容': '这家酒店离烟台火车站很近，有将近两站路吧，步行十分钟内就可以到，酒店的环境不错，设施齐全，房间的空间挺大的，酒店的下面就有吃饭的地方，挺方便的，推荐~', '短评打分': 5}
{'短评内容': '挺好，就是隔音太差，距离码头有点远！需要打车！剩下的很好！', '短评打分': 5}
{'短评内容': '酒店比较不错，性价比挺高，热水挺足   服务业不错  唯一缺点是门的隔音不太好  能听见走廊的声音。不过也还好。', '短评打分': 5}
{'短评内容': '环境不错，交通便利，一共5层楼，不过没有电梯啊！', '短评打分': 5}
{'短评内容': '地方外面看上去不怎么样，进去大厅后，感觉还不错，性价比较高。', '短评打分': 5}
{'短评内容': '性价比高，条件设施和环境都对得起这个价格了。给个好评吧。', '短评打分': 5}
{'短评内容': '房间比较宽敞，干净卫生，交通便利。但隔音不是太好……', '短评打分': 5}
{'短评内容': '周边环境太一般了，稍晚一点都找不到比较好的吃饭的地方。', '短评打分': 1}
{'短评内容': '价格适中，房间不错,前台服务挺好，下次去的话考虑还住那', '短评打分': 5}
{'短评内容': '没有想象中那么好，性价比没有威海相同档次高，勉强过得去。', '短评打分': 1}
{'短评内容': '不错~环境很好~干净~性价比高~值得推荐', '短评打分': 5}
{'短评内容': '隔音效果，卫生方面有待改进', '短评打分': 3}
{'短评内容': '很干净，值得推荐，下次去烟台还会选择这里', '短评打分': 3}
{'短评内容': '条件还好吧 前台还有可以免费上网的机子 没带电脑的方便 离汽车也很近', '短评打分': 3}
{'短评内容': '酒店从火车站步行15分钟可到。交通还是很方便的。房间挺大，卫生也不错。', '短评打分': 5}
{'短评内容': '房间挺干净，吃饭也挺方便。', '短评打分': 3}
{'短评内容': '环境很不错，周围交通也很方便，在这个地理位置上属于性价比很高的了，值得推荐。', '短评打分': 5}
{'短评内容': '很干净，地位位置也很好，下次去的时候还去那~~~', '短评打分': 5}
{'短评内容': '从烟台火车站步行十分钟就到酒店，地方很好找。宾馆有档次，卫生舒适，只是淋浴得放一会水才热。', '短评打分': 5}
{'短评内容': '环境很好，服务态度也好，主要是房间空间很大，也很干净，下次还会选择那里~', '短评打分': 5}
{'短评内容': '很舒适、卫生很好 环境也很好 很干净   价格合理、\n前台的服务态度也很好 下次还会入住嘻嘻 ', '短评打分': 5}
{'短评内容': '酒店环境不错，住起来蛮舒服，交通也方便...最不好就是热水有点小，冷气不管用，太冷了，最不好就是上网速度超级慢！！', '短评打分': 5}
{'短评内容': '环境不错，非常干净，况且交通也非常方便，距三站市场，火车站，汽车站都很近，服务态度也很好，这次真的选了个不错的地方，以后还会如这顺源', '短评打分': 5}
{'短评内容': '位置很好，出行，逛街，吃饭都很方便，尤其是服务员很热情，性价比不错。', '短评打分': 5}
{'短评内容': '性价比想当高。。。下次\n还住着。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '环境很好！很干净！', '短评打分': 3}
{'短评内容': '酒店位置好方便环境非常不错温馨就是热水十一点后几乎是没有了需要加强改进', '短评打分': 3}
{'短评内容': '房间环境较好，就是房间有股味道，其他都很好，值得推荐。', '短评打分': 5}
{'短评内容': '干净卫生  环境很不错  还是蛮不错的  价格也实惠   下次再来', '短评打分': 5}
{'短评内容': '这是第二次入住了 感觉不错 干净 设施也挺好', '短评打分': 3}
{'短评内容': '性价比很好，0535-6692999，建设路17-1号，酒店对面的建设路上有3.6.15.16.49路公共汽车，站名：天泰大药房(建设路)。北面的芝罘屯路有8.16.21.22.41.47路公交车。从烟台码头可以坐6路直到达酒店，退房时间是12点前。如果办会员卡，年持卡会员可以享受全年8.8折优惠，标间或大床房100元的全价，延迟退房2小时（14:00之前退房），订房保留至晚8点（20点），会员卡', '短评打分': 5}
{'短评内容': '酒店卫生很好，没有电梯不方便，但服务员帮你拿东西，可以选择入住。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '我到酒店住宿了', '短评打分': 5}
{'短评内容': '我是第一次去烟台，这个不好找啊，呵呵，\r\n不过性价比还好，服务也好，也比较干净\r\n不过衣柜里的预备棉被味道不是很好，其他的都不错，\r\n', '短评打分': 5}
{'短评内容': '酒店总体来说不错，只是邻近大街，晚上睡得可能不太踏实，另外热水器热水早晨时候不如晚上热', '短评打分': 5}
{'短评内容': '退房12点 有点不好 位置有点偏 其余的还好吧', '短评打分': 5}
{'短评内容': '很好的', '短评打分': 5}
{'短评内容': '门口有公交车去车站和烟台山 就是买东西逛超市有点远', '短评打分': 5}
{'短评内容': '卫生干净，离火车站很近，离时代广场也很近。性价比很不错！', '短评打分': 5}
{'短评内容': '对酒店客房比较满意', '短评打分': 5}
{'短评内容': '酒店装修和卫生环境都不错，地理位置也还可以，就是对于第一次来烟台的人来说可能不太好找，相对其它经济型宾馆这里性价比很高，值得入住', '短评打分': 5}
{'短评内容': '性价比很高，就是位置不大好找,但服务，卫生等都很好，是个值得推荐一下的酒店。', '短评打分': 5}
{'短评内容': '条件挺好的 服务 卫生 设施都可以 最大的缺点可能就是没有电梯', '短评打分': 5}
{'短评内容': '位置挺好，但是不太明显 不太好找，性价比很好，毕竟位置在那里了', '短评打分': 5}
{'短评内容': '该酒店清洁卫生，态度热情，价格合理，地理位置不错，离火车站不远，步行10分钟。', '短评打分': 5}
{'短评内容': '酒店环境还行地理位置也还好就是不是太好找，不过酒店离火车站还算非常近，房间设施卫生都还可以。价格还差不多。', '短评打分': 1}
