{'短评内容': '从价格来讲很实惠，主要是停车方便', '短评打分': 5}
{'短评内容': '太差了，很多东西都是坏的，换了房间还是很多坏的还会跳闸', '短评打分': 3}
{'短评内容': '这价位还算可以吧，一般啦', '短评打分': 5}
{'短评内容': '除了用差，我找不到另一个字可以形容', '短评打分': 1}
{'短评内容': '一般般 凑合 价格低', '短评打分': 3}
{'短评内容': '一般般 凑合', '短评打分': 3}
{'短评内容': '一般般 凑合', '短评打分': 3}
{'短评内容': '还不错，干净整洁，有停车位', '短评打分': 5}
{'短评内容': '挺好的，名字变了不是如家，有点吵', '短评打分': 5}
{'短评内容': '到店问是不是如家。告诉我不是如家了。也没有如家牌子 前台说以前是如家。房间好小。', '短评打分': 2}
{'短评内容': '淋浴室下水不畅，毛巾都发黄', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '客户大半夜到广州，携程办事效率还是很高，', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': 'Good enough', '短评打分': 5}
{'短评内容': '周边很安静 吃饭方便 出行不是太方便', '短评打分': 4}
