{'短评内容': '周围环境都还可以，但是房间的烟味太浓了我开着窗开着排风抽风好久都散不去，另外就是隔音真的太差了，别人路过咳嗽一声都听得一清二楚，除了这两点别的都不错，烟味这个实在不能忍，就差点带着口罩睡觉了。前台客服态度挺好的，希望能改进上述问题吧', '短评打分': 4}
{'短评内容': '蛮不错的酒店，性价比很高。附近就有学校，一条路上去都是小吃和奶茶，非常的方便。前台服务态度也挺不错，卫生也还可以，不错！', '短评打分': 5}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '整个酒店设备环境卫生都不错，所以我又续订了一晚，斜对面是大学，所以旁边有很多小吃店，而且这里离菜市场和旅游客运中心都不远，交通比较便利', '短评打分': 5}
{'短评内容': '各方面都不错的', '短评打分': 5}
{'短评内容': '还不错.    服务也可以', '短评打分': 5}
{'短评内容': '交通便利，附近离学校近', '短评打分': 3}
{'短评内容': '一般，对得起这个价位', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '一般吧', '短评打分': 3}
{'短评内容': '一般吧，偶尔住还行', '短评打分': 3}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '一般，凑合住吧！', '短评打分': 4}
{'短评内容': '很不错的酒店，经常住', '短评打分': 3}
{'短评内容': '经常住的地方，很不错', '短评打分': 3}
{'短评内容': '门脸好小呀，佩服出租车司机找得到地方，房间也是小小的，没有衣柜，但是酒店装修很新很干净也还算是精致。', '短评打分': 5}
