{'短评内容': '房间还可以，就是被子有点味道', '短评打分': 5}
{'短评内容': '各方面不要问了   整体 是可以的        除非那些  挑刺毛病的人  会说  这不好  那不好        以为是自己家呢', '短评打分': 5}
{'短评内容': '地点位置很好，在玉山镇中心，离百盛也非常近走过去十几分钟，找餐厅十分方便，在公园旁边，早餐也还可以，有健身房可以去练练。', '短评打分': 5}
{'短评内容': '前台态度好，到了房间觉得烟味比较重，马上给我们安排了另一间。酒店的地理位置好，周围也有地方吃饭，还不错～', '短评打分': 5}
{'短评内容': '条件不错，喜欢', '短评打分': 5}
{'短评内容': '环境挺好的，喜欢', '短评打分': 5}
{'短评内容': '宾馆服务员态度一般而已，继续努力', '短评打分': 5}
{'短评内容': '房间干净整齐，住过不止一次了。蛮喜欢的风格。', '短评打分': 5}
{'短评内容': '交通方便价格实惠', '短评打分': 5}
{'短评内容': '还不错吧，感觉性价比不太高，其他都好', '短评打分': 5}
{'短评内容': '挺干净 ', '短评打分': 5}
{'短评内容': '干净舒适！', '短评打分': 5}
{'短评内容': '出差预定的 离市区近 ', '短评打分': 4}
{'短评内容': '非常不错，值得再来', '短评打分': 5}
{'短评内容': '环境可以哟  只是床头没有电源插口有点尴尬', '短评打分': 5}
{'短评内容': '环境优美、舒适安逸，价格公道，值得推荐！', '短评打分': 5}
{'短评内容': '西街店非常好！每次来昆山都是住西街店，前台服务非常优秀，房间很干净。', '短评打分': 5}
{'短评内容': '酒店经济实惠，环境优美，住的舒适放心，非常不错，值得推荐', '短评打分': 5}
{'短评内容': '很不错的酒店，很干净，信价比很高的', '短评打分': 5}
