{'descr': '跟照片有点不一样，气味也有点大，不过地方挺好的', 'star': 3}
{'descr': '其实房间里面很脏，毛巾都是泛黄的，电视也不能看，无线信号也不好，不过老板态度还是不错的，价钱在国庆也确实算便宜了，所以只能说凑合吧', 'star': 3}
{'descr': '位置不错，但房间太小，住宿并不舒适。', 'star': 4}
{'descr': '还不错~~蛮实惠的~~交通也方便也舒适。', 'star': 3}
{'descr': '好', 'star': 5}
{'descr': '地理位置很不好，周边什么也没有，卫生很一般，床比较小，还没有毛巾??隔音不好，大早上听到几个大妈一直在那说话??前台也太不专业了，大中午的，退房时候前台竟然没人，还让我们等前台人来了再退房！擅离职守??真是太不专业了，从没听说顾客等工作人员的??说等10min，等了20min还没来??不会再去了', 'star': 3}
{'descr': '酒店环境还可以，就是位置太偏了，周围都找不到家店，没吃的??是够安静了??房间里卫生还可以，周六才算下来才88，很便宜，性价比高??', 'star': 5}
{'descr': '挺好的  交通方便  安静适宜  经济', 'star': 5}
{'descr': '就是房间没有吹风机 别的都还好 挺经济实惠的~', 'star': 4}
{'descr': '这地方太偏了，到了晚上10点附近连吃的都找不到，如果在晚上有需要走动旅客不推荐这里', 'star': 1}
{'descr': '环境挺好，价格也不错，就是大床房的牙具只提供一套，不够人性化。不值钱的东西，多给一个呗', 'star': 3}
{'descr': '服务态度非常好，性价比非常高，就是不太好找！', 'star': 5}
{'descr': '很安静，设施比较齐全。总体来说信价比较高，可以开发票。下次还会选择。', 'star': 5}
{'descr': '设备齐全，环境安静，适合休息，交通便利，临近省级单位，办事比较方便', 'star': 5}
{'descr': '环境不错，不过位置不好找。', 'star': 3}
{'descr': '，房间很好，不仅干净舒适，有窗户，还特别安静，非常满意！', 'star': 3}
{'descr': '环境挺好的，价格便宜，服务态度超好', 'star': 3}
{'descr': '满意:房间很干净，淋浴和水温挺好;不足:房间太紧凑了，牙膏太少了，早上还要去前台要，房间隔音很差，房外环境的噪音太大。', 'star': 3}
{'descr': '位置不错,在省政府旁边.闹中取净.酒店房间太小,没有停车位.房间还蛮干净.', 'star': 5}
{'descr': '环境差，又特别吵而且最后又没有发票给我，说开发票的机器坏了，让我感觉是骗人的‘\n', 'star': 1}
