{'短评内容': '地理位置优越，条件好，服务好', '短评打分': 4}
{'短评内容': "前台服务态度不热情'设施还不错'房间内有吹风机'好位置的如家性价比更高", '短评打分': 5}
{'短评内容': '地理位置很好，停车方便，服务态度也很好', '短评打分': 3}
{'短评内容': '很有天津的味道，很温馨 不错不错 强力推荐！！！！', '短评打分': 5}
{'短评内容': '位置不错，空间一般。设施不错，服务也不错！', '短评打分': 5}
{'短评内容': '推荐，比较干净，地理位置好··············', '短评打分': 5}
{'短评内容': '还可以，就是有点热！感觉比如家强！', '短评打分': 3}
{'短评内容': '  房间设施还行  就是中央空调太不给力 一整晚开了和没看不一样 热爆了', '短评打分': 3}
{'短评内容': '很不错，干净卫生。就是隔音效果不太好。总体的来说，不错。', '短评打分': 5}
{'短评内容': '酒店房间不大，位置非常好，总体来说还不错。', '短评打分': 3}
{'短评内容': '比较干净，但房间很小，设施旧。', '短评打分': 3}
{'短评内容': '电视信号太差了，不过环境很好，屋内很干净卫生。', '短评打分': 5}
{'短评内容': '不错，靠近步行街，离公交总站很近，总之不错。', '短评打分': 5}
{'短评内容': '不錯!下次還會去那，缺點沒有無線網路，我住的那一間浴室排水不暢通，不過房間格局還不錯', '短评打分': 5}
{'短评内容': '服务不错，环境不错，卫生干净，离市区较近', '短评打分': 5}
{'短评内容': '环境很好，干净卫生。服务不错。就是电视信号太差，有好多台没有。', '短评打分': 3}
{'短评内容': '很有天津的味道，很温馨 不错不错 强力推荐！！！！', '短评打分': 5}
{'短评内容': '酒店很不错哈。整体建筑很有天津味~ 住着也舒服。 旁边就是个商业街 很方便哈。', '短评打分': 5}
{'短评内容': '地理位置非常好！出门左转就是劝业场；房间只是有点小，但是考虑到价格还是能够接受的，专修不错，应该是三星的液晶电视，整体很赞，推荐！', '短评打分': 5}
{'短评内容': '房间的整体设施还算不错，房间不太大，但还算温馨。但是隔音很差，水时热时冷。本来最迟下午2点就应该办理入住手续，可是我们一直等到晚上5点才住进宾馆，坐车折腾了一天，还要等一个多小时，在这方面，酒店还有待加强管理。', '短评打分': 1}
{'短评内容': '灰常的满意 强烈推荐哦 下次还住这家 逛街各种方便', '短评打分': 5}
{'短评内容': '感觉环境非常好，比较冷一点，地理位置也很好，服务态度算是不错了，支持一下', '短评打分': 5}
{'短评内容': "入住后感觉非常好'比想象的好很多'干净整洁舒适又在最繁华地带'一起的朋友也非常满意", '短评打分': 3}
{'短评内容': '位置不错，有专门的停车场，服务也不错，性价比还可以。', '短评打分': 5}
{'短评内容': '地段和装修都不错，房间暖气也很热\n缺点：早餐太差，别的房间一关门好像整个房子都在震动', '短评打分': 5}
{'短评内容': '感觉不错，不过我住的房间居然没有被子，让我想哭，', '短评打分': 3}
{'短评内容': '房间太小，也没窗户，性价比不高', '短评打分': 3}
{'短评内容': '位置不错', '短评打分': 3}
{'短评内容': '房间不大。环境还不错。购物吃饭方便。安静。', '短评打分': 5}
{'短评内容': '很好，很干净，服务态度很好', '短评打分': 3}
{'短评内容': '地理位置优越~条件也不错~出去逛街吃饭到火车站都挺方便', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 3}
{'短评内容': '床没有想象中的大，感觉不是商务的1.8*2m，大概就1.5m宽，其他都挺好的，地理位置相当不错哦', '短评打分': 5}
{'短评内容': '地理位置很好，但是房间小，房间还算干净，服务态度很差', '短评打分': 5}
{'短评内容': ' 房间不大 但设施比较齐全 水龙头设计的有点短不太好用 总体来说对的起这个价钱 建议入住', '短评打分': 3}
{'短评内容': '房间小，服务态度很差，感觉非常不好。下次肯定不去住', '短评打分': 1}
{'短评内容': '环境不错，房屋小了点，貌似到店后会有更便宜的，大家可以提前注意一下', '短评打分': 3}
{'短评内容': '酒店不错 干净、整洁 价格适中 地处五大道滨江道口，方便步行街与五大道的旅游，而且天津著名的瓷房子就在酒店的边上 除了方便还是方便 唯一不便的是没有早餐，好在KFC就在不远的地方 ', '短评打分': 5}
{'短评内容': '位置很好，听相声，逛街都很方便，晚上也很安静。缺点是漏水很慢，两次住的房间都是。', '短评打分': 5}
{'短评内容': '挺好的，离步行街很近，逛街购物很方便~！', '短评打分': 5}
{'短评内容': '交通还可以，离商业中心很近。不要住靠近街的房间，比较吵', '短评打分': 5}
{'短评内容': '位置很好，步行不远就是步行街，购物方便。房间虽小，但还算干净整洁，不错。', '短评打分': 5}
{'短评内容': '位置很不错，在天津滨江道那一块儿，逛街什么的都很方便。房间一般，不是很大，但是设施齐全，总的来说还挺不错的。门口的出租车什么的不建议坐，都是坑外地人的。', '短评打分': 5}
{'短评内容': '位置不错装修有点老式，楼层低点，价格还算合理', '短评打分': 3}
{'短评内容': '酒店服务，地点是很好的。但是房间确实不行。\n有窗的房间，窗前50cm有堵墙，基本白天一点光都进不来，和没窗一样。\n卫生间的门卡得很死，需要抬起来才能打开。\n房间也确实很小。感觉压抑。', '短评打分': 1}
{'短评内容': '位置不错，房间不错，挺干净卫生。就是隔音效果太差。', '短评打分': 5}
{'短评内容': '连锁酒店中比较好的一个，各地的速8品质一样，性价比高。', '短评打分': 5}
{'短评内容': '位置方便，酒店干净整洁\n作为连锁酒店，性价比还不错\n周边交通比较便利。\n可以推荐', '短评打分': 5}
{'短评内容': '地方不错，离劝业场很近逛街比较方便，我们是开车去的，地方挺好找的！\n房间也很好，但是不知道为什么洗澡间和厕所的灯不亮，房间有些热，空调不是很凉，而且奇怪的是低速风是最凉快的！\n下次再去还会去住的！', '短评打分': 5}
{'短评内容': '位置很好，紧临和平路商业街', '短评打分': 3}
{'短评内容': '位置好  装修挺好 隔音太差  服务态度没法说了 12点退房，过几分钟都不行 太气人了\n就像我欠他们钱似的一直板着个脸\n', '短评打分': 5}
{'短评内容': '地理位置真不错，就是被子有些没洗干净，房间有点小。', '短评打分': 5}
{'短评内容': '唯一不满的是居然住了第二天无人打扫房间，值班人员还理直气壮说：就这么住吧！当班清洁工已经下班了！但好在夜班人员及时帮我更换了房间。', '短评打分': 5}
{'短评内容': '第一次住速8酒店就给我们留下了极差的印象，最不满意的就是这里的服务，一点安全感都没有，明明服务员趁我们不在进来过还拿了东西，可就是不承认，最后还是监控录像说明了一切。好在经理还可以，通过监控发现了真相，赔偿了我们的损失还让服务员给我们道了歉。\n房间还算可以，床太软隔音差，别的就没有了，这样的服务以后不会再住了。', '短评打分': 1}
{'短评内容': '酒店位置不错，紧邻步行街，出去吃饭还是逛街都很方便', '短评打分': 5}
{'短评内容': '客房有些小，挺紧促的.卫生做得还成，位置非常好，院内可以免费停车.', '短评打分': 5}
