{'短评内容': '酒店很好 前台很热情', '短评打分': 5}
{'短评内容': '服务很好，环境棒棒的，位置也不错', '短评打分': 5}
{'短评内容': '房间超级大', '短评打分': 5}
{'短评内容': '服务不错', '短评打分': 5}
{'短评内容': '房子设施很', '短评打分': 5}
{'短评内容': '环境很好！', '短评打分': 5}
{'短评内容': '环境很好，性价比很高哦！值得去', '短评打分': 5}
{'短评内容': '好前台接待好', '短评打分': 5}
{'短评内容': '酒店给升级到套房，非常好。', '短评打分': 5}
{'短评内容': '掌柜的服务态度真好,发货很快。商品质量也相当不错。太喜欢了,谢谢!', '短评打分': 5}
{'短评内容': '房间很大，早餐一般，周围比较荒凉，适合自驾入住。', '短评打分': 5}
{'短评内容': '东西不错 京东送货迅速 值得购买', '短评打分': 5}
{'短评内容': '环境不错。酒店内部结构上档次，之前去时刚好赶上修路，影响美观了。度假旅游可以选择', '短评打分': 5}
{'短评内容': '酒店较旧，服务人员也不行，效率低。早餐三星标准吧。\n温泉不知道真假，室外的，环境还不错，总的来说还可以，价格在那呢。', '短评打分': 5}
{'短评内容': '很棒。推荐', '短评打分': 5}
{'短评内容': '很棒的酒店，前台服务很热情。', '短评打分': 5}
{'短评内容': '酒店很好，环境优美。前台服务超好。酒店整体感觉不错，期待温泉开业。', '短评打分': 5}
{'短评内容': '双床都是1.35一张的，很宽大！房间举架高、面积大，住着很舒服。浴室洗手台的水略小，洗澡水是冷热水分两个控制开关的，不太容易调和成合适的水温。早餐味道还可以，品种不多，属于家常菜、和一些本地特色，如鱼汤面、凉拌干丝', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '不错的酒店，早餐还可以，前台的美女免费给我们升到行政套房，房间很大，只是空调不给力，很冷，冻了一晚上，烧水的时候竟然跳闸，真的吓了一跳。', '短评打分': 5}
{'短评内容': '第3次入住了非常满意，人少，房间大、每一位工作人员都非常有礼貌，有问必答，酒店整体环镜不错，挺大的，离市区也近，开车十多分钟，价格也便宜，非常适合度假，周边生态环镜那是相当好。', '短评打分': 5}
{'短评内容': '第3次入住了非常满意，人少，房间大、每一位工作人员都非常有礼貌，有问必答，酒店整体环镜不错，挺大的，离市区也近，开车十多分钟，价格也便宜，非常适合度假，周边生态环镜那是相当好。', '短评打分': 5}
{'短评内容': '周边无好的餐饮店', '短评打分': 4}
{'短评内容': '非常好的的酒店；值得推荐！', '短评打分': 5}
{'短评内容': '房间不错，还行', '短评打分': 5}
