{'短评内容': '房间一般', '短评打分': 4}
{'短评内容': '还不错 正常的消费 不过房间较小 服务还行', '短评打分': 5}
{'短评内容': '环境还行，毕竟价钱便宜', '短评打分': 4}
{'短评内容': '美事想多了，还渴望个情人节，想得美！', '短评打分': 5}
{'短评内容': '靠近马路，但是不吵，通风也不错，借了吹风', '短评打分': 5}
{'短评内容': '服务差', '短评打分': 1}
{'短评内容': '临时订的，酒店不错，靠近火车站，离黄鹤楼又不远，就是厕所门有点透明，房间里有电脑，太卡了没用', '短评打分': 5}
{'短评内容': '性价比还是可以的，主要是方便', '短评打分': 4}
{'短评内容': '淋浴坏了不能洗澡，郁闷其他还好！', '短评打分': 4}
{'短评内容': '洗澡间是半透明的。比较适合情侣吧。', '短评打分': 4}
{'短评内容': '洗漱用品都是两面针的，挺好，房价很便宜，比旁边的布丁强太多。布丁价格贵不说还没有洗漱用品，也不能刷信用卡', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '交通便利，性价比高', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '该酒店地段非常好，紧邻武昌火车站和宏基汽车站，房间很干净，服务周到！支持！', '短评打分': 5}
{'短评内容': '交通便捷，周围吃的东西还蛮多。酒店比较干净，就是卫生间的排水系统不行。', '短评打分': 5}
{'短评内容': '环境还不错，蛮干净的，洗浴毛巾比较齐全，就是走廊有点吵，晚上有塞卡片的！', '短评打分': 5}
{'短评内容': '房间还不错，前台服务人员的业务水平有待提高，基本业务都不太熟悉。', '短评打分': 5}
{'短评内容': '还可以 住起来舒服。 晚上。。。噼噼啪啪', '短评打分': 5}
{'短评内容': '服务员态度太差，不想住了，不会住了。', '短评打分': 3}
{'短评内容': '离武昌火车站很近。环境不错。对面就是大超市。', '短评打分': 5}
{'短评内容': '地理位置好，提供免费停车，房间干净整洁！', '短评打分': 5}
{'短评内容': '就是有一个服务员态度极其恶劣，其他都灰常好···', '短评打分': 5}
{'短评内容': '酒店位子不错，离着武昌火车站比较近，不过房间面积稍微小了点了。', '短评打分': 1}
{'短评内容': '离武昌火车站很近，酒店很干净，前台服务也不错。', '短评打分': 3}
{'短评内容': '环境很好，很舒适。只是早上走廊很吵，睡不好。前台态度很一般！', '短评打分': 3}
{'短评内容': '位置不错，还有价格比较合理。下次去外地依然住在这~', '短评打分': 5}
{'短评内容': '离火车站很近, 对面就是超市,公交车站就在楼下,比较方便.\n', '短评打分': 5}
{'短评内容': '离武昌火车站很近, 交通很方便,房间也还干净。', '短评打分': 5}
{'短评内容': '环境很好，交通方便，离火车站很近，酒店服务也不错，旁边有各种餐馆', '短评打分': 5}
{'短评内容': '苏瓦还可以，环境不错，服务态度也行…交通方便    ', '短评打分': 5}
{'短评内容': '根本不在千家街站台后好嘛？！我在那下的车结果问周边的人都说没有找不到，结果走很远到什么大东门站后面才是。房间小，隔音差，其他都还好。', '短评打分': 1}
{'短评内容': '苏瓦的房间格局我非常喜欢，床也睡得很舒服。\n但是给我不好的印象是竟然有蟑螂，然后房间有一些异味。\n不过总体来说还是很不错的！', '短评打分': 5}
{'短评内容': ' 服务态度真的很好…', '短评打分': 3}
{'短评内容': '交通确实挺方便 离火车站走10分钟的路 周围也有很多公交车 基本武汉各种景点都有直达的车     我定的是无窗房 会有点闷 其他都很好', '短评打分': 5}
{'短评内容': '我是來自台灣的旅客這間酒店給我感覺很好，交通方便\n前台服務親切有禮貌，房間乾淨衛生，價格何理\n下次還會選擇蘇瓦', '短评打分': 5}
{'短评内容': '非常棒的一家酒店，环境设施都比较好，离司门口 武昌火车站都很近呢', '短评打分': 5}
{'短评内容': '酒店不错,干净实惠方便.', '短评打分': 3}
{'短评内容': '前一天住的旁边的纽宾凯国际酒店，今天因为早有预定过，就换过来了，房间很小，没窗户很闷，网速也不好。楼层比较复杂，找房间都不好早。而且12点前必须退掉，不然就要加收房费。退房时间比较早，对于坐车的人来说很不方便。现在很多酒店退房时间都会在14：00前了，包括昨天我住的那家都是14：00前退房', '短评打分': 1}
