{'短评内容': '5组兔兔我下午兔兔兔兔突突突兔兔兔兔我现在在知我者谓我心忧YY', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '不错的酒店！', '短评打分': 5}
{'短评内容': '酒店设备设施很好', '短评打分': 5}
{'短评内容': '酒店不错，服务员，大堂经理很会管理，下次继续住', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '早餐很好，服务也很好，订的湖景房可以看到西湖。非常好的一次入住体验！', '短评打分': 5}
{'短评内容': '不错，吃饭娱乐各个方面都很方便', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店很不错,房间很干净,住得很舒适,下次再来', '短评打分': 5}
{'短评内容': '酒店很不错,房间很干净,住得很舒适,下次再来', '短评打分': 5}
{'短评内容': '1', '短评打分': 5}
{'短评内容': '下次还订', '短评打分': 5}
{'短评内容': '很不错的酒店', '短评打分': 5}
{'短评内容': '价格便宜，同比携程网和途牛网后确定京东订。', '短评打分': 5}
{'短评内容': '还没住，但是一直相信京东', '短评打分': 5}
{'短评内容': '位置好，过个马路就是西湖，两分钟的路程。老牌酒店，服务不错，房间挺大。大堂经理是外国妹妹，挺漂亮。', '短评打分': 5}
{'短评内容': '还不错！ 房间比较大。。。。', '短评打分': 5}
{'短评内容': '很好  京东性价比比携程高', '短评打分': 5}
{'短评内容': '非常不错的酒店', '短评打分': 5}
{'短评内容': '房间升级为行政房出去后门几百米到西湖   空调没开都很热啊  还有恒温泳池  宝宝玩的很开心  是个够级别的五星酒店  早餐自助餐很丰盛', '短评打分': 5}
{'短评内容': '风景很美，楼下新白鹿也不错', '短评打分': 5}
{'短评内容': '酒店对面就是西湖，地理位置很优越。杭州人亲切，不排外，推荐介绍都很实在，不载客。酒店服务一流，入住退房，酒廊早餐HAPPY HOUR，包括打扫房间的大叔都很NICE，总之入住体验很棒。', '短评打分': 5}
{'短评内容': '不错去杭州基本住这个酒店', '短评打分': 5}
{'短评内容': '每次都住着家酒店', '短评打分': 5}
{'短评内容': '老牌酒店，设施维护得不错，都还较新。服务很好，升级了行政房，还打电话来询问房内设施等是否满意。服务员来铺夜床，赠送了个小礼物。离西湖非常近，步行五分钟。酒店背后有小吃街，但东西不是很多。总体来说，还是很满意的，该品牌值得信任。', '短评打分': 5}
{'短评内容': '不太好找', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '总体来说真的很满意，这次去还帮我升房了。地理位置也好，有小朋友专门的洗浴套装', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '环境很好，离西湖也很近，酒店环境很好', '短评打分': 5}
{'短评内容': '泳池好，适合带娃泡', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': 'Nice hotel nearby west lake.  Room was fantastic but the furniture a litter bit old.   We try again the Chinese cuisine at China Restaurant inside the hotel.  Once again the variety of food was limite', '短评打分': 5}
