{'短评内容': '没有早餐，采光不是很好', '短评打分': 3}
{'短评内容': '酒店位置方便出行', '短评打分': 4}
{'短评内容': '房间隔音差，卫生一般，服务差，没有发票。', '短评打分': 3}
{'短评内容': '棒棒的', '短评打分': 5}
{'短评内容': '方便，对面就是汽车站', '短评打分': 5}
{'短评内容': '很好，三楼还有洗脚的', '短评打分': 5}
{'短评内容': '环境好，位置佳，值得入住。', '短评打分': 5}
{'短评内容': '总体还行', '短评打分': 4}
{'短评内容': '经济实惠', '短评打分': 4}
{'短评内容': '每次来都住的这次还送了早餐干净整洁', '短评打分': 5}
{'短评内容': '比较安静，还不错！', '短评打分': 4}
{'短评内容': '经常住，还不错了，，可以推荐的', '短评打分': 4}
{'短评内容': '出差性价比超高', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '汽车站对面', '短评打分': 4}
{'短评内容': '交通方便，干净，整洁。到襄樊基本都住这。', '短评打分': 5}
{'短评内容': '房间小了点，交通方便，汽车站对面 ，快速打车', '短评打分': 5}
{'短评内容': '出行方便。', '短评打分': 3}
{'短评内容': '还可以吧，小小的挺好，就是卫生间里的积水要很久才没有', '短评打分': 5}
{'短评内容': '＋离汽车站很近的', '短评打分': 3}
{'短评内容': '在这个价位下，酒店还是满意的，很安静，通风不好。', '短评打分': 5}
{'短评内容': '的确不错的宾馆，干净，交通方便，下次还来这里住', '短评打分': 5}
{'短评内容': '各方面都比较满意。提两点意见：1.浴室地漏排水太慢，掀起了地漏的盖子也无济于事，水都漫出去了。2.找不到步行下楼的楼梯，虽然本人所住房间旁就有安全通道的楼梯，但被杂物堵住。', '短评打分': 5}
{'短评内容': '退房时间应该灵活点！', '短评打分': 3}
{'短评内容': '很好比较方便，下面有超市，对面就是汽车总站，离火车站也近，也比较干净，附近有菜市场，吃早餐比较方便。', '短评打分': 5}
{'短评内容': '房间满干净，就是房间面积不大。酒店离汽车总站和火车站很近。', '短评打分': 5}
{'短评内容': '每次出差都住这里，干净卫生，性价比较高。', '短评打分': 5}
{'短评内容': '坐车方便，比较干净，就是早餐品种太少了，', '短评打分': 5}
{'短评内容': '很方便。', '短评打分': 3}
{'短评内容': '客房还过得去，最主要还地段位置方便出行。', '短评打分': 5}
{'短评内容': '比较干净，整洁。电视太老，而且偏色严重。隔音效果不是很好。', '短评打分': 5}
{'短评内容': '每次出差来襄樊都会入住这里，价性比较高！', '短评打分': 5}
{'短评内容': '位置太偏，，。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '虽然名叫汽车酒店，英文也写的是motel，实际上没有停车场完全不是motel的原意。隔音差，房间设施陈旧，比较一般。但是前台服务员热情周到，而且很漂亮哦。', '短评打分': 1}
{'短评内容': '酒店的位置真的很好，距离火车站也就5分钟，汽车站就过条马路，因为自己当天不是很及时的入住，让朋友代为办理的入住手续，就怕会扣了这款的信誉度，还好，也没有扣分，呵呵。酒店的环境还蛮好，实用便捷。晚上睡觉也不会像在火车站附近那样还听到火车的鸣叫声，总之就是几个字；价格实惠，交通方便，服务态度也很好，推荐哈~！', '短评打分': 5}
{'短评内容': '服务不错，', '短评打分': 3}
{'短评内容': '真的很不错', '短评打分': 3}
{'短评内容': '酒店很好，服务很热情很细心，房间里也很干净很清爽，住的很舒适。', '短评打分': 5}
{'短评内容': '酒店的位置挺好，离汽车站、火车站挺近，出行很方便。', '短评打分': 5}
{'短评内容': '房间很整洁，床上用品都很新，洗漱用品质量也很好，位置也不错，出行也很方便。', '短评打分': 5}
{'短评内容': '房间不大，设计的很合理，设施挺齐全，打扫也很干净，感觉很不错。', '短评打分': 5}
{'短评内容': '距离襄樊火车站很近，附近有小超市和小饭店，很方便，一下车就有淡淡的桂花香，性价比超好', '短评打分': 5}
{'短评内容': '就在汽车站正对面，对第二天搭车方便，离火车站很近，步行就到，可以在附近街道找到很多特色小吃，酒店隔壁就是大超市，方便买东西', '短评打分': 5}
{'短评内容': '酒店的设施较新，房间的色彩很鲜明，给人的感觉很活泼，而且收拾的也很干净。', '短评打分': 5}
{'短评内容': '客房给人的感觉很清新，是那种淡绿色的，住着很舒服。', '短评打分': 5}
{'短评内容': '房间的空间有点小，不过基本设施都有，打扫的也很干净。', '短评打分': 5}
{'短评内容': '位置不错，旁边有个超市，购物方便啊!', '短评打分': 5}
{'短评内容': '酒店的位置很好，离汽车站很近，方便我们第二天去坐车！', '短评打分': 5}
