{'短评内容': '还可以，每次都到这里来。', '短评打分': 5}
{'短评内容': '一直都在这个酒店，很方便，这里人也亲和。', '短评打分': 5}
{'短评内容': '整体感觉还行，性价比高，位置靠近黔灵山。老房子，酒店中规中矩。普通酒店', '短评打分': 5}
{'短评内容': '服务好，卫生干净，设施齐全', '短评打分': 5}
{'短评内容': '首先表扬一下他们家的wifi真的很快，还是没间房的独立路由器，第二服务态度好，每次进出都会说您好，这个很多酒店没有的，卫生也不错，淋浴水也热得快。', '短评打分': 5}
{'短评内容': '性价比高 连锁酒店管理  服务人员热情  房间干净卫生 WiFi信号好 网速快  热水淋浴水流大  周边环境好 不吵闹', '短评打分': 5}
{'短评内容': '可以的酒店，位置和清洁都不错', '短评打分': 5}
{'短评内容': '环境好，', '短评打分': 5}
{'短评内容': '住习惯了,主要价格合理,离北站近', '短评打分': 5}
{'短评内容': '可以的。住起来好舒服呀。', '短评打分': 5}
{'短评内容': '很干嘛，位置好。', '短评打分': 5}
{'短评内容': '卫生挺好的，房间是靠里面的不会吵闹', '短评打分': 5}
{'短评内容': '刚收到了赞一个', '短评打分': 5}
{'短评内容': '服务好，房间干净，网络快', '短评打分': 5}
{'短评内容': '非常不错的酒店，下次还会入住', '短评打分': 5}
{'短评内容': '还不错 离火车站近', '短评打分': 5}
{'短评内容': '总体来说很不错哦，值得推荐！物美价廉，卫生好，服务好，设施齐全，但没有赠送矿泉水。处于市中心繁华圈，吃饭方便。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '环境挺干净，服务也还可以。环境挺干净，服务也还可以。环境挺干净，服务也还可以。环境挺干净，服务也还可以。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '不提供洗漱用品，要么自带要么在那里买，酒店有卖。', '短评打分': 2}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '房间小了点 其它都还ok', '短评打分': 5}
{'短评内容': '交通便利，房间宽敞明亮，墙壁隔音不是很好有点影响', '短评打分': 4}
{'短评内容': '比较旧了，不过算便宜了', '短评打分': 5}
