{'短评内容': '只能说是快捷酒店', '短评打分': 3}
{'短评内容': '临时订的，还将就啦', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': 'wifi太垃圾了。其余不错zz', '短评打分': 5}
{'短评内容': '那个位置性价比还可以', '短评打分': 4}
{'短评内容': '我就不多说了', '短评打分': 2}
{'短评内容': '这家酒店真的是特别差，我一般不会给这么低的评价，这真的是第一次这么低的评价，首先去之前打电话问了酒店，说可以提前入住，我就订了第二天6点多到成都的火车，结果到了告诉我住不了，好吧，住不了就住不了早上六点多我们两个女生没办法只能出去在大街上闲逛，然后10点的时候，又给酒店打电话 说有空伐就给我们留着，并给我们打电话我们马上就回去，酒店工作人员也答应了，说好的，结果到12点也没个电话，只能我们到时间办', '短评打分': 2}
{'短评内容': '卫生比较干净，但是房间里的东西很少，网络信号不好', '短评打分': 3}
{'短评内容': '还可以吧，交通方便。。。。', '短评打分': 5}
{'短评内容': '酒店环境还行', '短评打分': 4}
{'短评内容': '性价比还可以！！！！！！', '短评打分': 3}
{'短评内容': '不错，下次还住这里', '短评打分': 4}
{'短评内容': '还是可以的，性价比不错', '短评打分': 3}
{'短评内容': '房间大小适中，较干净，卫生间有点小，毛巾不如7天的，比较破，都洗不出来了，整体还算可以吧，全国到处修路，因而交通还算便利吧，网上的价位与实体一样，没什么优势', '短评打分': 4}
{'短评内容': '房间很好，够空间，各个设施也很干净、齐全，不错，就是洗发液和沐浴露不是袋装的，老是要到冲凉房去挤，麻烦死了。', '短评打分': 5}
{'短评内容': '非常不错的地方', '短评打分': 5}
