{'descr': '环境很好，前台很热情', 'star': 5}
{'descr': '很不错，加油加油加油！', 'star': 5}
{'descr': '床被浴巾比较陈旧。其他的还好，网速挺快，交通便利。', 'star': 4}
{'descr': '门口能停车，地方也很容易找到，在一个环岛路口，房间很干净，光线也挺舒适，只是厕所跟洗澡间是隔开的但是却只有一个门。我定的大床房送早餐，早餐很简单，就是米粥，馒头，咸菜，鸡蛋还有两个炒菜，不过味道还可以，总体来说还不错', 'star': 5}
{'descr': '卫生还好，服务不错', 'star': 4}
{'descr': '出差住宿', 'star': 4}
{'descr': '房间环境还可以，不过网速不太好，出门就是肃宁标志建筑九龙柱', 'star': 4}
{'descr': '总体来说还算可以，不贵，但是环境一般。不过出差在外，在肃宁这个小城市里，能这样就很不错了，但是。希望能以后再给更多的优惠。', 'star': 4}
{'descr': '好', 'star': 5}
{'descr': '不错经济实惠', 'star': 5}
{'descr': '交通方便，环境不错，服务员热情。', 'star': 5}
{'descr': '在县城，这种价位的，条件不错了。', 'star': 4}
{'descr': '服务热情，交通方便，早餐—般，推荐入住。', 'star': 3}
{'descr': '很好，便宜干净。下次继续入住', 'star': 3}
{'descr': '还行 周围很荒凉 晚上不敢出去溜达', 'star': 3}
{'descr': '雅客e家，真的很不错!条件很好，性价比很高，下次会继续入住！', 'star': 5}
{'descr': '硬件条件一般，而且屋子里有异味，服务态度也一般', 'star': 5}
{'descr': '还会再来，地理位置不错！环境还行，就是临街的房间有些嘈杂！', 'star': 5}
{'descr': '还会来这里住的，交通方便！！！！！！！！', 'star': 5}
{'descr': '房间干净、整洁、舒适 物品配备也挺齐全的 服务也很不错 早餐也蛮丰盛的 我喜欢这里的环境 如果房间能再稍微大些就更好啦 下次还来这入住 \n', 'star': 5}
{'descr': '经济实惠，网速超快！\n就是房间有些潮！\n其他都可以！\n早餐有待于改进！', 'star': 5}
{'descr': '宾馆干净安静，服务也行。', 'star': 3}
{'descr': '挺好的，很干净，服务态度挺不错的，就是商务大床房有网线木有电脑，有点小失望。呵呵', 'star': 3}
{'descr': '很干净，房间也挺舒服。周边请客吃饭买礼物都很方便，退房的时候把手机落房间了，还麻烦小贾经理送到火车站，真是太感谢了！', 'star': 5}
{'descr': '房间好干净哦，有洁癖的都可以来。服务很周到呢，大厅登记的时候还有免费糖果吃哦，很贴心呢。哦，对了，还有自助早餐，超好吃O(∩_∩)O~', 'star': 5}
{'descr': '还不错！下次还会入住！房间很亮！布局很好！', 'star': 5}
{'descr': '不错，房间很亮，很大，很干净，下次还会在住！', 'star': 5}
{'descr': '住宿条件，环境卫生。都很不错。值得再次入住！', 'star': 5}
{'descr': '性价比超高！免费早餐！交通便利！值得一住！', 'star': 5}
{'descr': '房间比较大，也很温馨，就是临路，噪音有些大，总体感觉不错！还会入住！', 'star': 5}
{'descr': '.服务很好', 'star': 3}
{'descr': '比较干净，交通方便，就是毛巾一洗有颜色，不知道怎么回事？开始以为是水的问题，可单放水没事，毛巾白色怎么来的颜色，纳闷中', 'star': 5}
{'descr': '房间里缺少浴帽不是很方便。服务态度良好。', 'star': 3}
{'descr': '还是相当不错的。', 'star': 3}
{'descr': '不错，性价比蛮高的。会像朋友推荐的。干净，舒适。', 'star': 5}
{'descr': '酒店交通挺方便，送的早餐也不错，房间设计也很人性化，唯一的缺点就是隔音稍差，下次还会再住', 'star': 5}
{'descr': '服务非常好，早餐供应挺好的，一点不像网上说的那样。', 'star': 3}
{'descr': '房间挺干净，隔音稍微差点，经济实惠', 'star': 3}
{'descr': '装修的环境，位置，管理都还不错，有如家的感觉，但因在春节期间，做饭的师傅没上班，送的早餐没有了。另外被子上有脚印，前台马上给换了，服务态度非常好。不过换后又发现床单和被子里有头发和一些毛絮，想着过节，大家都挺辛苦的，就没有再让服务员换。', 'star': 5}
{'descr': '不错啊！很好，下次还会住的！呵呵！房间有窗户，而且不冷，很亮', 'star': 5}
{'descr': '酒店的服务很好，环境很整洁，交通也很便利。是一家很好的酒店！', 'star': 5}
{'descr': '酒店很干净、整洁。服务也很热情周到。是家很不错的酒店！', 'star': 5}
{'descr': '这家酒店是一家较新的酒店，环境优雅、干净舒适，房间上网有两条网线，这是一般的酒店所没有的，两个人上网非常方便，酒店的服务也很好，早餐也算可以。下次还会来这家酒店住宿。', 'star': 5}
