{'短评内容': '酒店装修、设施比较老旧，不想再去第二次了', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '四星级酒店的硬件，酒店用品软件部分就是个3以下比2星好点有限的配置。太失望了，还敢说五星，这样以后都不敢看携程的星级了。备用被子是脏的一团，室内比较冷，估计就20度，空调老的制热不好。比快捷酒店的茶还差，没有润肤乳，连护发素要用另行申请。住过最奇葩的5星酒店，就剩房间大了。', '短评打分': 2}
{'短评内容': '很一般，洗澡水很小', '短评打分': 2}
{'短评内容': '酒店设施比较陈旧。泳池女更衣室的拖鞋颜色已快从红色变成黑色还在使用，而且泳池冬天没有暖气很容易感冒。', '短评打分': 4}
{'短评内容': '挺不错的！', '短评打分': 5}
{'短评内容': '服务态度好，房间很大', '短评打分': 5}
{'短评内容': '方便', '短评打分': 5}
{'短评内容': '特别好', '短评打分': 5}
{'短评内容': '这次还可以', '短评打分': 5}
{'短评内容': '酒店房间很大，位置非常一般了，周边啥都没有，但是停车的地方很多，价格么。。。仁者见仁。。。总之作为临时落脚点还是可以接受的。', '短评打分': 4}
{'短评内容': '很旧很老，服务很差。价格还贵', '短评打分': 1}
{'短评内容': '房间设施有点旧，卫生一般，就是大', '短评打分': 4}
{'短评内容': '环境不错，服务可以。', '短评打分': 3}
{'短评内容': '就是', '短评打分': 5}
{'短评内容': '挺好的。', '短评打分': 5}
{'短评内容': '实在一般。不佩五星级', '短评打分': 2}
{'短评内容': '地点有点儿远，主要是开会来着，不过在北京是属于风景优美的地方。', '短评打分': 5}
{'短评内容': '从机场到酒店不是很方便，周围无超市等。晚上到了以后想喝点啤酒都没有', '短评打分': 5}
{'短评内容': '不好。当初预定的时候介绍说是5星。简直是开玩笑呢！！！四星都达不到，只是胜在房间够大，也够空。我问服务员，你们为什么不挂牌，他们说还在申请中···还在申请就敢说自己是五星？！而且您这酒店都开了4年了，还没申请下来？！其实硬件不是最差的地方，最差的是服务！服务员完全没有服务意识，而且居然出现门禁系统坏掉的事件！大概晚上9点多的时候，有一男性客人拿着手中的门卡刷开了我的房门！！！真是恶性事件！！！打电', '短评打分': 1}
{'短评内容': '\r\n入住时 酒店称未接到预定\r\n经过交涉 成功入住\r\n总的来说还算可以', '短评打分': 3}
{'短评内容': '还可以，就是价位比以前高了好多，如果再便宜点性价比就高了。', '短评打分': 5}
{'短评内容': '房卡刷不开门', '短评打分': 3}
{'短评内容': '环境好 ，服务好 ，以后还要住这里。此店是大家到郊区游玩的 好住所', '短评打分': 5}
{'短评内容': '酒店环境很好,干净很喜欢!', '短评打分': 3}
{'短评内容': '房间的装修卫生还是挺好的，位置的话还凑合可能要是第一次过去就不是太好找，服务态度还可以，价格倒是挺便宜的。', '短评打分': 5}
{'短评内容': '比较糟糕，服务超差！绝对不会推荐人去住。', '短评打分': 1}
{'短评内容': '性价比还可以，房间很干净，硬件设施齐全，服务很好，下次还会住的。', '短评打分': 5}
{'短评内容': '自驾比较方便,如果自己过去不太方便.位置有些偏,不太好找,另外就是卫生和设施条件有些一般化.', '短评打分': 1}
{'短评内容': '整体来说很不错的酒店，房间很干净，配套设施完善，性价比高，下次还会住的。', '短评打分': 5}
{'短评内容': '位置还可以，如果价格包含早餐的话那就更好了，房间卫生设施还是挺不错的，环境还是不错的。', '短评打分': 5}
{'短评内容': '酒店很气派，客房面积大，布置的温馨舒适，打扫的也到位，价格要是再低点就有圆满了，哈哈。', '短评打分': 5}
{'短评内容': '价格比较高  ', '短评打分': 5}
{'短评内容': '酒店设施不错，但位置较偏，周围无任何商业店铺，交通不方便，特别是服务差，进餐厅吃中餐，服务员告之，住店客人可以免15%服务费，结帐时却说搞错了，不能免，钱不多，感觉不好！进店发两张早餐票，以为是免费早餐，就餐时，服务员又不告之，结帐时收每人40元早餐，有受骗的感觉，不可思议！', '短评打分': 1}
{'短评内容': '除了交通不太方便，其它方面都还不错，价格也蛮合适的。', '短评打分': 5}
{'短评内容': '五月二日，预定了两个标准间，正值假期优惠，感觉性价比超高。很喜欢酒店的飘窗阳台，和家人一起品茶喝酒，感觉很爽。酒店离顺义水上公园很近，步行可及。', '短评打分': 5}
