{'短评内容': '房间很干净，环境舒适，以后再来。', '短评打分': 5}
{'短评内容': '环境不错，很静，电蚊拍灭蚊三只', '短评打分': 5}
{'短评内容': '酒店位于市中心。是一家比较老的酒店周围吃饭，购物方便。房间干净整洁空间也比较大。早餐实在太差了！', '短评打分': 3}
{'短评内容': '房间卫生不错', '短评打分': 5}
{'短评内容': '干净整洁 价钱实惠 还有早餐', '短评打分': 5}
{'短评内容': '老酒店了。位于市中心交通方便周边吃饭也比较方便。早餐品种少了点。房间干净整洁，设施也不错。', '短评打分': 4}
{'短评内容': '朋友说不错', '短评打分': 5}
{'短评内容': '老旧但是环境不错', '短评打分': 5}
{'短评内容': '酒店干净、服务人员热情专业，设备比较齐全家电wifi都有，这个价位对于过夜来说非常不错。值得大家选择！周边几家馄饨店口味很不错。', '短评打分': 5}
{'短评内容': '性价比不错，位置便利，早餐还可以', '短评打分': 5}
{'短评内容': '高速封路，不得已住的。还说的过去', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '酒店很优美环境，服务态度好，早餐不错', '短评打分': 5}
{'短评内容': '还可以，就是比较老了，设施跟不上', '短评打分': 4}
{'短评内容': '酒店位置还不错，房间也还好！早餐也行', '短评打分': 4}
{'短评内容': '128的特价房是老房间了，不推荐，相对新的房间估计要168 188才能住到。    早饭品种较少，不过服务员还算热情。地理位置还可以，晚上停车方便，白天停车困难。', '短评打分': 3}
{'短评内容': 'F感觉不错的。比较干净。。温馨。总的来说好。早餐也好吃。', '短评打分': 5}
{'短评内容': '住的很好，酒店很舒服，环境也很好，早餐没有去吃，但我想应该不错。推荐！！！', '短评打分': 5}
{'短评内容': ' 第一次入住华侨饭店 各方面条件很好 也很安静 花园环境优美 吃饭也方便', '短评打分': 3}
{'短评内容': '酒店外边看起来还好，室内家具有点陈旧；总体来说，这价格也值了。', '短评打分': 5}
{'短评内容': '价格还行，房间挺大的。地段也还行，总体不错', '短评打分': 5}
{'短评内容': '在主干道旁边，房间安静，这价钱非常超值了。有机会还会去的。', '短评打分': 5}
{'短评内容': '非常幽静，出行也方便早上因为边上有小学，有些吵闹，得早起，早餐很一般，有待改进。', '短评打分': 5}
{'短评内容': '酒店非常幽静，设施简单低调，边上有KTV较吵，早餐过于随意，有待改进。', '短评打分': 5}
{'短评内容': '订得238的房间，结果前台竟然给我开了138的房间，这前台也太马虎了，幸亏我又自己在网上看了238房间，不然就要花238的钱住138的房间了。', '短评打分': 3}
{'短评内容': '房间挺干净的，还不错，宽宽敞敞的～', '短评打分': 3}
{'短评内容': '因为出差住的这里，费用倒是能接受，就是设备很老旧 凑活住吧 ', '短评打分': 5}
{'短评内容': '酒店环境不错，比附近的同等价位的宾馆要好。', '短评打分': 5}
{'短评内容': '酒店服务还不错，特别是早餐较以前有了很大的提高，增加了面条和河粉的现场制作内容', '短评打分': 5}
{'短评内容': '整体情况还不错，早餐还需要得到进一步的改善！', '短评打分': 5}
{'短评内容': '性价比高，干净，幽静，早餐丰盛，第二次入住了，以后还会去', '短评打分': 5}
{'短评内容': '酒店设施还行，隔音还有欠缺，如果早餐能够好一点，下次还会入住！', '短评打分': 1}
{'短评内容': '华侨饭店房间情况不错，下次来还住华侨。', '短评打分': 3}
{'短评内容': '性价比不错，平湖其他的酒店我没住过，不过这家应该算是不错的，整体环境较好，安静、也很干净。', '短评打分': 5}
{'短评内容': '性价比高 安静  值得推荐的         值得', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 3}
{'短评内容': '房间不错', '短评打分': 3}
{'短评内容': '设施还可以,值这个价', '短评打分': 3}
{'短评内容': ',酒店服务热情，还有免费早餐，生态环境，空气新鲜。今天继续预定。', '短评打分': 3}
{'短评内容': '房间不错的，大床房很不错，早餐券我都没去吃，可惜了。不知道下次还可不可以拿去蹭饭~哈哈。前台小姐很有爱啊~环境不错~', '短评打分': 5}
{'短评内容': '性价比很高的酒店，房间又大又干净。下次还会来住的。', '短评打分': 3}
{'短评内容': '第二次入住，很不错很不错很不错很不错很不错', '短评打分': 5}
{'短评内容': '因酒店时间较久，条件一般，服务一般。但入住还行。', '短评打分': 5}
{'短评内容': '早餐还行吧.....前面不远的BJHJ还不如它呢我觉得\n出去打车也挺方便', '短评打分': 5}
{'短评内容': '服务好....价格也不错....要是浴缸能干净点就好了....', '短评打分': 5}
{'短评内容': '整体不错，环境大气，价格高低任选，早餐满意。\n整体不错，环境大气，价格高低任选，早餐满意。\n整体不错，环境大气，价格高低任选，早餐满意。', '短评打分': 5}
{'短评内容': '性价比很高的酒店 服务也很亲切。138的标间所有东西都挺旧 不过房价便宜呀！推荐238的房间。酒店可以步行到附近的景点 东湖 莫氏庄园 大概用20分钟。', '短评打分': 5}
{'短评内容': '138的房间和这个酒店根本没有关系，好的房间在另外一边，房间很老，还不如那种路边的快捷酒店来的好。                                                                    ', '短评打分': 1}
{'短评内容': '窗外有个湖,很安静,墙壁有些旧了,还能接受', '短评打分': 3}
{'短评内容': '位置上佳，和周边酒店比起来很具有优势，饭店的小广场和花园别具一格，晚上很是幽静。早餐一般，质量不佳。', '短评打分': 5}
{'短评内容': '周边是学校，正好放假，环境幽雅，早餐一般。', '短评打分': 5}
{'短评内容': '服务态度好\n138的房间有点简陋，我住的那间卫生间天花板会漏水\n不过还会去住，也就是睡睡觉而已，没有什么太高的要求', '短评打分': 5}
{'短评内容': 'everything is good for me...', '短评打分': 5}
{'短评内容': '平湖华侨饭店是一个设计上水平的酒店。上次入住二楼，这次安排在三楼，入住这家宾馆的确是一种享受。大床很舒服，被具清洁有一种清香。室内灯具布置合理，使用方便，很好。卫生间设计新颖，卫生洁具、龙头淋浴器具也很高档，具有高星级宾馆的水平。卫生间如添置一个人体磅秤，同五星级宾馆的设施基本没有太大的差异了。宾馆管理不错，早餐也很丰富，物超所值。早餐我吃到烤五花肉培根等高档荤食，有五谷杂粮（紫芋玉米窝窝头杂粮馒', '短评打分': 5}
{'短评内容': '正统有规模，内有花园，东侧靠河，地段很好，幽静。', '短评打分': 5}
{'短评内容': '好象是重新装修的房间，有股味道，其他倒是还不错\n风景也挺好', '短评打分': 5}
{'短评内容': '非常不错的一个酒店，设备新，场所大而且齐，出路也很方便，离酒店2、3分钟就是2、3、6路车站，三轮车、出租车也方便。早餐简单一些但也能接受。', '短评打分': 5}
{'短评内容': '环境不错，性价比高，下次来还选择华侨。', '短评打分': 3}
{'短评内容': '平湖华侨饭店经过装修，感觉很好，比上海市郊的五星级酒店的客房质量要好。我入住的豪华大床房，面积大小合理，落地大玻璃窗外的中式园林加上春天的花卉，有一种万紫千红春意浓的气氛，入住真是有一种大自然的美的享受。酒店环境优雅，室内设施上乘，灯光设计新颖，施工质量好，称得上高级装修，早餐也是丰富温馨。', '短评打分': 5}
{'短评内容': '感觉不错，交通方便，闹中取静', '短评打分': 3}
{'短评内容': '环境不错，就是位置有点不太好找。建议大路上做标示！！', '短评打分': 5}
{'短评内容': '酒店还是比较一般，房间感觉也是比较简单，价格也就一般。', '短评打分': 1}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '酒店整体条件都不错，主要是位置好一些比较方便出行并且室内各方面设施也很齐备，蛮不错的酒店.', '短评打分': 5}
{'短评内容': '平湖没找到什么比较好的酒店，这家还算可以的。房间应该是新装修的，还不错。只是早餐种类比较少。', '短评打分': 5}
{'短评内容': '酒店前台入住时提供了一间尚未打扫过的房间,但事后能及时处理', '短评打分': 5}
{'短评内容': '只在里住了12小时，没什么感触，但是去楼下他们的酒店点餐，单点一菜一汤看起来很实惠，但是她们极力推荐套餐就要了一个，结果送来之后发现 配的青菜真的搜了，而且所谓的汤就是白水煮香菇，还没任何调味品，直想吐，让人很失望。', '短评打分': 1}
{'短评内容': '在平湖，还算性价比不错的了。旁边就是小学，风水甚好。', '短评打分': 5}
{'短评内容': '+', '短评打分': 5}
{'短评内容': '房间很新很大，就是新装修味太大，睡觉还是比较安静，性价比还行', '短评打分': 3}
{'短评内容': '服务还可以，设施有点老化。床太小了，弹性很差。需要改进。', '短评打分': 5}
{'短评内容': '性价比高，房间还是很新很大很好，就是酒店是新装修气味很大，要开窗才行', '短评打分': 3}
{'短评内容': '酒店是新装修的，设施好，房间也够大，环境不错，就是新装修的气味还比较大，早餐不太理想，性价比高', '短评打分': 5}
