{'descr': '服务相当差', 'star': 1}
{'descr': '这个大床房真是住的我很不爽，也就床单被罩干净点，墙皮子都掉了 住的很憋屈 ，比那几个连锁店差了好多啊', 'star': 1}
{'descr': '周边环境很差！房间还打死好几只蚊子，睡一觉脖子上不知被什么虫子咬了个大疙瘩！卫生间只有一扇门，家庭住上厕所洗澡都很不方便，没有门还很冷！客房服务员说门坏了，前台说很多房间都一个门，我无语了，换房间说没有！多要个枕头，服务员说没有枕套，黄黄的脏脏的还有血迹！房间里的洗漱用品和矿泉水都收费！房间没有吹风机，找前台要，让自己去一楼拿！接我们的司机说要晚点到，我们问前台能不能延长半小时，前台说不行！其他的', 'star': 1}
{'descr': '地点挺偏僻的，房间较小，价格便宜也就无所谓了，最不满意的是浴室没有花洒。', 'star': 4}
{'descr': '整体价位与服务配套比较符合，经济型酒店。性价比比较高，但是一些基础设施有些老旧，也有破损，希望酒店可以维修一下', 'star': 4}
{'descr': '屋子很小，从网上订了117的大床房，结果是这样的。水龙头漏水，喷头也漏水。', 'star': 4}
{'descr': '环境好，服务周到，值得入住', 'star': 5}
{'descr': '干净，温暖，前台很热情，推荐。', 'star': 3}
{'descr': '房间很干净服务也很好。', 'star': 5}
{'descr': '酒店卫生算是比较干净，前台服务人员态度比较热情和主动，酒店设备比较陈旧，天花板爆皮，有脱落，尤其是淋雨下水不畅，下水管道需要维护。由于是经济型酒店房间不提供免费的牙刷，牙膏和毛巾，香皂。酒店周边有很多吃饭的小馆，算是比较方便。酒店窗户隔音不好，临街的房间早晨比较吵闹，可能会影响休息。', 'star': 4}
{'descr': '设施一般，服务周到，价格还可以', 'star': 3}
{'descr': '好', 'star': 5}
{'descr': '环境还不错，空间也不小，就是早上热水不好…', 'star': 3}
{'descr': '反正旺季不值得去。条件太差，都懒得说，就是床比较舒服。', 'star': 1}
{'descr': '预订和门市价一样,还有更低价的房间', 'star': 5}
{'descr': '床很有特色，很适合情侣入住。。地点有点偏僻。。', 'star': 5}
{'descr': '因为是旺季去的，觉得性价比在同类酒店中还是很高的。', 'star': 5}
{'descr': '性价比差，但寝具很舒服。还有就是地点太偏。', 'star': 3}
{'descr': '床用品很舒服,就是离市中心太远', 'star': 5}
{'descr': '酒店设备不好 虽然是特价房 但是也不至于这么特价吧 床单的反面都是血 窗帘还那么脏', 'star': 5}
{'descr': '酒店位置较偏，但毕竟城市就那么点大，没有吃早饭的地方，最不能让人忍受的是房间没热水洗澡，电视是他们所谓的卫星电视，许多台都卡的不能看，特别是中央5套，世界杯比赛期间，那个急啊，房间床上用品还挺舒服的，不推荐入住此酒店。', 'star': 1}
{'descr': '   宾馆很干净，非常卫生，就是地点有点偏僻', 'star': 5}
{'descr': '卫生条件看上去挺干净的，不过我还是看到蟑螂了.希望酒店在室内死角处多打扫一些.周边交通还算便利.硬件设施一般总体来说还可以.', 'star': 5}
{'descr': '首先说一句和酒店无关的，在机场到9居连续6辆出租车拒载，最后50元成交，\r\n189不含早，到市中心打车单程10元，准时12点退房，不可延时，如延2小时，加收38，且必须先退房，再重新开个一张床的房间。\r\n第二天改住华融假日，260含双早，不用打车，准四星，差价约30元。', 'star': 1}
{'descr': '地理位置一般。房间虽小却也五脏具全。房间内暖气非常足，室外零下三十几度，室内却温暖如春哦，总体来说，很值得推荐。性价比很高。', 'star': 3}
{'descr': '地址位置较偏，环境设施都还不错。服务态度较好，但入住的时候网络坏了5555', 'star': 5}
{'descr': '网速超级慢 基本只能看看网页', 'star': 5}
{'descr': '    肯定是由于宾馆的管理疏忽，最后一天结帐的时候多算了一袋小吃的费用，我没有使用宾馆的小吃，由于要赶飞机没有太多跟宾馆计较。', 'star': 5}
{'descr': '环境不错,卫生条件也很好,设施完善,地理位置交通方便,性价比不错的酒店,值得推荐,下次也会在入住.', 'star': 3}
{'descr': '酒店挺干净的，服务还可以，设施方面也还不错，价格我们能接受，不过位置我们就不太了解了，我们也是当地朋友接过来的，感觉还可以。', 'star': 3}
