{'descr': '服务好，房间时尚', 'star': 5}
{'descr': '这里的王霞小姐热情大方，对人相当和善', 'star': 5}
{'descr': '环境不错，服务很不错', 'star': 5}
{'descr': '服务好房间设施也好', 'star': 5}
{'descr': '环境非常好', 'star': 5}
{'descr': '晚上过来一下车一个憨厚的大叔帮我开了车门并且问好，前台美女也帮我拿着行李送进房间，服务好到爆', 'star': 5}
{'descr': '这家酒店真是超值，家庭房里面两张大床，我们四个女孩子住在一个房间，很划算！酒店设施也很棒！我们叫外卖，服务员把外卖直接送到房间！而且看到我们人多，主动送来拖鞋和牙刷，真是又贴心又好服务！所有的服务人员都笑脸相应，宾至如归！临行还送了小礼物，真是扬州之行非常开心！', 'star': 5}
{'descr': '服务真心不错，房间太小，交通一般', 'star': 4}
{'descr': '房间卫生，酒店的服务真正做到了五星的享受，非常注重细节，快捷酒店能做到这样真的很少见！周边有吃喝玩乐的地方，很棒！', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '服务好，环境也好，总之很满意。老公说下次去还住这个酒店！房间尺寸合适，卫生干净，设施也齐备，虽然不是很市区，不过狮子楼吃完权当消食，散步走回宾馆，也不错。', 'star': 5}
{'descr': '用高大上来形容这家快捷酒店一点都不为过，设施特别齐全，单间大床房，房间大，卫生间卫生，床大又贴心，床上放乐几只千纸鹤，领班经理服务不要太好，下楼给我买东西送上来，第二天临走发现我的爱车已经被清洗过了，特别干净敞亮，贴心的服务有归家的感觉。没的话说，下次去扬州还定这家', 'star': 5}
{'descr': '和朋友一起出来玩的，这家的服务态度非常好，环境也好，朋友和我都非常满意，感谢168的服务，会再次光临的！', 'star': 5}
{'descr': '好好好好好', 'star': 5}
{'descr': '可以', 'star': 5}
{'descr': '一直对琼花大厦店有好感，确实很好，很贴心，所以很信任。只是在莫泰店当中价位偏高。', 'star': 5}
{'descr': '酒店不错 干净 环境也不错', 'star': 5}
{'descr': '不错，可以看到古运河，风景还是很不错的', 'star': 5}
{'descr': '到扬州一直住这里 房间大比较舒适', 'star': 5}
{'descr': '房间比想象中大而且干净，值得去扬州再定这家。', 'star': 5}
{'descr': '非常便捷，酒店装修时尚，前台服务很好！还给我延期到下午2点退房。家庭房还比较大，合适一家人出行！下次来扬州还入住！', 'star': 5}
{'descr': '成功入住，家庭房免费升级成行政套房，环境干净，宽敞舒适，交通便利，很满意', 'star': 3}
{'descr': ' 服务态度很好，卫生方面也不错', 'star': 3}
{'descr': '总体来说还是不错的，服务特别好！特别是早餐挺不错，房间有点小，但挺干净舒服的！', 'star': 5}
{'descr': '朋友入住说环境非常好。下次来也会选择这家。设施也很新。很满意', 'star': 5}
{'descr': '我和同学一起来玩的，环境很好，出乎我们的意料，服务态度也很好，唯一不足的就是离市中心有点远，出行不太方便，不过整体上很满意。', 'star': 3}
{'descr': '好评！卫生，干净，房间稍小，简洁，服务周到，洗刷用品忘在大堂，总台给收好，我们拿了回来，表示感谢。大堂有免费饮料，虽然不是很好喝但服务细致，早餐尚可。', 'star': 5}
{'descr': '酒店总体还行 如果旅游的话住在这里不错的', 'star': 5}
{'descr': '设施好，员工服务也好，靠近景点，周末房价稍高', 'star': 5}
{'descr': '服务很好，位置有点偏，不过出门就有公交车站。', 'star': 5}
{'descr': '还不错，比较安静和干净，就是有一点点片，还好在旅游专线的公交线上。总体不错', 'star': 5}
{'descr': '交通方便，环境不错，价格不错，服务也不错。', 'star': 5}
{'descr': '从没想到莫泰在扬州这么高的楼中，服务态度很好，酒店打扫的很干净，房间很舒适。门卫还帮忙叫出租车，不错，以后去扬州还住这里。', 'star': 5}
{'descr': '酒店在古运河边上，比较安静，只是离市区有些距离。酒店内环境不错，服务员态度还好。只是大圆床有些失望，不是想象中的那样。', 'star': 5}
{'descr': '环境还不错，服务态度也蛮好的，算是经济酒店中比较好的了', 'star': 5}
{'descr': '房间实在不行，虽说快捷酒店简洁，这家也太简陋了，大堂还行', 'star': 1}
{'descr': '酒店很好，内部环境很让我满意，走道和大厅都有沁人的花香。', 'star': 5}
{'descr': '于下午十八点零八分入住扬州莫泰琼花大厦店1218号家庭房.该店交通便捷.停车方便.设施齐全.环境优美.愿和众多会员共享!', 'star': 3}
{'descr': '非常不错，到了后升级到了家庭房，一张1.8米的床，一张1.2米的床，非常适合一家三口居住，环境整洁，离市中心打车差不多8元钱。值得推荐！', 'star': 5}
{'descr': '酒店服务不错,服务态度很好.有机会还会再去.', 'star': 5}
{'descr': '不错,靠近古运河,适合出差住宿,因为晚上可以沿河岸散步.', 'star': 5}
{'descr': '房间大小适中，装修挺新，很干净！离古运河和何圆很近，出行方便，很不错！', 'star': 3}
{'descr': '很不错，环境不错。服务态度好！卫生条件很好！', 'star': 5}
{'descr': '不错,不远处扬州古运河风景好.晚上可以出去逛逛.', 'star': 5}
{'descr': '很不错,不远处是扬州古运河,晚上景色不错.', 'star': 5}
{'descr': '酒店硬件和服务都不错，就是设施稍旧。不错......', 'star': 5}
{'descr': '清明节去的扬州，几乎所有酒店都满了，而且房间翻番', 'star': 5}
{'descr': '作为经济型酒店，已经不错了。干净，想得周到。就是门的隔音不太好。', 'star': 5}
{'descr': '房间还比较干净，家具旧了，写字台小了。', 'star': 3}
{'descr': '顺利入住，比想象中的好，出入很方便，房间干净，', 'star': 3}
{'descr': '没有想象中的那么差，我定的跃层，感觉有点小，不过有间房有机麻，还是不错', 'star': 5}
{'descr': '靠近古运河和扬州1912，地势不错。早餐相对其他经济酒店非常不错，每天的花样翻新，服务员态度非常好，价位不贵，住的人很多，还有免费奶茶橙汁喝，小厨点的菜做得也不错，嘎嘎', 'star': 5}
{'descr': '不愧为旗舰店，房间够大服务态度很好，旁边就是何园，原本想去富春茶社酒店员工推荐出门左转交行旁边还有一家很不错的特色早茶店，很赞~', 'star': 3}
{'descr': '确实不愧是旗舰店，服务很到位，大堂有免费的饮料。就是入住的时候正好赶上扬州旅游节，价格涨的很多。平时来住的话，应该会更加价廉物美。', 'star': 5}
{'descr': '服务不错，酒店服务员见到人都会问好····出行还算便利吧', 'star': 5}
{'descr': '房间很干净不错。', 'star': 3}
{'descr': '不错,住的行政房,房间和服务都不错,离何园很近,到瘦西湖打车10元,值得推荐的酒店', 'star': 5}
{'descr': '还不错，就是节日期间价格涨得有点高，这个价位还有很多其他选择。', 'star': 5}
{'descr': '不愧是旗舰店，地段佳，房间大，服务好，全无线，免费饮料畅饮，太赞了。', 'star': 3}
{'descr': '位置离何园很近，但离市区有点远，在运河边上，服务很好，前台的美女和帅哥都很热情。有线、无线网络都有，但是网速有点慢，另外房间有点小。附近有世纪联华，购物较方便了。', 'star': 5}
{'descr': '刚入住，前台很热情。酒店还可以性价比较高。', 'star': 3}
{'descr': '服務好,熱誠,房間乾淨!早餐也不錯,下次還住!', 'star': 5}
{'descr': '此次入住扬州莫泰（琼花大厦）感觉很好，交通方便，服务不错，“莫泰168”这牌子响当当，亲身体验了，以后还会入住的。', 'star': 5}
{'descr': '酒店的地理位置不错。房间很大，也合理。服务员非常热情，酒店的服务项目也很多。免费洗衣、租自行车、代叫出租车等。我住的是商务大床房，窗外就是古运河，夜景很漂亮。就是周围吃饭的地方较少，要走过大桥，何园附近。', 'star': 5}
{'descr': '地段不错，比较干净，服务态度非常好，早餐很好，大堂也还不错', 'star': 5}
{'descr': '已经成功入住服务态度很热情房间也干净', 'star': 3}
{'descr': '酒店环境很不错！要比一般的快捷酒店高档些。值得一提的是服务很亲切。', 'star': 5}
{'descr': ' 不错！环境和服务态度都很好…', 'star': 3}
{'descr': '很好。很干净，价格也好，服务也好，酒店位置不错。', 'star': 5}
{'descr': '感觉很好，很舒适', 'star': 3}
{'descr': '我住11楼，窗外风景很好，一楼快餐也不错，下次还住', 'star': 5}
{'descr': '很好，蛮舒服的', 'star': 3}
{'descr': '这是我住过的最好的莫泰。\n一、服务态度一流，让我眼前一亮！\n二、房间里的设备很齐全。\n三、里面的蛋炒饭很正宗，出门在外很少能吃到这么好吃的扬州炒饭。', 'star': 5}
{'descr': '服务很好，房间虽然小，不过很干净。离何园300米，位置有点偏，不过我们开车去的，还算方便。', 'star': 5}
{'descr': '服务不错，比其他连锁酒店强多了，对于顾客问题能耐心回答\n设施也不错，床比较舒服，可惜不是看景的房间，看不到河\n离何园很近，值得一逛，离市中心文昌阁有点远，周边购物点不多，我认为算是城乡结合部吧', 'star': 5}
{'descr': '不错的酒店环境很不错。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '属于加盟店，不过空间很敞亮，服务很规范，唯一不足的是早餐还是比较单调。', 'star': 5}
{'descr': '不错。高层，安静，房间也干净，服务态度也不错。', 'star': 5}
{'descr': '很干净，很安静，空调不错，就是房间有点小。', 'star': 5}
{'descr': '都蛮好！！就是有点偏了点!!不过服务员的服务态度蛮好的\n', 'star': 5}
{'descr': '服务态度好', 'star': 3}
{'descr': '很不错的168酒店，下次去扬州还会考虑住这里哟！', 'star': 5}
{'descr': '酒店环境和设施还好，去我们项目比较方便。下次来还会入住。\n', 'star': 5}
{'descr': '前台服务、装修、早餐、环境十分不错都可以打高分，唯一美中不足的是房间偏小、靠枕上有异味，建议改进，下次出差还会选择这家店。旁边的江湖菜味道很好，价格也不高，特别推荐一下。', 'star': 5}
{'descr': '条件总体还可以，离游览区也不远，对得起这个价格，服务挺好的。', 'star': 5}
{'descr': '真的很不错的酒店，房间大，干净卫生。运河旁边风景是没的说了，周边吃的地方也蛮多的', 'star': 5}
{'descr': '值得推荐,还满意', 'star': 3}
{'descr': '房间不隔音，被隔壁打牌的吵到后半夜，一会儿出6，一会儿吵吵，就在耳边，烦的不行，就住一晚，基本没睡', 'star': 1}
