{'短评内容': '无早餐，酒店很大，就是国庆节性价比低了', '短评打分': 4}
{'短评内容': '国庆出游！定了很多间，除了国庆贵了点，其他不错', '短评打分': 5}
{'短评内容': '设施比较陈旧。但这也没办法，三四线城市不能要求过多，一般住住还是问题不大的。整个洪江也还算行的吧，不能跟大城市比的。', '短评打分': 3}
{'短评内容': '没早餐 老酒店 一股烟臭味 停车场很小 还要自己出钱 反正能定其他地方的就定其他地方的吧', '短评打分': 1}
{'短评内容': '小城不错，酒店位置挺好。房价也还合理，在一个小地方，这酒店算不错的了。晚上可以去河边散散步，白天可到酒店对面爬山。', '短评打分': 4}
{'短评内容': '地理位置优越', '短评打分': 4}
{'短评内容': '还可以，就是停车场不太好', '短评打分': 5}
{'短评内容': 'The hotel is in the center of the town. You can walk to Hongjiang Ancient Town. The staff is very helpfull though nobody speaks Englisch.No breakfast service.', '短评打分': 4}
{'短评内容': '很难找，其实是在红绿灯边上。拐弯抹角，停车难，与歌舞厅餐厅一起，很乱的老式旅店。', '短评打分': 3}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '硬件设施，环境。卫生。服务都很好！', '短评打分': 3}
{'短评内容': '这家酒店是当地最大、最好的酒店，也是很新的啦！价格也是不贵！', '短评打分': 5}
{'短评内容': '四星级的，服务规范，早餐也可以，性价比高。', '短评打分': 5}
