{'短评内容': '酒店环境好', '短评打分': 5}
{'短评内容': '没有', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '环境还可以', '短评打分': 4}
{'短评内容': '有停车场', '短评打分': 5}
{'短评内容': '环境不错，房间舒适', '短评打分': 4}
{'短评内容': '还可以，不错', '短评打分': 5}
{'短评内容': '蛮干净的，有的房间电视好少呢，总体来说不错', '短评打分': 5}
{'短评内容': '服务不好其他都还可以', '短评打分': 5}
{'短评内容': '酒店环境不错，服务态度很好，设备齐全，价格实惠。', '短评打分': 5}
{'短评内容': '舒适，安静，服务态度很好。', '短评打分': 5}
{'短评内容': '房间清洁，卫生良好，安保严格，停车场很大，交通方便。隔音稍差，卡啦OK有点吵。晚上宵夜附近有很多选择。', '短评打分': 5}
{'短评内容': '房间清洁，卫生良好，安保严格，停车场很大，交通方便。隔音稍差，卡啦OK有点吵。晚上宵夜附近有很多选择。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '这家酒店的设备良好，住宿很舒服，下次还会再来。交通也很方便嗯，吃用玩都很好。到广州出差的朋友，可以选择这个地方下角落拓。', '短评打分': 5}
{'短评内容': '还好吧，帮人订没不良反应', '短评打分': 3}
{'短评内容': '比较挤 ，停车方便。', '短评打分': 5}
{'短评内容': '設施舊，床單被套極污穢骯髒，有一大個積在被單上，很失望', '短评打分': 3}
{'短评内容': '地點適中，泊車位充足，這價格真的不錯呢！附近餐廳特別多，房間也清潔，基本的日用品也有供應，只是房間', '短评打分': 3}
{'短评内容': '卫生搞不干净', '短评打分': 4}
{'短评内容': '连续住几次了，好评。', '短评打分': 5}
{'短评内容': '酒店条件很不错，每次都住得很满意。', '短评打分': 5}
{'短评内容': '酒店很不错，每次在番禺都会住这家。', '短评打分': 5}
{'短评内容': '很好好好很好好好很好好好很好好好很好好好很好好好很好好好', '短评打分': 5}
{'短评内容': '前天给同学介绍入住了该酒店，广交会期间价格偏高了点，算干净，酒店外部装潢有点像东莞常平五月花酒店，优点是酒店娱乐节目多多且不算贵。', '短评打分': 5}
{'短评内容': '房间设施都不错，只是没有窗子，这有点不如意！性价比不错\n', '短评打分': 5}
{'短评内容': '性价比很不错的一家酒店，就是晚上有点吵，旁边就是卡拉ok，要住a座高层。', '短评打分': 5}
{'短评内容': '喜欢k哥就可以去，因为下面就是夜总会，但就有些吵。', '短评打分': 5}
{'短评内容': '太嘈了……ktv的声音……难以接受咯。隔音做得太差了。', '短评打分': 1}
{'短评内容': '轧机阿不错性价比还可以就是位置稍候有点偏', '短评打分': 3}
{'短评内容': '干净，卫生，环境还行............................................................', '短评打分': 5}
{'短评内容': 'good ', '短评打分': 3}
{'短评内容': '价格合理，只是设施有点陈旧,二楼有中餐厅', '短评打分': 5}
{'短评内容': '地点还可以，但隔音太差了，下面夜总会的音乐太大，环境也有点复杂。', '短评打分': 1}
{'短评内容': '性价比高。方便停车。配套设施也不错。但低层会被ktv吵', '短评打分': 5}
{'短评内容': '三星级也没什么期待, 但是卫生较差, 房间灯光太暗. 广交会期间房价大幅提高, 不值.', '短评打分': 1}
{'短评内容': '环境很好..服务一般..', '短评打分': 5}
{'短评内容': '网上订购房间只有没有窗', '短评打分': 5}
{'短评内容': '总体来说，价格还算不错。处在番禺区中心地带，去附近景点，例如大夫山、宝墨园等，都很方便。', '短评打分': 5}
{'短评内容': '就是地理位置不太好 做地铁麻烦', '短评打分': 5}
{'短评内容': '这是本人住过最不开心的酒店几乎当晚就离开酒店， 本人已经两年内累积了11500 亿龙分数， 住过全国无数酒店但没见过这样的酒店 ， 酒店大概晚上7点就不停给我电话说本人女朋友需要离开酒店 说晚上公安查房 我坚决反对因为经过考证 未婚男女同方不犯法， 酒店方面非要我另开一间房间， 至少给房间里大了10个电话我后来把电话线拔掉了， 更恐怖的 12点晚上突然有人敲门， 来了经理和3个保安， 非要我们另开', '短评打分': 1}
{'短评内容': '环境比较好，很舒适，可是比较偏僻。。', '短评打分': 5}
{'短评内容': '夜，KTV太吵。', '短评打分': 1}
{'短评内容': '还不错，但B栋2 3 4楼是夜总会，比较吵', '短评打分': 5}
{'短评内容': '比较干净，位置相当好，配套服务好周全；', '短评打分': 5}
{'短评内容': '位置比较偏,当时在找的时候就不是很好找,其他方面都还不错.', '短评打分': 3}
{'短评内容': '初次入住感觉很舒服，下次还住那。', '短评打分': 5}
{'短评内容': '房间设施都不错，只是没有窗子，这有点不如意！', '短评打分': 5}
{'短评内容': '酒店服务很好，环境和设施也都不错，酒店的周边也很繁华，出行很方便', '短评打分': 5}
