{'短评内容': '就JJ秃鹫麻屯轮渡我发咯啊酷我啊路', '短评打分': 5}
{'短评内容': '服务态度很好，很干净，位置也不错，很喜欢', '短评打分': 5}
{'短评内容': '干净，还不错', '短评打分': 5}
{'短评内容': '酒店位置不错', '短评打分': 4}
{'短评内容': '干净卫生，如果能有早餐更好', '短评打分': 4}
{'短评内容': '总体还算可以，毕竟是旅游旺季', '短评打分': 5}
{'短评内容': '房子太吵了，不是一般的噪音啊，平时住标间也就128！', '短评打分': 2}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不值得网上销售。建议各网站设立评测准入机制，对旅客负责', '短评打分': 1}
{'短评内容': '家庭小套房，客服热情，房间清洁卫生，设施疲惫，服务温馨！老板提前把房间空调打开，一进门，好清凉！空调，电视，沙发，厨房，一应俱全！小区里面，路线稍稍难找，不过停车也方便呢，小区里面嘛！', '短评打分': 5}
{'短评内容': '还不错值得住。', '短评打分': 5}
{'短评内容': '一般水还要钱', '短评打分': 5}
{'短评内容': '酒店位于火车站附近，比较方便，去坐旅游公交都比较近。就是房间偏小，卫生也必须再提高。', '短评打分': 4}
{'短评内容': '房间不错，干净，空间大，还有电脑，因为住的是内侧，虽临街，但还算安静，唯一缺点就是停车位不足，不过在十一期间能住上这样的房间已经很知足了。', '短评打分': 3}
{'短评内容': '干净整洁的酒店，下次还会选择这里！', '短评打分': 3}
{'短评内容': '挺好的，干净卫生，很值', '短评打分': 3}
{'短评内容': '很棒哦 停车位免费的 位置也很好找 态度也很好 有点不隔音 总体还是不错的 忘了拍照', '短评打分': 3}
{'短评内容': '不错，店员热情!离兵马俑近!', '短评打分': 3}
{'短评内容': '上次五一去的时候网不能用空调没开，不知道现在怎么样了，不过应该不会去了。', '短评打分': 1}
{'短评内容': '确实不错。酒店离兵马俑和华清池都挺近。内部设置不错，房间大，价位也合理。', '短评打分': 5}
{'短评内容': '内部环境设施还可以，价格稍贵。', '短评打分': 3}
{'短评内容': '这个酒店离华清池和兵马俑很近，价格也划算，唯一的缺陷就是临街，晚上比较吵，影响睡眠。', '短评打分': 5}
{'短评内容': '这个酒店是今年新开的，看着环境和房间里面的装饰都很好，而且大床房才128值得一住，离临潼汽车站才几百米很近，性价比非常不错', '短评打分': 5}
