{'短评内容': '挺不错的。', '短评打分': 5}
{'短评内容': '挺好的挺好的', '短评打分': 5}
{'短评内容': '火车站广场的设计很不方便，绕了一圈跟着导航才找到的，。一下火车才清早，服务员马上为我们安排了入住，让我们放下很多行李，轻装上阵。', '短评打分': 5}
{'短评内容': '离火车站很近', '短评打分': 4}
{'短评内容': '连续住两天，感觉还不错。早餐没吃过，床不能加，孩子不嫌累都可以带，床很大，一家三口睡都应该够了，离火车站5分钟的步行路程，我猜应该是有停车场的，但是开车来为什么要住火车站附近，这边有点潮湿，不过可以开空调啊，用袋子装好毛巾，二十四小时热水，一次性牙刷、拖鞋、杯子，热水壶，吹风机，总的来说，设备齐全，只是隔音不太好，还有拖鞋很薄，秋天走在地板上还是有点冷', '短评打分': 4}
{'短评内容': '酒店位置离武昌火车站很近，很好', '短评打分': 4}
{'短评内容': '很棒，安静，离火车站近。出差换乘方便', '短评打分': 5}
{'短评内容': '还不错，离武昌火车站不远', '短评打分': 5}
{'短评内容': '好找，服务好，工作人员热情，离车站很近', '短评打分': 5}
{'短评内容': '离户部巷很近，吃货的天堂。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '春运期间，人比较多，早上六点过来，等房间等了两个多小时，整体还不错，服务热情，卫生干净', '短评打分': 5}
{'短评内容': '地理位置得天独厚，就是冬天暖气不行', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '七天性价比比较高，住的挺好的', '短评打分': 5}
{'短评内容': '酒店一般般。', '短评打分': 4}
{'短评内容': '还不错 性价比高', '短评打分': 4}
{'短评内容': '安静舒适，干净实惠', '短评打分': 5}
{'短评内容': '安静舒适，干净实惠', '短评打分': 5}
{'短评内容': '靠着火车站交通便利，只是睡觉的话够了', '短评打分': 4}
{'短评内容': '离火车站很近，入住这个七天比较方便。总体满意，每次要赶火车都是住这里。', '短评打分': 4}
{'短评内容': '环境很好，很便宜，打扫卫生特别及时，这周还回去', '短评打分': 3}
{'短评内容': '挺好哒。', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 4}
{'短评内容': '还可以，就是房子有点旧了', '短评打分': 4}
{'短评内容': '还不错，比较方便，但酒店上不了WIFI', '短评打分': 5}
