{'短评内容': '一般般酒店有点陈旧了。', '短评打分': 3}
{'短评内容': '有停车场哦，距离师大超级近，空气很清新。很方便的~', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '不好，给我造成很大困扰', '短评打分': 1}
{'短评内容': '太好了！好酒店，房宽空调凉，卫生，刚入住，非常满意！', '短评打分': 5}
{'短评内容': '交通位置不错方便，经济实惠，', '短评打分': 5}
{'短评内容': '环境什么都很好离西师大近，价格合适 ，出行和吃饭方便，唯一不足就是房小些', '短评打分': 4}
{'短评内容': '酒店房间插头太少了，是比较老的那种', '短评打分': 4}
{'短评内容': '离师大很近，设施略显陈旧，服务不错', '短评打分': 5}
{'短评内容': '酒店干净卫生，房间够大，地理位置很好，交通非常方便，周边小吃也很多，前台服务员态度很好，特别热情，值得推荐！', '短评打分': 5}
{'短评内容': '离广西师大比较近。周边吃东西也特别方便。住宿条件挺不错的。就是房间有一股味道，应该是铺了地毯引起的吧，不怎么通风透气。总体来说还是挺不错的，特别安静。推荐入住', '短评打分': 3}
{'短评内容': '房间老旧,服务不热情.', '短评打分': 3}
{'短评内容': '阿里尽力咯哦剧目兔子啊哭我也来喽哦哦哦无聊咯', '短评打分': 3}
{'短评内容': '房间大，安静，交通停车美食特方便。', '短评打分': 5}
{'短评内容': '位置不错，价格在长假期间不算贵，设施老了些，总体感觉还好！', '短评打分': 4}
{'短评内容': '服务员未经培训就上岗，办理入住手续大概要30分钟。如果你有神马要求，在这里基本不会实现。', '短评打分': 1}
{'短评内容': '很一般   服务很差  没有热水   总之不值', '短评打分': 1}
{'短评内容': '没星', '短评打分': 3}
