{'短评内容': '一般，我觉得价格太高，都是航空公司住', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '早餐非常丰富。', '短评打分': 5}
{'短评内容': '当地最好的酒店了，距离机场和禄口国际机场都比较近，特地要求有窗户的房间，酒店给安排得很好，以后还来。', '短评打分': 4}
{'短评内容': '一切都不错', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '酒店服务好 接送机方便 自助不错', '短评打分': 5}
{'短评内容': '对比了几家，看其他人晒照片看点评这家酒店挺好的，就预订了，我们晚上到的，非常大，环境真的很雅致，以为是5星级酒店，房间挺干净的，就是晚上睡觉的时候，会有点飞机的噪音，可能是住最边上原因，但是还真的挺满意', '短评打分': 5}
{'短评内容': '酒店环境优美，住得很舒服', '短评打分': 5}
{'短评内容': '有点偏', '短评打分': 4}
{'短评内容': '感觉很干净', '短评打分': 5}
{'短评内容': '环境非常好，不过早餐因为某些原因，未能品尝，遗憾啊！希望能设置无线Wi-Fi，更好的提高硬件设施！', '短评打分': 5}
{'短评内容': '出国旅游，房间还不错，挺舒适，服务态度满意', '短评打分': 4}
{'短评内容': '酒店环境比较好卫生好服务也比较好，机场近方便早餐可以，酒店还有班车去机场非常方便。价格也很实惠对得起摄影集这个称号全五颗心', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店周围什么也没有，由于酒店没有什么客人，房间的空调只有送风，不制冷房间很热。向前台提出后无效。这么热的天气太过分了。这家酒店下次不能住！', '短评打分': 3}
