{'短评内容': '环境，服务都不错。有一点不足，就是位置有点不好找。', '短评打分': 5}
{'短评内容': '周边交通还算方便，停车比较麻烦', '短评打分': 5}
{'短评内容': '还可以环境不错', '短评打分': 5}
{'短评内容': '出差办事，比较近，也不贵', '短评打分': 4}
{'短评内容': '办理第二次入住时，那个前天超级无语，说的乱七八糟的，提前都打过电话了还让我们等那么久，这呀那的，最后还是用的携程', '短评打分': 3}
{'短评内容': '还行吧，第一天到那儿，房间里见个蟑螂，很小的，不过就出现一次', '短评打分': 3}
{'短评内容': '房间色彩不错，干净，不过窗户比较小', '短评打分': 5}
{'短评内容': '酒店位置不错,就是停车太麻烦，太麻烦了。还不错还不错，还不知道还不说话，不说话不说话不说话不说话不说话，不说。', '短评打分': 5}
{'短评内容': '孩子高考，找的房子，这边比较清静，还不错。', '短评打分': 4}
{'短评内容': '快捷酒店 一般般吧 也没窗户', '短评打分': 3}
{'短评内容': '舒适方便 司考期间订房还是很诚信的 考试党推荐', '短评打分': 3}
{'短评内容': '房间干净整洁，周围吃的也比较多。门口好多公交车起点站，很方便但不嘈杂。对面就有方特和儿童体验馆，孩子很喜欢这里。', '短评打分': 5}
{'短评内容': '房间干净整洁，周围吃的也比较多。门口好多公交车起点站，很方便但不嘈杂。对面就有方特和儿童体验馆，孩子很喜欢这里。', '短评打分': 5}
{'短评内容': '因为是四合院结构，窗户朝向天井，很安静，对面就是方特科幻公园，到朝天门的汽车站起点', '短评打分': 5}
